marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__acionam_do_comando,geral__regime_potencia_max,geral__regime_torque_max,geral__marchas,geral__diametro_de_giro,geral__codigo_do_motor,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__codigo_do_cambio,geral__bitola_dianteira,geral__bitola_traseira,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__cilindrada_unitaria,geral__deslocamento,geral__potencia,geral__torque,geral__carga_util,geral__reboque_com_freio,geral__reboque_sem_freio,geral__variacao_do_comando,geral__rotacao_maxima,geral__altura_minima_do_solo,geral__travessia_de_agua,geral__estepe,geral__autonomia,geral__capacidade_da_bateria,geral__consumo_eletrico,geral__potencia_combinada,geral__torque_combinado,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__frenagem_1000_kmh,geral__potencia_de_recarga,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__autonomia_eletrica,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__tuchos,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares
volvo,460,460,460-1-7-turbo-1992,460-1-7-turbo-1992,https://www.fichacompleta.com.br/carros/volvo/460-1-7-turbo-1992,2026-06-18T18:27:24.789865,Volvo 460 1.7 Turbo 1992,"9,9 s",190 km/h,Embreagem monodisco a seco,Manual,5,Dianteira,Injeção monoponto,Turbocompressor,1721 cm³,4 em linha,Único no cabeçote,"83,5 mm",81 mm,Transversal,Dianteiro,"8,8 kg/cv","54,3 kg/kgfm","69,7 cv/litro",120 cv a 5300 rpm,"8,1:1","11,3 kgfm/litro","19,4 kgfm a 3300 rpm",2,1390 mm,4440 mm,2500 mm,1690 mm,1053 kg,453 litros,60 litros,120 mm,Disco ventilado,Disco ventilado,Hidráulica,"11,3 m","Independente, McPherson",Mola helicoidal,"Independente, braço semi-arrastado",780 km,540 km,13 km/l,9 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,460,460,460-glt-2-0-1995,460-glt-2-0-1995,https://www.fichacompleta.com.br/carros/volvo/460-glt-2-0-1995,2026-06-18T18:27:28.213866,Volvo 460 GLT 2.0 1995,"10,3 s",185 km/h,Embreagem monodisco a seco,Manual,,Dianteira,Injeção multiponto,Natural,1998 cm³,4 em linha,Único no cabeçote,93 mm,"82,7 mm",Transversal,Dianteiro,"9,6 kg/cv","62,6 kg/kgfm","55,1 cv/litro",110 cv,"9,8:1","8,4 kgfm/litro","16,8 kgfm",2,1378 mm,4435 mm,2503 mm,1686 mm,1051 kg,401 litros,60 litros,120 mm,Disco ventilado,Disco ventilado,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",780 km,540 km,13 km/l,9 km/l,Correia dentada,5200 rpm,3500 rpm,5,"11,3 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-glt-2-5-1992,850-glt-2-5-1992,https://www.fichacompleta.com.br/carros/volvo/850-glt-2-5-1992,2026-06-18T18:27:47.020593,Volvo 850 GLT 2.5 1992,10 s,200 km/h,Conversor de torque,Automático,4,Dianteira,Injeção multiponto,Natural,2435 cm³,5 em linha,Duplo no cabeçote,90 mm,83 mm,Transversal,Dianteiro,"8,0 kg/cv","60,9 kg/kgfm","69,8 cv/litro",170 cv,"10,5:1","9,2 kgfm/litro","22,4 kgfm",4,1400 mm,4660 mm,2670 mm,1760 mm,1365 kg,416 litros,73 litros,117 mm,Disco ventilado,Disco sólido,Hidráulica,"10,2 m","Indep., McPherson",Mola helicoidal,"Indep., braço semi-arrastado",876 km,584 km,12 km/l,8 km/l,Correia dentada,,,4,"10,2 m",B5254S,6200 rpm,3300 rpm,AW50-42LE,1520 mm,1470 mm,"2,09 m²","0,669 m²","0,32","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-glt-2-5-1993,850-glt-2-5-1993,https://www.fichacompleta.com.br/carros/volvo/850-glt-2-5-1993,2026-06-18T18:27:51.041254,Volvo 850 GLT 2.5 1993,10 s,200 km/h,Conversor de torque,Automático,,Dianteira,Injeção multiponto,Natural,2435 cm³,5 em linha,Duplo no cabeçote,90 mm,83 mm,Transversal,Dianteiro,"8,0 kg/cv","60,9 kg/kgfm","69,8 cv/litro",170 cv,"10,5:1","9,2 kgfm/litro","22,4 kgfm",4,1400 mm,4660 mm,2670 mm,1760 mm,1365 kg,416 litros,73 litros,117 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",876 km,584 km,12 km/l,8 km/l,Correia dentada,6200 rpm,3300 rpm,4,"10,2 m",B5254S,,,AW50-42LE,1520 mm,1470 mm,"2,09 m²","0,669 m²","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-glt-2-5-1994,850-glt-2-5-1994,https://www.fichacompleta.com.br/carros/volvo/850-glt-2-5-1994,2026-06-18T18:27:54.718006,Volvo 850 GLT 2.5 1994,9 s,210 km/h,Embreagem monodisco a seco,Manual,,Dianteira,Injeção multiponto,Natural,,5 em linha,Duplo no cabeçote,90 mm,83 mm,Transversal,Dianteiro,"8,03 kg/cv","60,9 kg/kgfm","69,8 cv/litro",170 cv,"10,5:1","9,2 kgfm/litro","22,4 kgfm",4,1400 mm,4660 mm,2670 mm,1760 mm,1365 kg,416 litros,73 litros,117 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",913 km,621 km,"12,5 km/l","8,5 km/l",Correia dentada,6200 rpm,3300 rpm,5,"10,2 m",B5254S,,,,1520 mm,1470 mm,"2,09 m²","0,669 m²","0,32",,487 cm³,2435 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-r-2-3-turbo-1994,850-r-2-3-turbo-1994,https://www.fichacompleta.com.br/carros/volvo/850-r-2-3-turbo-1994,2026-06-18T18:27:57.382913,Volvo 850 R 2.3 Turbo 1994,"7,5 s",235 km/h,Conversor de torque,Automático,,Dianteira,Injeção multiponto,Turbocompressor,2319 cm³,5 em linha,Duplo no cabeçote,90 mm,81 mm,Transversal,Dianteiro,"6,1 kg/cv","48,1 kg/kgfm","103,5 cv/litro",cv,"8,5:1","13,2 kgfm/litro","30,6 kgfm",4,1410 mm,4670 mm,2670 mm,1760 mm,1472 kg,416 litros,73 litros,92 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",767 km,548 km,"10,5 km/l","7,5 km/l",Correia dentada,,,4,"10,6 m",B5234T5,5600 rpm,2000 rpm,AW50-42LE,1520 mm,1470 mm,"2,11 m²","0,675 m²","0,32",,,,240 cv,"30,6 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-t5-2-3-turbo-1995,850-t5-2-3-turbo-1995,https://www.fichacompleta.com.br/carros/volvo/850-t5-2-3-turbo-1995,2026-06-18T18:28:00.029913,Volvo 850 T5 2.3 Turbo 1995,"7,4 s",240 km/h,Embreagem monodisco a seco,Manual,5,Dianteira,Injeção multiponto,Turbocompressor,2319 cm³,5 em linha,"Duplo no cabeçote, correia dentada",90 mm,81 mm,Transversal,Dianteiro,"6,1 kg/cv","45,1 kg/kgfm","97,0 cv/litro",225 cv a 5280 rpm,"8,5:1","13,2 kgfm/litro","30,6 kgfm a 2000 rpm",4,1410 mm,4670 mm,2670 mm,1760 mm,1379 kg,416 litros,73 litros,103 mm,Disco ventilado,Disco sólido,Hidráulica,"10,2 m","Independente, McPherson",Mola helicoidal,"Independente, braço semi-arrastado",803 km,584 km,11 km/l,8 km/l,,,,,,B5234T,,,,1520 mm,1470 mm,"2,11 m²","0,675 m²",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-t5-2-3-turbo-1995-gasolina,850-t5-2-3-turbo-1995-gasolina,https://www.fichacompleta.com.br/carros/volvo/850-t5-2-3-turbo-1995-gasolina,2026-06-18T18:28:02.991765,Volvo 850 T5 2.3 Turbo 1995,"7,7 s",230 km/h,Conversor de torque,Automático,,Dianteira,Injeção multiponto,Turbocompressor,,5 em linha,Duplo no cabeçote,90 mm,81 mm,Transversal,Dianteiro,"6,22 kg/cv","45,7 kg/kgfm","97,0 cv/litro",225 cv,"8,5:1","13,2 kgfm/litro","30,6 kgfm",4,1410 mm,4670 mm,2670 mm,1760 mm,1399 kg,416 litros,73 litros,103 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",803 km,584 km,11 km/l,8 km/l,Correia dentada,5280 rpm,2000 rpm,4,"10,2 m",B5234T,,,AW50-42LE,1520 mm,1470 mm,"2,11 m²","0,675 m²","0,32",,464 cm³,2319 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-r-2-3-turbo-1996,850-r-2-3-turbo-1996,https://www.fichacompleta.com.br/carros/volvo/850-r-2-3-turbo-1996,2026-06-18T18:28:07.482873,Volvo 850 R 2.3 Turbo 1996,"7,5 s",235 km/h,Conversor de torque,Automático,4,Dianteira,Injeção multiponto,Turbocompressor,2319 cm³,5 em linha,"Duplo no cabeçote, correia dentada",90 mm,81 mm,Transversal,Dianteiro,"6,1 kg/cv","48,1 kg/kgfm","103,5 cv/litro",240 cv a 5600 rpm,"8,5:1","13,2 kgfm/litro","30,6 kgfm a 2000 rpm",4,1410 mm,4670 mm,2670 mm,1760 mm,1472 kg,416 litros,73 litros,92 mm,Disco ventilado,Disco sólido,Hidráulica,"10,6 m","Independente, McPherson",Mola helicoidal,"Independente, braço semi-arrastado",767 km,548 km,"10,5 km/l","7,5 km/l",,,,,,B5234T5,,,AW50-42LE,1520 mm,1470 mm,"2,11 m²","0,675 m²",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-t5-2-3-turbo-1996,850-t5-2-3-turbo-1996,https://www.fichacompleta.com.br/carros/volvo/850-t5-2-3-turbo-1996,2026-06-18T18:28:12.224636,Volvo 850 T5 2.3 Turbo 1996,"7,7 s",230 km/h,Conversor de torque,Automático,,Dianteira,Injeção multiponto,Turbocompressor,,5 em linha,Duplo no cabeçote,90 mm,81 mm,Transversal,Dianteiro,"6,22 kg/cv","45,7 kg/kgfm","97,0 cv/litro",225 cv,"8,5:1","13,2 kgfm/litro","30,6 kgfm",4,1410 mm,4670 mm,2670 mm,1760 mm,1399 kg,416 litros,73 litros,103 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",803 km,584 km,11 km/l,8 km/l,Correia dentada,5280 rpm,2000 rpm,4,"10,2 m",B5234T,,,AW50-42LE,1520 mm,1470 mm,"2,11 m²","0,675 m²","0,32",,464 cm³,2319 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-glt-2-5-1997,850-glt-2-5-1997,https://www.fichacompleta.com.br/carros/volvo/850-glt-2-5-1997,2026-06-18T18:28:15.963152,Volvo 850 GLT 2.5 1997,10 s,200 km/h,Conversor de torque,Automático,4,Dianteira,Injeção multiponto,Natural,2435 cm³,5 em linha,"Duplo no cabeçote, correia dentada",90 mm,83 mm,Transversal,Dianteiro,"8,1 kg/cv","61,2 kg/kgfm","69,8 cv/litro",170 cv a 6100 rpm,"10,5:1","9,2 kgfm/litro","22,4 kgfm a 4700 rpm",4,1410 mm,4670 mm,2670 mm,1760 mm,1370 kg,416 litros,73 litros,117 mm,Disco ventilado,Disco sólido,Hidráulica,"10,2 m","Independente, McPherson",Mola helicoidal,"Independente, braço semi-arrastado",876 km,584 km,12 km/l,8 km/l,,,,,,B5254S,,,AW50-42LE,1520 mm,1470 mm,"2,11 m²","0,675 m²",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850,850,850-t5-2-3-turbo-1997,850-t5-2-3-turbo-1997,https://www.fichacompleta.com.br/carros/volvo/850-t5-2-3-turbo-1997,2026-06-18T18:28:20.173060,Volvo 850 T5 2.3 Turbo 1997,"7,7 s",230 km/h,Conversor de torque,Automático,,Dianteira,Injeção multiponto,Turbocompressor,,5 em linha,Duplo no cabeçote,90 mm,81 mm,Transversal,Dianteiro,"6,22 kg/cv","45,7 kg/kgfm","97,0 cv/litro",225 cv,"8,5:1","13,2 kgfm/litro","30,6 kgfm",4,1410 mm,4670 mm,2670 mm,1760 mm,1399 kg,416 litros,73 litros,103 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",803 km,584 km,11 km/l,8 km/l,Correia dentada,5280 rpm,2000 rpm,4,"10,2 m",B5234T,,,AW50-42LE,1520 mm,1470 mm,"2,11 m²","0,675 m²","0,32",,464 cm³,2319 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850 Sw,850-sw,850-sw-glt-2-5-1994,850-sw-glt-2-5-1994,https://www.fichacompleta.com.br/carros/volvo/850-sw-glt-2-5-1994,2026-06-18T18:28:38.356482,Volvo 850 Sw GLT 2.5 1994,"10,2 s",200 km/h,Conversor de torque,Automático,4,Dianteira,Injeção multiponto,Natural,2435 cm³,5 em linha,"Duplo no cabeçote, correia dentada",90 mm,83 mm,Transversal,Dianteiro,"8,4 kg/cv","63,4 kg/kgfm","69,8 cv/litro",170 cv a 6100 rpm,"10,5:1","9,2 kgfm/litro","22,4 kgfm a 4700 rpm",4,1430 mm,4720 mm,2670 mm,1760 mm,1420 kg,388 litros,73 litros,117 mm,Disco ventilado,Disco sólido,Hidráulica,"10,2 m","Independente, McPherson",Mola helicoidal,"Independente, braço semi-arrastado",876 km,584 km,12 km/l,8 km/l,,,,,,B5254S,,,AW50-42LE,1520 mm,1470 mm,"2,14 m²","0,685 m²",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850 Sw,850-sw,850-sw-r-2-3-turbo-1995,850-sw-r-2-3-turbo-1995,https://www.fichacompleta.com.br/carros/volvo/850-sw-r-2-3-turbo-1995,2026-06-18T18:28:43.227294,Volvo 850 Sw R 2.3 Turbo 1995,"7,6 s",235 km/h,Conversor de torque,Automático,4,Dianteira,Injeção multiponto,Turbocompressor,2319 cm³,5 em linha,"Duplo no cabeçote, correia dentada",90 mm,81 mm,Transversal,Dianteiro,"6,3 kg/cv","49,7 kg/kgfm","103,9 cv/litro",241 cv a 5600 rpm,"8,5:1","13,2 kgfm/litro","30,6 kgfm a 2000 rpm",4,1430 mm,4720 mm,2670 mm,1760 mm,1521 kg,388 litros,73 litros,92 mm,Disco ventilado,Disco sólido,Hidráulica,"10,6 m","Independente, McPherson",Mola helicoidal,"Independente, braço semi-arrastado",796 km,562 km,"10,9 km/l","7,7 km/l",,,,,,B5234T5,,,AW50-42LE,1520 mm,1470 mm,"2,14 m²","0,685 m²",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850 Sw,850-sw,850-sw-t5-2-3-turbo-1995,850-sw-t5-2-3-turbo-1995,https://www.fichacompleta.com.br/carros/volvo/850-sw-t5-2-3-turbo-1995,2026-06-18T18:28:45.842803,Volvo 850 Sw T5 2.3 Turbo 1995,"7,8 s",230 km/h,Conversor de torque,Automático,4,Dianteira,Injeção multiponto,Turbocompressor,2319 cm³,5 em linha,Duplo no cabeçote,90 mm,81 mm,Transversal,Dianteiro,"6,4 kg/cv","47,3 kg/kgfm","97,0 cv/litro",225 cv,"8,5:1","13,2 kgfm/litro","30,6 kgfm",4,1430 mm,4720 mm,2670 mm,1760 mm,1448 kg,388 litros,73 litros,103 mm,Disco ventilado,Disco sólido,Hidráulica,"10,2 m","Indep., McPherson",Mola helicoidal,"Indep., braço semi-arrastado",803 km,569 km,11 km/l,"7,8 km/l",Correia dentada,,,4,"10,2 m",B5234T,5280 rpm,2000 rpm,AW50-42LE,1520 mm,1470 mm,"2,14 m²","0,685 m²","0,32","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850 Sw,850-sw,850-sw-glt-2-5-1996,850-sw-glt-2-5-1996,https://www.fichacompleta.com.br/carros/volvo/850-sw-glt-2-5-1996,2026-06-18T18:28:49.617675,Volvo 850 Sw GLT 2.5 1996,"10,2 s",200 km/h,Conversor de torque,Automático,,Dianteira,Injeção multiponto,Natural,2435 cm³,5 em linha,Duplo no cabeçote,90 mm,83 mm,Transversal,Dianteiro,"8,4 kg/cv","63,4 kg/kgfm","69,8 cv/litro",cv,"10,5:1","9,2 kgfm/litro","22,4 kgfm",4,1430 mm,4720 mm,2670 mm,1760 mm,1420 kg,388 litros,73 litros,117 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",876 km,584 km,12 km/l,8 km/l,Correia dentada,,,4,"10,2 m",B5254S,6100 rpm,4700 rpm,AW50-42LE,1520 mm,1470 mm,"2,14 m²","0,685 m²","0,32",,,,170 cv,"22,4 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850 Sw,850-sw,850-sw-t5-2-3-turbo-1996,850-sw-t5-2-3-turbo-1996,https://www.fichacompleta.com.br/carros/volvo/850-sw-t5-2-3-turbo-1996,2026-06-18T18:28:53.275536,Volvo 850 Sw T5 2.3 Turbo 1996,"7,8 s",230 km/h,Conversor de torque,Automático,,Dianteira,Injeção multiponto,Turbocompressor,2319 cm³,5 em linha,Duplo no cabeçote,90 mm,81 mm,Transversal,Dianteiro,"6,4 kg/cv","47,3 kg/kgfm","97,0 cv/litro",,"8,5:1","13,2 kgfm/litro",,4,1430 mm,4720 mm,2670 mm,1760 mm,1448 kg,388 litros,73 litros,103 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",803 km,569 km,11 km/l,"7,8 km/l",Correia dentada,,,4,"10,2 m",B5234T,5280 rpm,2000 rpm,AW50-42LE,1520 mm,1470 mm,"2,14 m²","0,685 m²","0,32",,,,225 cv,"30,6 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850 Sw,850-sw,850-sw-r-2-3-turbo-1997,850-sw-r-2-3-turbo-1997,https://www.fichacompleta.com.br/carros/volvo/850-sw-r-2-3-turbo-1997,2026-06-18T18:28:55.747828,Volvo 850 Sw R 2.3 Turbo 1997,"7,6 s",235 km/h,Conversor de torque,Automático,,Dianteira,Injeção multiponto,Turbocompressor,2319 cm³,5 em linha,Duplo no cabeçote,90 mm,81 mm,Transversal,Dianteiro,"6,3 kg/cv","49,7 kg/kgfm","103,9 cv/litro",,"8,5:1","13,2 kgfm/litro",,4,1430 mm,4720 mm,2670 mm,1760 mm,1521 kg,388 litros,73 litros,92 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",796 km,562 km,"10,9 km/l","7,7 km/l",Correia dentada,,,4,"10,6 m",B5234T5,5600 rpm,2000 rpm,AW50-42LE,1520 mm,1470 mm,"2,14 m²","0,685 m²","0,32",,,,241 cv,"30,6 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,850 Sw,850-sw,850-sw-t5-2-3-turbo-1997,850-sw-t5-2-3-turbo-1997,https://www.fichacompleta.com.br/carros/volvo/850-sw-t5-2-3-turbo-1997,2026-06-18T18:28:58.303175,Volvo 850 Sw T5 2.3 Turbo 1997,"7,8 s",230 km/h,Conversor de torque,Automático,,Dianteira,Injeção multiponto,Turbocompressor,2319 cm³,5 em linha,Duplo no cabeçote,90 mm,81 mm,Transversal,Dianteiro,"6,4 kg/cv","47,3 kg/kgfm","97,0 cv/litro",,"8,5:1","13,2 kgfm/litro",,4,1430 mm,4720 mm,2670 mm,1760 mm,1448 kg,388 litros,73 litros,103 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., braço semiarrastado",803 km,569 km,11 km/l,"7,8 km/l",Correia dentada,,,4,"10,2 m",B5234T,5280 rpm,2000 rpm,AW50-42LE,1520 mm,1470 mm,"2,14 m²","0,685 m²","0,32",,,,225 cv,"30,6 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,940 Sw,940-sw,940-sw-2-3-turbo-1992,940-sw-2-3-turbo-1992,https://www.fichacompleta.com.br/carros/volvo/940-sw-2-3-turbo-1992,2026-06-18T18:29:28.458772,Volvo 940 Sw 2.3 Turbo 1992,9 s,210 km/h,Conversor de torque,Automático,4,Traseira,Injeção multiponto,Turbocompressor,2316 cm³,4 em linha,Único no cabeçote,80 mm,96 mm,Longitudinal,Dianteiro,"9,0 kg/cv","55,0 kg/kgfm","71,2 cv/litro",165 cv a 5500 rpm,"8,7:1","11,6 kgfm/litro","26,9 kgfm a 3450 rpm",2,1435 mm,4840 mm,2769 mm,1748 mm,1480 kg,500 litros,60 litros,127 mm,Disco ventilado,Disco sólido,Hidráulica,"9,9 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",714 km,318 km,"11,9 km/l","5,3 km/l",,,,,,,,,,1470 mm,1460 mm,"2,13 m²","0,767 m²",,"0,36",,,,,530 kg,1500 kg,700 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,940 Sw,940-sw,940-sw-2-3-turbo-1993,940-sw-2-3-turbo-1993,https://www.fichacompleta.com.br/carros/volvo/940-sw-2-3-turbo-1993,2026-06-18T18:29:32.794415,Volvo 940 Sw 2.3 Turbo 1993,9 s,210 km/h,Conversor de torque,Automático,,Traseira,Injeção multiponto,Turbocompressor,,4 em linha,Único no cabeçote,80 mm,96 mm,Longitudinal,Dianteiro,"8,97 kg/cv","55,0 kg/kgfm","71,2 cv/litro",165 cv,"8,7:1","11,6 kgfm/litro","26,9 kgfm",2,1435 mm,4840 mm,2769 mm,1748 mm,1480 kg,500 litros,60 litros,127 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",714 km,318 km,"11,9 km/l","5,3 km/l",,5500 rpm,3450 rpm,4,"9,9 m",,,,,1470 mm,1460 mm,"2,13 m²","0,767 m²","0,36",,579 cm³,2316 cm³,,,530 kg,1500 kg,700 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,960,960,960-2-9-1992,960-2-9-1992,https://www.fichacompleta.com.br/carros/volvo/960-2-9-1992,2026-06-18T18:29:49.848029,Volvo 960 2.9 1992,9 s,210 km/h,Conversor de torque,Automático,4,Traseira,Injeção multiponto,Natural,2922 cm³,6 em linha,Duplo no cabeçote,90 mm,83 mm,Longitudinal,Dianteiro,"7,8 kg/cv","58,5 kg/kgfm","69,8 cv/litro",204 cv a 6000 rpm,"10,7:1","9,3 kgfm/litro","27,2 kgfm a 4300 rpm",4,1410 mm,4869 mm,2769 mm,1748 mm,1591 kg,471 litros,80 litros,127 mm,Disco ventilado,Disco sólido,Hidráulica,Não informado,"Independente, McPherson",Mola helicoidal,"Independente, multibraço",952 km,424 km,"11,9 km/l","5,3 km/l",,,,,,B6304S,,,Aisin AW30-43,1470 mm,1520 mm,"2,09 m²","0,752 m²",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,960,960,960-2-9-1994,960-2-9-1994,https://www.fichacompleta.com.br/carros/volvo/960-2-9-1994,2026-06-18T18:29:53.073492,Volvo 960 2.9 1994,10 s,200 km/h,Conversor de torque,Automático,,Traseira,Injeção multiponto,Natural,,6 em linha,Duplo no cabeçote,90 mm,83 mm,Longitudinal,Dianteiro,"8,67 kg/cv","57,1 kg/kgfm","61,9 cv/litro",181 cv,"10,7:1","9,4 kgfm/litro","27,5 kgfm",4,1440 mm,4871 mm,2770 mm,1750 mm,1570 kg,491 litros,80 litros,113 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola parabólica de lâmina única,"Indep., multibraço",952 km,424 km,"11,9 km/l","5,3 km/l",,5200 rpm,4100 rpm,4,"9,7 m",B6304S,,,Aisin AW30-43,1500 mm,1520 mm,"2,14 m²","0,770 m²","0,36",,487 cm³,2922 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,960,960,960-2-9-1995,960-2-9-1995,https://www.fichacompleta.com.br/carros/volvo/960-2-9-1995,2026-06-18T18:29:55.553954,Volvo 960 2.9 1995,"9,3 s",205 km/h,Conversor de torque,Automático,4,Traseira,Injeção multiponto,Natural,2922 cm³,6 em linha,Duplo no cabeçote,90 mm,83 mm,Longitudinal,Dianteiro,"7,6 kg/cv","57,4 kg/kgfm","69,8 cv/litro",204 cv a 6000 rpm,"10,7:1","9,3 kgfm/litro","27,2 kgfm a 4300 rpm",4,1440 mm,4860 mm,2770 mm,1750 mm,1560 kg,491 litros,80 litros,127 mm,Disco ventilado,Disco sólido,Hidráulica,Não informado,"Independente, McPherson",Mola helicoidal,"Independente, multibraço",952 km,424 km,"11,9 km/l","5,3 km/l",,,,,,B6304S,,,Aisin AW30-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,960,960,960-2-9-1996,960-2-9-1996,https://www.fichacompleta.com.br/carros/volvo/960-2-9-1996,2026-06-18T18:29:59.295563,Volvo 960 2.9 1996,10 s,200 km/h,Conversor de torque,Automático,,Traseira,Injeção multiponto,Natural,,6 em linha,Duplo no cabeçote,90 mm,83 mm,Longitudinal,Dianteiro,"8,67 kg/cv","57,1 kg/kgfm","61,9 cv/litro",181 cv,"10,7:1","9,4 kgfm/litro","27,5 kgfm",4,1440 mm,4871 mm,2770 mm,1750 mm,1570 kg,491 litros,80 litros,113 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Mola parabólica de lâmina única,"Indep., multibraço",952 km,424 km,"11,9 km/l","5,3 km/l",,5200 rpm,4100 rpm,4,"9,7 m",B6304S,,,Aisin AW30-43,1500 mm,1520 mm,"2,14 m²","0,770 m²","0,36",,487 cm³,2922 cm³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
