marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__acionam_do_comando,geral__regime_potencia_max,geral__regime_torque_max,geral__marchas,geral__diametro_de_giro,geral__codigo_do_motor,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__codigo_do_cambio,geral__bitola_dianteira,geral__bitola_traseira,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__cilindrada_unitaria,geral__deslocamento,geral__potencia,geral__torque,geral__carga_util,geral__reboque_com_freio,geral__reboque_sem_freio,geral__variacao_do_comando,geral__rotacao_maxima,geral__altura_minima_do_solo,geral__travessia_de_agua,geral__estepe,geral__autonomia,geral__capacidade_da_bateria,geral__consumo_eletrico,geral__potencia_combinada,geral__torque_combinado,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__frenagem_1000_kmh,geral__potencia_de_recarga,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__autonomia_eletrica,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__tuchos,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares
volvo,S60,s60,s60-r-design-t5-2-0-2013,s60-r-design-t5-2-0-2013,https://www.fichacompleta.com.br/carros/volvo/s60-r-design-t5-2-0-2013,2026-06-18T18:38:57.435479,Volvo S60 R-Design T5 2.0 2013,"7,3 s",230 km/h,Embreagem dupla banhada a óleo,Automatizado,6,Dianteira,Injeção multiponto,Turbocompressor,1999 cm³,4 em linha,"Duplo no cabeçote, corrente","83,1 mm","87,5 mm",Transversal,Dianteiro,"6,3 kg/cv","46,5 kg/kgfm","120,1 cv/litro",240 cv a 5500 rpm,10:1,"16,3 kgfm/litro","32,6 kgfm a 1800 rpm",4,1484 mm,4628 mm,2776 mm,1825 mm,1516 kg,380 litros,67 litros,94 mm,Disco ventilado,Disco sólido,Eletro-hidráulica,"11,5 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",704 km,536 km,"10,5 km/l",8 km/l,,,,,,B4204T7,,,MPS6,1588 mm,1585 mm,"2,3 m²","0,644 m²",,"0,28",,,,,524 kg,,,Admissão e escape,6500 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,S60,s60,s60-r-design-t6-3-0-awd-2013,s60-r-design-t6-3-0-awd-2013,https://www.fichacompleta.com.br/carros/volvo/s60-r-design-t6-3-0-awd-2013,2026-06-18T18:39:00.716176,Volvo S60 R-Design T6 3.0 AWD 2013,"6,1 s",250 km/h,Conversor de torque,Automático,6,Integral sob demanda,Injeção multiponto,Turbocompressor,2953 cm³,6 em linha,Duplo no cabeçote,"93,2 mm",82 mm,Transversal,Dianteiro,"5,4 kg/cv","36,5 kg/kgfm","102,9 cv/litro",304 cv a 5600 rpm,"9,3:1","15,2 kgfm/litro","44,9 kgfm a 2100 rpm",4,1484 mm,4628 mm,2776 mm,1825 mm,1640 kg,380 litros,67 litros,106 mm,Disco ventilado,Disco ventilado,Eletro-hidráulica,"11,3 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",576 km,402 km,"8,6 km/l",6 km/l,,,,,,B6304T4,,,,1588 mm,1585 mm,"2,27 m²","0,636 m²",,"0,28",,,,,514 kg,1800 kg,750 kg,,6500 rpm,136 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,S60,s60,s60-t4-1-6-2013,s60-t4-1-6-2013,https://www.fichacompleta.com.br/carros/volvo/s60-t4-1-6-2013,2026-06-18T18:39:05.151233,Volvo S60 T4 1.6 2013,"8,9 s",225 km/h,Embreagem dupla banhada a óleo,Automatizado,6,Dianteira,Injeção multiponto,Turbocompressor,1596 cm³,4 em linha,Duplo no cabeçote,"81,4 mm",79 mm,Transversal,Dianteiro,"8,2 kg/cv","60,6 kg/kgfm","112,8 cv/litro",180 cv a 5700 rpm,10:1,"15,4 kgfm/litro","24,5 kgfm a 1600 rpm",4,1484 mm,4628 mm,2776 mm,1825 mm,1484 kg,380 litros,67 litros,108 mm,Disco ventilado,Disco sólido,Eletro-hidráulica,"11,3 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",771 km,563 km,"11,5 km/l","8,4 km/l",,,,,,B4164T,,,MPS6,1578 mm,1575 mm,"2,3 m²","0,644 m²",,"0,28",,,,,550 kg,,,,6150 rpm,136 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,S60,s60,s60-t5-2-0-2013,s60-t5-2-0-2013,https://www.fichacompleta.com.br/carros/volvo/s60-t5-2-0-2013,2026-06-18T18:39:09.254440,Volvo S60 T5 2.0 2013,"7,3 s",230 km/h,Embreagem dupla banhada a óleo,Automatizado,6,Dianteira,Injeção multiponto,Turbocompressor,1999 cm³,4 em linha,"Duplo no cabeçote, corrente","83,1 mm","87,5 mm",Transversal,Dianteiro,"6,3 kg/cv","46,5 kg/kgfm","120,1 cv/litro",240 cv a 5500 rpm,10:1,"16,3 kgfm/litro","32,6 kgfm a 1800 rpm",4,1484 mm,4628 mm,2776 mm,1825 mm,1516 kg,380 litros,67 litros,94 mm,Disco ventilado,Disco sólido,Eletro-hidráulica,"11,5 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",704 km,536 km,"10,5 km/l",8 km/l,,,,,,B4204T7,,,MPS6,1588 mm,1585 mm,"2,3 m²","0,644 m²",,"0,28",,,,,524 kg,,,Admissão e escape,6500 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,S60,s60,s60-r-design-t5-2-0-2014,s60-r-design-t5-2-0-2014,https://www.fichacompleta.com.br/carros/volvo/s60-r-design-t5-2-0-2014,2026-06-18T18:39:13.997244,Volvo S60 R-Design T5 2.0 2014,"7,3 s",230 km/h,Embreagem dupla banhada a óleo,Automatizado,6,Dianteira,Injeção multiponto,Turbocompressor,1999 cm³,4 em linha,"Duplo no cabeçote, corrente","83,1 mm","87,5 mm",Transversal,Dianteiro,"6,3 kg/cv","46,5 kg/kgfm","120,1 cv/litro",240 cv a 5500 rpm,10:1,"16,3 kgfm/litro","32,6 kgfm a 1800 rpm",4,1484 mm,4628 mm,2776 mm,1825 mm,1516 kg,380 litros,67 litros,94 mm,Disco ventilado,Disco sólido,Eletro-hidráulica,"11,5 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",704 km,536 km,"10,5 km/l",8 km/l,,,,,,B4204T7,,,MPS6,1588 mm,1585 mm,"2,3 m²","0,644 m²",,"0,28",,,,,524 kg,,,Admissão e escape,6500 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,S60,s60,s60-r-design-t6-3-0-awd-2014,s60-r-design-t6-3-0-awd-2014,https://www.fichacompleta.com.br/carros/volvo/s60-r-design-t6-3-0-awd-2014,2026-06-18T18:39:17.870681,Volvo S60 R-Design T6 3.0 AWD 2014,"6,1 s",250 km/h,Conversor de torque,Automático,6,Integral sob demanda,Injeção multiponto,Turbocompressor,2953 cm³,6 em linha,Duplo no cabeçote,"93,2 mm",82 mm,Transversal,Dianteiro,"5,4 kg/cv","36,5 kg/kgfm","102,9 cv/litro",304 cv a 5600 rpm,"9,3:1","15,2 kgfm/litro","44,9 kgfm a 2100 rpm",4,1484 mm,4628 mm,2776 mm,1825 mm,1640 kg,380 litros,67 litros,106 mm,Disco ventilado,Disco ventilado,Eletro-hidráulica,"11,3 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",576 km,402 km,"8,6 km/l",6 km/l,,,,,,B6304T4,,,,1588 mm,1585 mm,"2,27 m²","0,636 m²",,"0,28",,,,,514 kg,1800 kg,750 kg,,6500 rpm,136 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,S60,s60,s60-kinetic-t5-2-0-2015,s60-kinetic-t5-2-0-2015,https://www.fichacompleta.com.br/carros/volvo/s60-kinetic-t5-2-0-2015,2026-06-18T18:39:22.617987,Volvo S60 Kinetic T5 2.0 2015,"6,3 s",230 km/h,Conversor de torque,Automático,8,Dianteira,Injeção direta,Turbocompressor,1969 cm³,4 em linha,"Duplo no cabeçote, correia dentada","93,2 mm",82 mm,Transversal,Dianteiro,"6,8 kg/cv","46,6 kg/kgfm","124,4 cv/litro",245 cv a 5500 rpm,"10,8:1","18,1 kgfm/litro","35,7 kgfm a 1500 rpm",4,1484 mm,4635 mm,2776 mm,1825 mm,1664 kg,380 litros,67 litros,108 mm,Disco ventilado,Disco ventilado,Eletro-hidráulica,"11,3 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",784 km,563 km,"11,7 km/l","8,4 km/l",,,,,,B4204T11,,,,1578 mm,1575 mm,"2,27 m²","0,636 m²",,"0,28",,,,,406 kg,1600 kg,750 kg,Admissão e escape,6000 rpm,136 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,S60,s60,s60-momentum-t5-2-0-2015,s60-momentum-t5-2-0-2015,https://www.fichacompleta.com.br/carros/volvo/s60-momentum-t5-2-0-2015,2026-06-18T18:39:25.055807,Volvo S60 Momentum T5 2.0 2015,"6,3 s",230 km/h,Conversor de torque,Automático,8,Dianteira,Injeção direta,Turbocompressor,1969 cm³,4 em linha,"Duplo no cabeçote, correia dentada","93,2 mm",82 mm,Transversal,Dianteiro,"6,8 kg/cv","46,6 kg/kgfm","124,4 cv/litro",245 cv a 5500 rpm,"10,8:1","18,1 kgfm/litro","35,7 kgfm a 1500 rpm",4,1484 mm,4635 mm,2776 mm,1825 mm,1664 kg,380 litros,67 litros,94 mm,Disco ventilado,Disco ventilado,Eletro-hidráulica,"11,3 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",784 km,563 km,"11,7 km/l","8,4 km/l",,,,,,B4204T11,,,,1578 mm,1575 mm,"2,27 m²","0,636 m²",,"0,28",,,,,406 kg,1600 kg,750 kg,Admissão e escape,6000 rpm,136 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,S60,s60,s60-r-design-t5-2-0-2015,s60-r-design-t5-2-0-2015,https://www.fichacompleta.com.br/carros/volvo/s60-r-design-t5-2-0-2015,2026-06-18T18:39:28.663227,Volvo S60 R-Design T5 2.0 2015,"6,3 s",230 km/h,Conversor de torque,Automático,8,Dianteira,Injeção direta,Turbocompressor,1969 cm³,4 em linha,Duplo no cabeçote,"93,2 mm",82 mm,Transversal,Dianteiro,"6,8 kg/cv","46,6 kg/kgfm","124,4 cv/litro",245 cv,"10,8:1","18,1 kgfm/litro","35,7 kgfm",4,1484 mm,4635 mm,2776 mm,1825 mm,1664 kg,380 litros,67 litros,94 mm,Disco ventilado,Disco ventilado,Eletro-hidráulica,"11,3 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",784 km,570 km,"11,7 km/l","8,5 km/l",Correia dentada,,,8,"11,3 m",B4204T11,5500 rpm,1500 rpm,,1578 mm,1575 mm,"2,27 m²","0,636 m²","0,28","0,28",,,,,396 kg,,,Admissão e escape,,136 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volvo,S60,s60,s60-r-design-t6-2-0-2015,s60-r-design-t6-2-0-2015,https://www.fichacompleta.com.br/carros/volvo/s60-r-design-t6-2-0-2015,2026-06-18T18:39:31.267979,Volvo S60 R-Design T6 2.0 2015,"5,9 s",250 km/h,Conversor de torque,Automático,6,Dianteira,Injeção direta,Turbocompressor e compressor,1969 cm³,4 em linha,"Duplo no cabeçote, correia dentada","93,2 mm",82 mm,Transversal,Dianteiro,"5,5 kg/cv","41,3 kg/kgfm","155,4 cv/litro",306 cv a 5700 rpm,"10,3:1","20,7 kgfm/litro","40,8 kgfm a 2100 rpm",4,1484 mm,4635 mm,2776 mm,1825 mm,1687 kg,380 litros,67 litros,94 mm,Disco ventilado,Disco ventilado,Eletro-hidráulica,"11,3 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",757 km,556 km,"11,3 km/l","8,3 km/l",,,,,,B4204T9,,,,1588 mm,1585 mm,"2,27 m²","0,636 m²",,"0,28",,,,,383 kg,1800 kg,750 kg,Admissão e escape,6000 rpm,136 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
