marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__marchas,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__bitola_dianteira,geral__bitola_traseira,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__assistencia,geral__diametro_de_giro,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__acionam_do_comando,geral__cilindrada_unitaria,geral__codigo_do_motor,geral__deslocamento,geral__regime_potencia_max,geral__regime_torque_max,geral__tuchos,geral__altura_minima_do_solo,geral__potencia,geral__torque,geral__variacao_do_comando,geral__codigo_do_cambio,geral__rotacao_maxima,geral__estepe,geral__reboque_com_freio,geral__reboque_sem_freio,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__angulo_de_entrada,geral__angulo_de_saida,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__frenagem_1000_kmh,geral__angulo_central,geral__autonomia,geral__capacidade_da_bateria,geral__consumo_eletrico,geral__potencia_combinada,geral__torque_combinado,geral__potencia_de_recarga,geral__rampa_maxima,geral__travessia_de_agua,geral__autonomia_eletrica,geral__veloc_max_modo_elet,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d
audi,100,100,100-2-8-v6-quattro-1993,100-2-8-v6-quattro-1993,https://www.fichacompleta.com.br/carros/audi/100-2-8-v6-quattro-1993,2026-06-18T17:14:05.593789,Audi 100 2.8 V6 Quattro 1993,"9,2 s",216 km/h,Conversor de torque,Automático,4,4,Integral permanente,Injeção multiponto,Natural,2771 cm³,6 em V,Único no cabeçote,"86,4 mm","82,5 mm",Longitudinal,Dianteiro,"8,6 kg/cv","60,0 kg/kgfm","62,8 cv/litro",174 cv,"10,3:1",5500 rpm,3000 rpm,"9,0 kgfm/litro",25 kgfm,2,1437 mm,1526 mm,1527 mm,550 kg,4790 mm,2692 mm,1777 mm,1500 kg,510 litros,80 litros,127 mm,Disco ventilado,Disco sólido,"2,17 m²","0,694 m²","0,32","0,32",Hidráulica,"11,4 m","11,4 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",624 km,488 km,"7,8 km/l","6,1 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,100,100,100-2-8-v6-quattro-1994,100-2-8-v6-quattro-1994,https://www.fichacompleta.com.br/carros/audi/100-2-8-v6-quattro-1994,2026-06-18T17:14:08.454918,Audi 100 2.8 V6 Quattro 1994,"9,2 s",216 km/h,Conversor de torque,Automático,,4,Integral permanente,Injeção multiponto,Natural,2771 cm³,6 em V,Único no cabeçote,,,Longitudinal,Dianteiro,"8,6 kg/cv","60,0 kg/kgfm","62,8 cv/litro",174 cv a 5500 rpm,"10,3:1",,,"9,0 kgfm/litro",25 kgfm a 3000 rpm,2,1437 mm,1526 mm,1527 mm,550 kg,4790 mm,2692 mm,1777 mm,1500 kg,510 litros,80 litros,127 mm,Disco ventilado,Disco sólido,"2,17 m²","0,694 m²",,"0,32",Hidráulica,,"11,4 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",624 km,488 km,"7,8 km/l","6,1 km/l","86,4 mm","82,5 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,100,100,100-2-8-v6-quattro-1995,100-2-8-v6-quattro-1995,https://www.fichacompleta.com.br/carros/audi/100-2-8-v6-quattro-1995,2026-06-18T17:14:12.325503,Audi 100 2.8 V6 Quattro 1995,"9,2 s",216 km/h,Conversor de torque,Automático,4,,Integral permanente,Injeção multiponto,Natural,,6 em V,Único no cabeçote,"86,4 mm","82,5 mm",Longitudinal,Dianteiro,"8,62 kg/cv","60,0 kg/kgfm","62,8 cv/litro",174 cv,"10,3:1",,,"9,0 kgfm/litro",25 kgfm,2,1437 mm,1526 mm,1527 mm,550 kg,4790 mm,2692 mm,1777 mm,1500 kg,510 litros,80 litros,127 mm,Disco ventilado,Disco sólido,"2,17 m²","0,694 m²","0,32",,Hidráulica,"11,4 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",624 km,488 km,"7,8 km/l","6,1 km/l",,,Correia dentada,462 cm³,EA835,2771 cm³,5500 rpm,3000 rpm,Hidráulicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80,80,80-2-0-1994,80-2-0-1994,https://www.fichacompleta.com.br/carros/audi/80-2-0-1994,2026-06-18T17:15:03.650762,Audi 80 2.0 1994,"12,9 s",187 km/h,Embreagem monodisco a seco,Manual,5,5,Dianteira,Injeção multiponto,Natural,1984 cm³,4 em linha,Único no cabeçote,"92,8 mm","82,5 mm",Longitudinal,Dianteiro,"10,7 kg/cv","73,2 kg/kgfm","58,0 cv/litro",115 cv,"10,4:1",5400 rpm,3200 rpm,"8,5 kgfm/litro","16,8 kgfm",2,1406 mm,1410 mm,1430 mm,460 kg,4482 mm,2545 mm,1695 mm,1230 kg,425 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,609 m²","0,3","0,3",Hidráulica,"11,2 m","11,2 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",680 km,568 km,"10,3 km/l","8,6 km/l",,,,,EA827,,,,,110 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80,80,80-2-6-v6-1994,80-2-6-v6-1994,https://www.fichacompleta.com.br/carros/audi/80-2-6-v6-1994,2026-06-18T17:15:06.154604,Audi 80 2.6 V6 1994,"10,9 s",208 km/h,Conversor de torque,Automático,,4,Dianteira,Injeção multiponto,Natural,2598 cm³,6 em V,Único no cabeçote,81 mm,"82,5 mm",Longitudinal,Dianteiro,"8,9 kg/cv","58,1 kg/kgfm","57,7 cv/litro",150 cv a 5750 rpm,10:1,,,"8,8 kgfm/litro","22,9 kgfm a 3200 rpm",2,1406 mm,1448 mm,1471 mm,460 kg,4482 mm,2612 mm,1695 mm,1330 kg,430 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,609 m²",,"0,3",Hidráulica,,"11,2 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",587 km,429 km,"8,9 km/l","6,5 km/l",,,,,,,,,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80,80,80-2-8-v6-1994,80-2-8-v6-1994,https://www.fichacompleta.com.br/carros/audi/80-2-8-v6-1994,2026-06-18T17:15:10.163542,Audi 80 2.8 V6 1994,"9,6 s",218 km/h,Conversor de torque,Automático,,4,Dianteira,Injeção multiponto,Natural,2771 cm³,6 em V,Único no cabeçote,"86,4 mm","82,5 mm",Longitudinal,Dianteiro,"7,6 kg/cv","53,2 kg/kgfm","62,8 cv/litro",174 cv a 5500 rpm,"10,3:1",,,"9,0 kgfm/litro",25 kgfm a 3000 rpm,2,1406 mm,1448 mm,1471 mm,460 kg,4482 mm,2612 mm,1695 mm,1330 kg,430 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,609 m²",,"0,3",Hidráulica,,"11,2 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",587 km,422 km,"8,9 km/l","6,4 km/l",,,,,,,,,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80,80,80-2-0-1995,80-2-0-1995,https://www.fichacompleta.com.br/carros/audi/80-2-0-1995,2026-06-18T17:15:12.874533,Audi 80 2.0 1995,"12,9 s",187 km/h,Embreagem monodisco a seco,Manual,5,,Dianteira,Injeção multiponto,Natural,,4 em linha,Único no cabeçote,"92,8 mm","82,5 mm",Longitudinal,Dianteiro,"10,70 kg/cv","73,2 kg/kgfm","58,0 cv/litro",115 cv,"10,4:1",,,"8,5 kgfm/litro","16,8 kgfm",2,1406 mm,1410 mm,1430 mm,460 kg,4482 mm,2545 mm,1695 mm,1230 kg,425 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,609 m²","0,3",,Hidráulica,"11,2 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",680 km,568 km,"10,3 km/l","8,6 km/l",,,,496 cm³,EA827,1984 cm³,5400 rpm,3200 rpm,,110 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80,80,80-2-6-v6-1995,80-2-6-v6-1995,https://www.fichacompleta.com.br/carros/audi/80-2-6-v6-1995,2026-06-18T17:15:16.873296,Audi 80 2.6 V6 1995,"10,9 s",208 km/h,Conversor de torque,Automático,4,,Dianteira,Injeção multiponto,Natural,,6 em V,Único no cabeçote,81 mm,"82,5 mm",Longitudinal,Dianteiro,"8,87 kg/cv","58,1 kg/kgfm","57,7 cv/litro",150 cv,10:1,,,"8,8 kgfm/litro","22,9 kgfm",2,1406 mm,1448 mm,1471 mm,460 kg,4482 mm,2612 mm,1695 mm,1330 kg,430 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,609 m²","0,3",,Hidráulica,"11,2 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",587 km,429 km,"8,9 km/l","6,5 km/l",,,,433 cm³,,2598 cm³,5750 rpm,3200 rpm,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80,80,80-2-8-v6-1995,80-2-8-v6-1995,https://www.fichacompleta.com.br/carros/audi/80-2-8-v6-1995,2026-06-18T17:15:20.358420,Audi 80 2.8 V6 1995,"9,6 s",218 km/h,Conversor de torque,Automático,4,,Dianteira,Injeção multiponto,Natural,,6 em V,Único no cabeçote,"86,4 mm","82,5 mm",Longitudinal,Dianteiro,"7,64 kg/cv","53,2 kg/kgfm","62,8 cv/litro",174 cv,"10,3:1",,,"9,0 kgfm/litro",25 kgfm,2,1406 mm,1448 mm,1471 mm,460 kg,4482 mm,2612 mm,1695 mm,1330 kg,430 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,609 m²","0,3",,Hidráulica,"11,2 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",587 km,422 km,"8,9 km/l","6,4 km/l",,,,462 cm³,,2771 cm³,5500 rpm,3000 rpm,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80 Avant,80-avant,80-avant-2-0-1994,80-avant-2-0-1994,https://www.fichacompleta.com.br/carros/audi/80-avant-2-0-1994,2026-06-18T17:15:37.959792,Audi 80 Avant 2.0 1994,"12,2 s",186 km/h,Embreagem monodisco a seco,Manual,5,,Dianteira,Injeção multiponto,Natural,,4 em linha,Único no cabeçote,"92,8 mm","82,5 mm",Longitudinal,Dianteiro,"11,04 kg/cv","75,6 kg/kgfm","58,0 cv/litro",115 cv,"10,4:1",,,"8,5 kgfm/litro","16,8 kgfm",2,1408 mm,1448 mm,1471 mm,550 kg,4482 mm,2612 mm,1695 mm,1270 kg,370 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,690 m²","0,34",,Hidráulica,"11,2 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",680 km,568 km,"10,3 km/l","8,6 km/l",,,,496 cm³,EA827,1984 cm³,5400 rpm,3200 rpm,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80 Avant,80-avant,80-avant-2-6-v6-1994,80-avant-2-6-v6-1994,https://www.fichacompleta.com.br/carros/audi/80-avant-2-6-v6-1994,2026-06-18T17:15:40.728563,Audi 80 Avant 2.6 V6 1994,"11,2 s",203 km/h,Conversor de torque,Automático,4,,Dianteira,Injeção multiponto,Natural,2598 cm³,6 em V,Único no cabeçote,81 mm,"82,5 mm",Longitudinal,Dianteiro,"9,1 kg/cv","59,8 kg/kgfm","57,7 cv/litro",150 cv,10:1,,,"8,8 kgfm/litro","22,9 kgfm",2,1408 mm,1448 mm,1471 mm,550 kg,4482 mm,2612 mm,1695 mm,1370 kg,370 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,690 m²","0,34",,Hidráulica,"11,2 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",561 km,429 km,"8,5 km/l","6,5 km/l",,,,,,,5750 rpm,3200 rpm,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80 Avant,80-avant,80-avant-2-0-1995,80-avant-2-0-1995,https://www.fichacompleta.com.br/carros/audi/80-avant-2-0-1995,2026-06-18T17:15:44.422022,Audi 80 Avant 2.0 1995,"12,2 s",186 km/h,Embreagem monodisco a seco,Manual,5,,Dianteira,Injeção multiponto,Natural,,4 em linha,Único no cabeçote,"92,8 mm","82,5 mm",Longitudinal,Dianteiro,"11,04 kg/cv","75,6 kg/kgfm","58,0 cv/litro",115 cv,"10,4:1",,,"8,5 kgfm/litro","16,8 kgfm",2,1408 mm,1448 mm,1471 mm,550 kg,4482 mm,2612 mm,1695 mm,1270 kg,370 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,690 m²","0,34",,Hidráulica,"11,2 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",680 km,568 km,"10,3 km/l","8,6 km/l",,,,496 cm³,EA827,1984 cm³,5400 rpm,3200 rpm,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80 Avant,80-avant,80-avant-2-6-v6-1995,80-avant-2-6-v6-1995,https://www.fichacompleta.com.br/carros/audi/80-avant-2-6-v6-1995,2026-06-18T17:15:47.605407,Audi 80 Avant 2.6 V6 1995,"11,2 s",203 km/h,Conversor de torque,Automático,,4,Dianteira,Injeção multiponto,Natural,2598 cm³,6 em V,Único no cabeçote,81 mm,"82,5 mm",Longitudinal,Dianteiro,"9,1 kg/cv","59,8 kg/kgfm","57,7 cv/litro",150 cv a 5750 rpm,10:1,,,"8,8 kgfm/litro","22,9 kgfm a 3200 rpm",2,1408 mm,1448 mm,1471 mm,550 kg,4482 mm,2612 mm,1695 mm,1370 kg,370 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,690 m²",,"0,34",Hidráulica,,"11,2 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",561 km,429 km,"8,5 km/l","6,5 km/l",,,,,,,,,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80 Avant,80-avant,80-avant-2-6-v6-1995-gasolina,80-avant-2-6-v6-1995-gasolina,https://www.fichacompleta.com.br/carros/audi/80-avant-2-6-v6-1995-gasolina,2026-06-18T17:15:52.456123,Audi 80 Avant 2.6 V6 1995,"9,5 s",207 km/h,Embreagem monodisco a seco,Manual,5,,Dianteira,Injeção multiponto,Natural,2598 cm³,6 em V,Único no cabeçote,81 mm,"82,5 mm",Longitudinal,Dianteiro,"9,1 kg/cv","59,8 kg/kgfm","57,7 cv/litro",150 cv,10:1,,,"8,8 kgfm/litro","22,9 kgfm",2,1408 mm,1448 mm,1471 mm,550 kg,4482 mm,2612 mm,1695 mm,1370 kg,370 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,690 m²","0,34",,Hidráulica,"11,2 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",594 km,462 km,9 km/l,7 km/l,,,,,,,5750 rpm,3500 rpm,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80 Avant,80-avant,80-avant-2-8-v6-1995,80-avant-2-8-v6-1995,https://www.fichacompleta.com.br/carros/audi/80-avant-2-8-v6-1995,2026-06-18T17:15:56.225048,Audi 80 Avant 2.8 V6 1995,"9,8 s",213 km/h,Conversor de torque,Automático,,4,Dianteira,Injeção multiponto,Natural,2771 cm³,6 em V,Único no cabeçote,"86,4 mm","82,5 mm",Longitudinal,Dianteiro,"7,9 kg/cv","54,8 kg/kgfm","62,8 cv/litro",174 cv a 5500 rpm,"10,3:1",,,"9,0 kgfm/litro",25 kgfm a 3000 rpm,2,1408 mm,1448 mm,1471 mm,550 kg,4482 mm,2612 mm,1695 mm,1370 kg,370 litros,66 litros,127 mm,Disco ventilado,Disco sólido,"2,03 m²","0,690 m²",,"0,34",Hidráulica,,"11,2 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",568 km,416 km,"8,6 km/l","6,3 km/l",,,,,,,,,,135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80 Cabriolet,80-cabriolet,80-cabriolet-2-8-v6-1995,80-cabriolet-2-8-v6-1995,https://www.fichacompleta.com.br/carros/audi/80-cabriolet-2-8-v6-1995,2026-06-18T17:16:14.369797,Audi 80 Cabriolet 2.8 V6 1995,"11,1 s",217 km/h,Conversor de torque,Automático,,4,Dianteira,Injeção multiponto,Natural,2771 cm³,6 em V,Único no cabeçote,"86,4 mm","82,5 mm",Longitudinal,Dianteiro,"8,4 kg/cv","57,1 kg/kgfm","62,8 cv/litro",174 cv a 5500 rpm,"10,3:1",,,"9,2 kgfm/litro","25,5 kgfm a 3000 rpm",2,1379 mm,1453 mm,1447 mm,400 kg,4366 mm,2556 mm,1716 mm,1455 kg,230 litros,70 litros,123 mm,Disco ventilado,Disco sólido,"2,01 m²","0,724 m²",,"0,36",Hidráulica,,"11,2 m","Independente, McPherson",Mola helicoidal,"Independente, multibraço",623 km,448 km,"8,9 km/l","6,4 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80 Cabriolet,80-cabriolet,80-cabriolet-2-8-v6-1996,80-cabriolet-2-8-v6-1996,https://www.fichacompleta.com.br/carros/audi/80-cabriolet-2-8-v6-1996,2026-06-18T17:16:17.753815,Audi 80 Cabriolet 2.8 V6 1996,"11,1 s",217 km/h,Conversor de torque,Automático,4,,Dianteira,Injeção multiponto,Natural,2771 cm³,6 em V,Único no cabeçote,"86,4 mm","82,5 mm",Longitudinal,Dianteiro,"8,4 kg/cv","57,1 kg/kgfm","62,8 cv/litro",174 cv,"10,3:1",,,"9,2 kgfm/litro","25,5 kgfm",2,1379 mm,1453 mm,1447 mm,400 kg,4366 mm,2556 mm,1716 mm,1455 kg,230 litros,70 litros,123 mm,Disco ventilado,Disco sólido,"2,01 m²","0,724 m²","0,36",,Hidráulica,"11,2 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",623 km,448 km,"8,9 km/l","6,4 km/l",,,,,,,5500 rpm,3000 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,80 Cabriolet,80-cabriolet,80-cabriolet-2-8-v6-1997,80-cabriolet-2-8-v6-1997,https://www.fichacompleta.com.br/carros/audi/80-cabriolet-2-8-v6-1997,2026-06-18T17:16:22.208935,Audi 80 Cabriolet 2.8 V6 1997,"11,1 s",217 km/h,Conversor de torque,Automático,4,,Dianteira,Injeção multiponto,Natural,2771 cm³,6 em V,Único no cabeçote,"86,4 mm","82,5 mm",Longitudinal,Dianteiro,"8,4 kg/cv","57,1 kg/kgfm","62,8 cv/litro",,"10,3:1",5500 rpm,3000 rpm,"9,2 kgfm/litro",,2,1379 mm,1453 mm,1447 mm,400 kg,4366 mm,2556 mm,1716 mm,1455 kg,230 litros,70 litros,123 mm,Disco ventilado,Disco sólido,"2,01 m²","0,724 m²","0,36",,Hidráulica,"11,2 m",,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",623 km,448 km,"8,9 km/l","6,4 km/l",,,,,,,,,,,174 cv,"25,5 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,A1,a1,a1-attraction-1-4-tfsi-2011,a1-attraction-1-4-tfsi-2011,https://www.fichacompleta.com.br/carros/audi/a1-attraction-1-4-tfsi-2011,2026-06-18T17:16:39.797661,Audi A1 Attraction 1.4 TFSi 2011,"8,9 s",203 km/h,Embreagem dupla a seco,Automatizado,7,7,Dianteira,Injeção direta,Turbocompressor,1390 cm³,4 em linha,Duplo no cabeçote,"75,6 mm","76,5 mm",Transversal,Dianteiro,"9,2 kg/cv","55,1 kg/kgfm","87,8 cv/litro",122 cv,10:1,5000 rpm,1500 rpm,"14,7 kgfm/litro","20,4 kgfm",4,1416 mm,1477 mm,1471 mm,450 kg,3954 mm,2469 mm,1746 mm,1125 kg,270 litros,45 litros,97 mm,Disco ventilado,Disco sólido,"2,04 m²","0,694 m²","0,34","0,34",Eletro-hidráulica,"10,6 m","10,6 m","Indep., McPherson",Mola helicoidal,Eixo de torção,630 km,486 km,14 km/l,"10,8 km/l",,,Correia dentada,,,,,,Hidráulicos,,,,Admissão,DQ200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,A1,a1,a1-attraction-1-4-tfsi-2012,a1-attraction-1-4-tfsi-2012,https://www.fichacompleta.com.br/carros/audi/a1-attraction-1-4-tfsi-2012,2026-06-18T17:16:44.602215,Audi A1 Attraction 1.4 TFSi 2012,"8,9 s",203 km/h,Embreagem dupla a seco,Automatizado,,7,Dianteira,Injeção direta,Turbocompressor,1390 cm³,4 em linha,"Duplo no cabeçote, correia dentada","75,6 mm","76,5 mm",Transversal,Dianteiro,"9,2 kg/cv","55,1 kg/kgfm","87,8 cv/litro",122 cv a 5000 rpm,10:1,,,"14,7 kgfm/litro","20,4 kgfm a 1500 rpm",4,1416 mm,1477 mm,1471 mm,450 kg,3954 mm,2469 mm,1746 mm,1125 kg,270 litros,45 litros,97 mm,Disco ventilado,Disco sólido,"2,04 m²","0,694 m²",,"0,34",Eletro-hidráulica,,"10,6 m","Independente, McPherson",Mola helicoidal,Eixo de torção,630 km,486 km,14 km/l,"10,8 km/l",,,,,,,,,Hidráulicos,,,,Admissão,DSG DQ200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,A1,a1,a1-2-0-tfsi-quattro-2013,a1-2-0-tfsi-quattro-2013,https://www.fichacompleta.com.br/carros/audi/a1-2-0-tfsi-quattro-2013,2026-06-18T17:16:48.571483,Audi A1 2.0 TFSi Quattro 2013,"5,7 s",245 km/h,Embreagem monodisco a seco,Manual,6,,Integral sob demanda,Injeção direta e indireta,Turbocompressor,1984 cm³,4 em linha,Duplo no cabeçote,"92,8 mm","82,5 mm",Transversal,Dianteiro,"5,4 kg/cv","38,9 kg/kgfm","129,0 cv/litro",256 cv,"9,8:1",,,"18,0 kgfm/litro","35,7 kgfm",4,1416 mm,1463 mm,1450 mm,400 kg,3987 mm,2469 mm,1746 mm,1390 kg,210 litros,45 litros,79 mm,Disco ventilado,Disco sólido,"2,04 m²","0,734 m²","0,36",,Eletro-hidráulica,Não informado,,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",504 km,306 km,"11,2 km/l","6,8 km/l",,,Corrente,,EA888,,6000 rpm,2500 rpm,Hidráulicos,,,,Admissão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,A1,a1,a1-attraction-1-4-tfsi-2013,a1-attraction-1-4-tfsi-2013,https://www.fichacompleta.com.br/carros/audi/a1-attraction-1-4-tfsi-2013,2026-06-18T17:16:52.483653,Audi A1 Attraction 1.4 TFSi 2013,"8,9 s",203 km/h,Embreagem dupla a seco,Automatizado,,7,Dianteira,Injeção direta,Turbocompressor,1390 cm³,4 em linha,"Duplo no cabeçote, correia dentada","75,6 mm","76,5 mm",Transversal,Dianteiro,"9,2 kg/cv","55,1 kg/kgfm","87,8 cv/litro",122 cv a 5000 rpm,10:1,,,"14,7 kgfm/litro","20,4 kgfm a 1500 rpm",4,1416 mm,1477 mm,1471 mm,450 kg,3954 mm,2469 mm,1746 mm,1125 kg,270 litros,45 litros,97 mm,Disco ventilado,Disco sólido,"2,04 m²","0,694 m²",,"0,34",Eletro-hidráulica,,"10,6 m","Independente, McPherson",Mola helicoidal,Eixo de torção,630 km,486 km,14 km/l,"10,8 km/l",,,,,,,,,Hidráulicos,,,,Admissão,DSG DQ200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,A1,a1,a1-sport-1-4-tfsi-2013,a1-sport-1-4-tfsi-2013,https://www.fichacompleta.com.br/carros/audi/a1-sport-1-4-tfsi-2013,2026-06-18T17:16:56.980706,Audi A1 Sport 1.4 TFSi 2013,"6,9 s",227 km/h,Embreagem dupla a seco,Automatizado,7,7,Dianteira,Injeção direta,Turbocompressor e compressor,1390 cm³,4 em linha,Duplo no cabeçote,"75,6 mm","76,5 mm",Transversal,Dianteiro,"6,8 kg/cv","49,6 kg/kgfm","133,1 cv/litro",185 cv,10:1,6200 rpm,2000 rpm,"18,3 kgfm/litro","25,5 kgfm",4,1416 mm,1477 mm,1471 mm,450 kg,3954 mm,2469 mm,1746 mm,1265 kg,270 litros,45 litros,86 mm,Disco ventilado,Disco sólido,"2,04 m²","0,694 m²","0,34","0,34",Eletro-hidráulica,"10,6 m","10,6 m","Indep., McPherson",Mola helicoidal,Eixo de torção,617 km,473 km,"13,7 km/l","10,5 km/l",,,,,,,,,,,,,,DQ200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audi,A1,a1,a1-sportback-ambition-1-4-tfsi-2013,a1-sportback-ambition-1-4-tfsi-2013,https://www.fichacompleta.com.br/carros/audi/a1-sportback-ambition-1-4-tfsi-2013,2026-06-18T17:17:00.744358,Audi A1 Sportback Ambition 1.4 TFSi 2013,7 s,227 km/h,Embreagem dupla a seco,Automatizado,7,7,Dianteira,Injeção direta,Turbocompressor e compressor,1390 cm³,4 em linha,Duplo no cabeçote,"75,6 mm","76,5 mm",Transversal,Dianteiro,"6,6 kg/cv","47,6 kg/kgfm","133,1 cv/litro",185 cv,10:1,6200 rpm,2000 rpm,"18,3 kgfm/litro","25,5 kgfm",4,1422 mm,1477 mm,1471 mm,450 kg,3954 mm,2469 mm,1746 mm,1215 kg,270 litros,45 litros,86 mm,Disco ventilado,Disco sólido,"2,04 m²","0,694 m²","0,34","0,34",Eletro-hidráulica,"10,6 m","10,6 m","Indep., McPherson",Mola helicoidal,Eixo de torção,617 km,473 km,"13,7 km/l","10,5 km/l",,,,,,,,,,,,,,DQ200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
