marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__altura,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__altura_do_flanco,geral__dianteiros,geral__estepe,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__autonomia,geral__capacidade_da_bateria,geral__consumo_eletrico,geral__pesopotencia,geral__pesotorque,geral__potencia,geral__torque,geral__cambio,geral__marchas,geral__tracao,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__altura_minima_do_solo,geral__potencia_de_recarga,geral__angulo_de_entrada,geral__angulo_de_saida,geral__rampa_maxima,geral__acionam_do_comando,geral__alimentacao,geral__aspiracao,geral__cilindrada_unitaria,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__deslocamento,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__rotacao_maxima,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__acoplamento,geral__codigo_do_cambio,geral__angulo_central,geral__bitola_dianteira,geral__bitola_traseira,geral__cacamba,geral__reboque_com_freio,geral__reboque_sem_freio,geral__tanque_de_combustivel,geral__travessia_de_agua,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__diametro_minimo_de_giro,geral__quantidade_de_marchas,geral__cilindrada,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__variacao_do_comando,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__curso_dos_pistoes,geral__diametro_dos_cilindros
jac,E-js1,e-js1,e-js1-city-cargo-2025,e-js1-city-cargo-2025,https://www.fichacompleta.com.br/carros/jac/e-js1-city-cargo-2025,2026-06-20T21:46:44.470444,Jac E-js1 City Cargo 2025,"10,7 s",105 km/h,1540 mm,400 kg,3650 mm,2390 mm,1670 mm,1180 kg,1200 litros,107 mm,Disco ventilado,Kit de reparo,Disco sólido,Elétrica,9 m,181 km,"30,2 kWh",10 kWh/100 km,"19,03 kg/cv","77,12 kg/kgfm",62 cv (dianteiro),"15,3 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,130 mm,40 kW (DC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-js1,e-js1,e-js1-extreme-2025,e-js1-extreme-2025,https://www.fichacompleta.com.br/carros/jac/e-js1-extreme-2025,2026-06-20T21:46:48.404911,Jac E-js1 Extreme 2025,"10,7 s",105 km/h,1590 mm,370 kg,3650 mm,2390 mm,1670 mm,1180 kg,121 litros,123 mm,Disco ventilado,Kit de reparo,Disco sólido,Elétrica,9 m,181 km,"30,2 kWh","9,6 kWh/100 km","19,03 kg/cv","77,12 kg/kgfm",62 cv (dianteiro),"15,3 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,210 mm,40 kW (DC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-js1,e-js1,e-js1-bev-2026,e-js1-bev-2026,https://www.fichacompleta.com.br/carros/jac/e-js1-bev-2026,2026-06-20T21:46:52.580261,Jac E-js1 BEV 2026,"10,7 s",110 km/h,1540 mm,450 kg,3650 mm,2390 mm,1670 mm,1180 kg,121 litros,107 mm,Disco ventilado,Kit de reparo,Disco sólido,Elétrica,9 m,181 km,"30,2 kWh","9,6 kWh/100 km","19,03 kg/cv","77,12 kg/kgfm",62 cv (dianteiro),"15,3 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,130 mm,40 kW (DC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-js1,e-js1,e-js1-city-cargo-2026,e-js1-city-cargo-2026,https://www.fichacompleta.com.br/carros/jac/e-js1-city-cargo-2026,2026-06-20T21:46:56.931133,Jac E-js1 City Cargo 2026,"10,7 s",105 km/h,1540 mm,400 kg,3650 mm,2390 mm,1670 mm,1180 kg,1200 litros,107 mm,Disco ventilado,Kit de reparo,Disco sólido,Elétrica,9 m,181 km,"30,2 kWh",10 kWh/100 km,"19,03 kg/cv","77,12 kg/kgfm",62 cv (dianteiro),"15,3 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,130 mm,40 kW (DC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-js1,e-js1,e-js1-extreme-2026,e-js1-extreme-2026,https://www.fichacompleta.com.br/carros/jac/e-js1-extreme-2026,2026-06-20T21:47:01.221790,Jac E-js1 Extreme 2026,"10,7 s",105 km/h,1590 mm,370 kg,3650 mm,2390 mm,1670 mm,1180 kg,121 litros,123 mm,Disco ventilado,Kit de reparo,Disco sólido,Elétrica,9 m,181 km,"30,2 kWh","9,6 kWh/100 km","19,03 kg/cv","77,12 kg/kgfm",62 cv (dianteiro),"15,3 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,210 mm,40 kW (DC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-js4,e-js4,e-js4--2022,e-js4--2022,https://www.fichacompleta.com.br/carros/jac/e-js4--2022,2026-06-20T21:47:19.744175,Jac E-js4  2022,"7,5 s",150 km/h,1656 mm,470 kg,4398 mm,2620 mm,1782 mm,1690 kg,520 litros,101 mm,Disco ventilado,Kit de reparo e enchimento,Disco sólido,Elétrica,Não informado,420 km,55 kWh,13 kWh/100 km,"11,27 kg/cv","48,70 kg/kgfm",150 cv,"34,7 kgfm",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,145 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-js4,e-js4,e-js4--2023,e-js4--2023,https://www.fichacompleta.com.br/carros/jac/e-js4--2023,2026-06-20T21:47:22.509837,Jac E-js4  2023,"7,5 s",150 km/h,1656 mm,470 kg,4398 mm,2620 mm,1782 mm,1690 kg,520 litros,101 mm,Disco ventilado,Kit de reparo e enchimento,Disco sólido,Elétrica,Não informado,420 km,55 kWh,13 kWh/100 km,"11,27 kg/cv","48,70 kg/kgfm",150 cv,"34,7 kgfm",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,145 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-jv5.5,e-jv5-5,e-jv5-5-bev-2023,e-jv5-5-bev-2023,https://www.fichacompleta.com.br/carros/jac/e-jv5-5-bev-2023,2026-06-20T21:48:08.061311,Jac E-jv5.5 BEV 2023,20 s,150 km/h,1765 mm,808 kg,5115 mm,3080 mm,1900 mm,2050 kg,5500 litros,137 mm,Disco ventilado,,Disco sólido,Elétrica,Não informado,300 km,50 kWh,,"10,05 kg/cv","68,11 kg/kgfm",204 cv (dianteiro),"30,1 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Feixe de molas semielípticas,Eixo rígido,130 mm,,21 graus,22 graus,"11,3 graus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-jv5.5,e-jv5-5,e-jv5-5-bev-2025,e-jv5-5-bev-2025,https://www.fichacompleta.com.br/carros/jac/e-jv5-5-bev-2025,2026-06-20T21:48:10.478696,Jac E-jv5.5 BEV 2025,20 s,150 km/h,1900 mm,808 kg,5115 mm,3080 mm,1765 mm,2050 kg,5500 litros,137 mm,Disco ventilado,,Disco sólido,Elétrica,Não informado,260 km,50 kWh,,"10,05 kg/cv","68,11 kg/kgfm",204 cv (dianteiro),"30,1 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Feixe de molas semielípticas,Eixo rígido,130 mm,,21 graus,22 graus,"11,3 graus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-jv7l,e-jv7l,e-jv7l-bev-2023,e-jv7l-bev-2023,https://www.fichacompleta.com.br/carros/jac/e-jv7l-bev-2023,2026-06-20T21:48:28.189000,Jac E-jv7l BEV 2023,20 s,150 km/h,1900 mm,,5115 mm,3080 mm,1765 mm,2100 kg,200 litros,137 mm,Disco ventilado,,Disco ventilado,Elétrica,Não informado,300 km,"50,2 kWh",,"10,29 kg/cv","69,77 kg/kgfm",204 cv (dianteiro),"30,1 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Feixe de molas semielípticas,Eixo rígido,130 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-jv7l,e-jv7l,e-jv7l-bev-2024,e-jv7l-bev-2024,https://www.fichacompleta.com.br/carros/jac/e-jv7l-bev-2024,2026-06-20T21:48:32.777450,Jac E-jv7l BEV 2024,20 s,150 km/h,1900 mm,,5115 mm,3080 mm,1765 mm,2100 kg,200 litros,137 mm,Disco ventilado,,Disco ventilado,Elétrica,Não informado,300 km,"50,2 kWh",,"10,29 kg/cv","69,77 kg/kgfm",204 cv (dianteiro),"30,1 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Feixe de molas semielípticas,Eixo rígido,130 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,E-jv7l,e-jv7l,e-jv7l-bev-2025,e-jv7l-bev-2025,https://www.fichacompleta.com.br/carros/jac/e-jv7l-bev-2025,2026-06-20T21:48:37.350134,Jac E-jv7l BEV 2025,20 s,150 km/h,1900 mm,,5115 mm,3080 mm,1765 mm,2100 kg,200 litros,137 mm,Disco ventilado,,Disco ventilado,Elétrica,Não informado,300 km,"50,2 kWh",,"10,29 kg/cv","69,77 kg/kgfm",204 cv (dianteiro),"30,1 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Feixe de molas semielípticas,Eixo rígido,130 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,Hunter,hunter,hunter-hd-2-0-at-2024,hunter-hd-2-0-at-2024,https://www.fichacompleta.com.br/carros/jac/hunter-hd-2-0-at-2024,2026-06-20T21:49:08.395980,Jac Hunter HD 2.0 AT 2024,"11,9 s",185 km/h,1920 mm,1400 kg,5330 mm,3110 mm,1965 mm,2050 kg,,159 mm,Disco ventilado,265/60 R18,Disco ventilado,Eletro-hidráulica,"12,4 m",,,,"10,73 kg/cv","43,7 kg/kgfm",,,Automático,8,Integral temporária,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,240 mm,,27 graus,23 graus,"26,6 graus",Corrente,Injeção direta,Turbocompressor,500 cm³,4 em linha,HFC4DB2-2E1,Duplo no cabeçote,"92,4 mm",1999 cm³,83 mm,Longitudinal,Dianteiro,"95,5 cv/litro",191 cv,"17,5:1",3600 rpm,1500 rpm,4500 rpm,"23,5 kgfm/litro","46,9 kgfm",4,Conversor de torque,ZF 8HP,26 graus,1610 mm,1610 mm,1135 litros,5250 kg,4200 kg,80 litros,650 mm,816 km,720 km,"10,2 km/l",9 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,Hunter,hunter,hunter-4work-2-0-at-2025,hunter-4work-2-0-at-2025,https://www.fichacompleta.com.br/carros/jac/hunter-4work-2-0-at-2025,2026-06-20T21:49:12.154996,Jac Hunter 4Work 2.0 AT 2025,"11,9 s",185 km/h,1920 mm,1460 kg,5330 mm,3110 mm,1965 mm,2050 kg,,159 mm,Disco ventilado,265/60 R18,Disco ventilado,Eletro-hidráulica,"12,4 m",,,,"10,73 kg/cv","43,7 kg/kgfm",,,Automático,8,Integral temporária,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,240 mm,,27 graus,23 graus,"26,6 graus",Corrente,Injeção direta,Turbocompressor,500 cm³,4 em linha,HFC4DB2-2E1,Duplo no cabeçote,"92,4 mm",1999 cm³,83 mm,Longitudinal,Dianteiro,"95,5 cv/litro",191 cv,"17,5:1",3600 rpm,1500 rpm,4500 rpm,"23,5 kgfm/litro","46,9 kgfm",4,Conversor de torque,ZF 8HP,26 graus,1610 mm,1610 mm,1135 litros,5250 kg,4200 kg,80 litros,650 mm,816 km,720 km,"10,2 km/l",9 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,Hunter,hunter,hunter-hd-2-0-at-2025,hunter-hd-2-0-at-2025,https://www.fichacompleta.com.br/carros/jac/hunter-hd-2-0-at-2025,2026-06-20T21:49:16.712303,Jac Hunter HD 2.0 AT 2025,"11,9 s",185 km/h,1920 mm,1400 kg,5330 mm,3110 mm,1965 mm,2050 kg,,159 mm,Disco ventilado,265/60 R18,Disco ventilado,Eletro-hidráulica,"12,4 m",,,,"10,73 kg/cv","43,7 kg/kgfm",,,Automático,8,Integral temporária,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,240 mm,,27 graus,23 graus,"26,6 graus",Corrente,Injeção direta,Turbocompressor,500 cm³,4 em linha,HFC4DB2-2E1,Duplo no cabeçote,"92,4 mm",1999 cm³,83 mm,Longitudinal,Dianteiro,"95,5 cv/litro",191 cv,"17,5:1",3600 rpm,1500 rpm,4500 rpm,"23,5 kgfm/litro","46,9 kgfm",4,Conversor de torque,ZF 8HP,26 graus,1610 mm,1610 mm,1135 litros,5250 kg,4200 kg,80 litros,650 mm,816 km,720 km,"10,2 km/l",9 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,Hunter,hunter,hunter-hd-2-0-at-2026,hunter-hd-2-0-at-2026,https://www.fichacompleta.com.br/carros/jac/hunter-hd-2-0-at-2026,2026-06-20T21:49:20.055724,Jac Hunter HD 2.0 AT 2026,"11,9 s",185 km/h,1920 mm,1400 kg,5330 mm,3110 mm,1965 mm,2050 kg,,159 mm,Disco ventilado,265/60 R18,Disco ventilado,Eletro-hidráulica,"12,4 m",,,,"10,73 kg/cv","43,7 kg/kgfm",,,Automático,8,Integral temporária,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,240 mm,,27 graus,23 graus,"26,6 graus",Corrente,Injeção direta,Turbocompressor,500 cm³,4 em linha,HFC4DB2-2E1,Duplo no cabeçote,"92,4 mm",1999 cm³,83 mm,Longitudinal,Dianteiro,"95,5 cv/litro",191 cv,"17,5:1",3600 rpm,1500 rpm,4500 rpm,"23,5 kgfm/litro","46,9 kgfm",4,Conversor de torque,ZF 8HP,26 graus,1610 mm,1610 mm,1135 litros,5250 kg,4200 kg,80 litros,650 mm,816 km,720 km,"10,2 km/l",9 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,Hunter,hunter,hunter-hdx-2-0-at-2026,hunter-hdx-2-0-at-2026,https://www.fichacompleta.com.br/carros/jac/hunter-hdx-2-0-at-2026,2026-06-20T21:49:24.820374,Jac Hunter HDX 2.0 AT 2026,"11,9 s",185 km/h,1920 mm,1400 kg,5330 mm,3110 mm,1965 mm,2050 kg,,159 mm,Disco ventilado,265/60 R18,Disco ventilado,Eletro-hidráulica,"12,4 m",,,,"10,73 kg/cv","43,7 kg/kgfm",,,Automático,8,Integral temporária,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,240 mm,,27 graus,23 graus,"26,6 graus",Corrente,Injeção direta,Turbocompressor,500 cm³,4 em linha,HFC4DB2-2E1,Duplo no cabeçote,"92,4 mm",1999 cm³,83 mm,Longitudinal,Dianteiro,"95,5 cv/litro",191 cv,"17,5:1",3600 rpm,1500 rpm,4500 rpm,"23,5 kgfm/litro","46,9 kgfm",4,Conversor de torque,ZF 8HP,26 graus,1610 mm,1610 mm,1135 litros,5250 kg,4200 kg,80 litros,650 mm,816 km,720 km,"10,2 km/l",9 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jac,Iev20,iev20,iev20--2020,iev20--2020,https://www.fichacompleta.com.br/carros/jac/iev20--2020,2026-06-20T21:49:42.274389,Jac Iev20  2020,16 s,112 km/h,1570 mm,355 kg,3775 mm,2390 mm,1685 mm,1340 kg,121 litros,120 mm,Disco ventilado,,Tambor,Elétrica,9 m,320 km,41 kWh,,"19,71 kg/cv","61,19 kg/kgfm",68 cv (dianteiro),"21,9 kgfm (dianteiro)",Automático,1,Dianteira,"Indep., McPherson",Mola helicoidal,Eixo de torção,150 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
