marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__rotacao_maxima,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__marchas,geral__regime_potencia_max,geral__regime_torque_max,geral__diametro_de_giro,geral__bitola_dianteira,geral__bitola_traseira,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__tuchos,geral__variacao_do_comando,geral__angulo_de_entrada,geral__angulo_de_saida,geral__reboque_com_freio,geral__reboque_sem_freio,geral__estepe,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coeficiente_de_arrasto_cx,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__altura_minima_do_solo,geral__acionam_do_comando,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__coef_de_arrasto_cx,geral__cilindrada_unitaria,geral__deslocamento,geral__viscosidade_do_oleo,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__angulo_central,geral__capacidade_da_bateria,geral__potencia,geral__torque,geral__autonomia,geral__consumo_eletrico,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__cacamba,geral__potencia_de_recarga
peugeot,206,206,206-presence-1-6-16v-2004,206-presence-1-6-16v-2004,https://www.fichacompleta.com.br/carros/peugeot/206-presence-1-6-16v-2004,2026-06-17T21:08:41.644582,Peugeot 206 Presence 1.6 16V 2004,"10,5 s",198 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,TU5JP4,Duplo no cabeçote,82 mm,"78,5 mm",Transversal,Dianteiro,"9,3 kg/cv","68,5 kg/kgfm","69,3 cv/litro",110 cv,"10,5:1",6500 rpm,"9,5 kgfm/litro",15 kgfm,4,1432 mm,,3835 mm,2442 mm,1652 mm,1027 kg,245 litros,50 litros,120 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",740 km,540 km,"14,8 km/l","10,8 km/l",5,5800 rpm,4000 rpm,"9,8 m",1443 mm,1434 mm,,,,,Hidráulicos,,,,,,,"2,01 m²","0,643 m²",,,,,,,Correia dentada,,,,,"0,32",,,,,,,,,,,,,,,,,,,,,,,
peugeot,206,206,206-quiksilver-1-0-16v-2004,206-quiksilver-1-0-16v-2004,https://www.fichacompleta.com.br/carros/peugeot/206-quiksilver-1-0-16v-2004,2026-06-17T21:08:46.304529,Peugeot 206 Quiksilver 1.0 16V 2004,"14,4 s",160 km/h,Embreagem monodisco a seco,Manual,BE4/5,5,Dianteira,Injeção multiponto,Natural,999 cm³,4 em linha,D4D,"Único no cabeçote, correia dentada",,,Transversal,Dianteiro,"13,4 kg/cv","98,6 kg/kgfm","70,1 cv/litro",70 cv a 5500 rpm,10:1,,"9,5 kgfm/litro","9,5 kgfm a 4200 rpm",4,1432 mm,500 kg,3835 mm,2442 mm,1652 mm,937 kg,245 litros,50 litros,114 mm,Disco sólido,Tambor,Não assistida,"9,8 m","Independente, McPherson",Barra de torção,"Independente, braço arrastado",775 km,470 km,"15,5 km/l","9,4 km/l",,,,,,,"66,8 mm",69 mm,,,,,,,,,,"2,01 m²","0,643 m²","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,206,206,206-quiksilver-1-6-16v-2004,206-quiksilver-1-6-16v-2004,https://www.fichacompleta.com.br/carros/peugeot/206-quiksilver-1-6-16v-2004,2026-06-17T21:08:50.755260,Peugeot 206 Quiksilver 1.6 16V 2004,"10,5 s",198 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,TU5JP4,Duplo no cabeçote,82 mm,"78,5 mm",Transversal,Dianteiro,"9,2 kg/cv","67,5 kg/kgfm","69,3 cv/litro",,"10,5:1",6500 rpm,"9,5 kgfm/litro",,4,1432 mm,,3835 mm,2442 mm,1652 mm,1013 kg,245 litros,50 litros,120 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",740 km,540 km,"14,8 km/l","10,8 km/l",5,,,"9,8 m",1443 mm,1434 mm,,,5800 rpm,4000 rpm,Hidráulicos,,,,,,,"2,01 m²","0,643 m²",,,,,,,Correia dentada,,,,,"0,32",,,,,,,,,,110 cv,15 kgfm,,,,,,,,,,,,
peugeot,206,206,206-rallye-1-6-16v-2004,206-rallye-1-6-16v-2004,https://www.fichacompleta.com.br/carros/peugeot/206-rallye-1-6-16v-2004,2026-06-17T21:08:54.839006,Peugeot 206 Rallye 1.6 16V 2004,"10,5 s",198 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,TU5JP4,Duplo no cabeçote,82 mm,"78,5 mm",Transversal,Dianteiro,"9,2 kg/cv","67,5 kg/kgfm","69,3 cv/litro",110 cv,"10,5:1",6500 rpm,"9,5 kgfm/litro",15 kgfm,4,1432 mm,,3835 mm,2442 mm,1652 mm,1013 kg,245 litros,50 litros,120 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",740 km,540 km,"14,8 km/l","10,8 km/l",5,5750 rpm,4000 rpm,"9,8 m",1443 mm,1434 mm,,,,,Hidráulicos,,,,,,,"2,01 m²","0,643 m²",,,,,,,Correia dentada,,,,,"0,32",,,,,,,,,,,,,,,,,,,,,,,
peugeot,206,206,206-selection-1-0-16v-2004,206-selection-1-0-16v-2004,https://www.fichacompleta.com.br/carros/peugeot/206-selection-1-0-16v-2004,2026-06-17T21:08:57.291204,Peugeot 206 Selection 1.0 16V 2004,"14,4 s",160 km/h,Embreagem monodisco a seco,Manual,BE4/5,5,Dianteira,Injeção multiponto,Natural,999 cm³,4 em linha,D4D,"Único no cabeçote, correia dentada",,,Transversal,Dianteiro,"13,4 kg/cv","98,6 kg/kgfm","70,1 cv/litro",70 cv a 5500 rpm,10:1,,"9,5 kgfm/litro","9,5 kgfm a 4200 rpm",4,1432 mm,500 kg,3835 mm,2442 mm,1652 mm,937 kg,245 litros,50 litros,114 mm,Disco sólido,Tambor,Não assistida,"9,8 m","Independente, McPherson",Barra de torção,"Independente, braço arrastado",775 km,470 km,"15,5 km/l","9,4 km/l",,,,,,,"66,8 mm",69 mm,,,,,,,,,,"2,01 m²",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,206,206,206-selection-1-6-16v-2004,206-selection-1-6-16v-2004,https://www.fichacompleta.com.br/carros/peugeot/206-selection-1-6-16v-2004,2026-06-17T21:09:00.795687,Peugeot 206 Selection 1.6 16V 2004,"10,5 s",198 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,TU5JP4,Duplo no cabeçote,82 mm,"78,5 mm",Transversal,Dianteiro,"9,3 kg/cv","68,5 kg/kgfm","69,3 cv/litro",110 cv,"10,5:1",6500 rpm,"9,5 kgfm/litro",15 kgfm,4,1432 mm,,3835 mm,2442 mm,1652 mm,1027 kg,245 litros,50 litros,120 mm,Disco ventilado,Disco sólido,Hidráulica,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",740 km,540 km,"14,8 km/l","10,8 km/l",5,5800 rpm,4000 rpm,"9,8 m",1443 mm,1434 mm,,,,,Hidráulicos,,,,,,,"2,01 m²","0,643 m²",,,,,,,Correia dentada,,,,,"0,32",,,,,,,,,,,,,,,,,,,,,,,
peugeot,206,206,206-sensation-1-0-16v-2004-gasolina,206-sensation-1-0-16v-2004-gasolina,https://www.fichacompleta.com.br/carros/peugeot/206-sensation-1-0-16v-2004-gasolina,2026-06-17T21:09:03.957543,Peugeot 206 Sensation 1.0 16V 2004,"14,4 s",160 km/h,Embreagem monodisco a seco,Manual,BE4/5,,Dianteira,Injeção multiponto,Natural,999 cm³,4 em linha,D4D,Único no cabeçote,"66,8 mm",69 mm,Transversal,Dianteiro,"13,1 kg/cv","96,5 kg/kgfm","70,1 cv/litro",70 cv,10:1,,"9,5 kgfm/litro","9,5 kgfm",4,1432 mm,500 kg,3835 mm,2442 mm,1652 mm,917 kg,245 litros,50 litros,114 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",775 km,470 km,"15,5 km/l","9,4 km/l",5,5500 rpm,4200 rpm,"9,8 m",,,,,,,,,,,,,,"2,01 m²","0,643 m²",,,,,,,Correia dentada,,,,,"0,32",,,,,,,,,,,,,,,,,,,,,,,
peugeot,206,206,206-sensation-1-0-16v-2004,206-sensation-1-0-16v-2004,https://www.fichacompleta.com.br/carros/peugeot/206-sensation-1-0-16v-2004,2026-06-17T21:09:07.887079,Peugeot 206 Sensation 1.0 16V 2004,"14,4 s",160 km/h,Embreagem monodisco a seco,Manual,BE4/5,5,Dianteira,Injeção multiponto,Natural,999 cm³,4 em linha,D4D,"Único no cabeçote, correia dentada","66,8 mm",69 mm,Transversal,Dianteiro,"13,4 kg/cv","98,6 kg/kgfm","70,1 cv/litro",70 cv a 5500 rpm,10:1,,"9,5 kgfm/litro","9,5 kgfm a 4200 rpm",4,1432 mm,500 kg,3835 mm,2442 mm,1652 mm,937 kg,245 litros,50 litros,114 mm,Disco sólido,Tambor,Não assistida,"9,8 m","Independente, McPherson",Barra de torção,"Independente, braço arrastado",775 km,470 km,"15,5 km/l","9,4 km/l",,,,,,,,,,,,,,,,,,"2,01 m²","0,643 m²","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,206,206,206-soleil-1-0-16v-2004,206-soleil-1-0-16v-2004,https://www.fichacompleta.com.br/carros/peugeot/206-soleil-1-0-16v-2004,2026-06-17T21:09:11.245768,Peugeot 206 Soleil 1.0 16V 2004,"14,4 s",160 km/h,Embreagem monodisco a seco,Manual,BE4/5,5,Dianteira,Injeção multiponto,Natural,999 cm³,4 em linha,D4D,"Único no cabeçote, correia dentada",,,Transversal,Dianteiro,"13,4 kg/cv","98,6 kg/kgfm","70,1 cv/litro",70 cv a 5500 rpm,10:1,,"9,5 kgfm/litro","9,5 kgfm a 4200 rpm",4,1432 mm,500 kg,3835 mm,2442 mm,1652 mm,937 kg,245 litros,50 litros,114 mm,Disco sólido,Tambor,Não assistida,"9,8 m","Independente, McPherson",Barra de torção,"Independente, braço arrastado",775 km,470 km,"15,5 km/l","9,4 km/l",,,,,,,"66,8 mm",69 mm,,,,,,,,,,"2,01 m²",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,206,206,206-techno-1-0-16v-2004,206-techno-1-0-16v-2004,https://www.fichacompleta.com.br/carros/peugeot/206-techno-1-0-16v-2004,2026-06-17T21:09:15.804373,Peugeot 206 Techno 1.0 16V 2004,"14,4 s",160 km/h,Embreagem monodisco a seco,Manual,BE4/5,,Dianteira,Injeção multiponto,Natural,999 cm³,4 em linha,D4D,Único no cabeçote,"66,8 mm",69 mm,Transversal,Dianteiro,"13,4 kg/cv","98,6 kg/kgfm","70,1 cv/litro",70 cv,10:1,,"9,5 kgfm/litro","9,5 kgfm",4,1432 mm,500 kg,3835 mm,2442 mm,1652 mm,937 kg,245 litros,50 litros,114 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",775 km,470 km,"15,5 km/l","9,4 km/l",5,5500 rpm,4200 rpm,"9,8 m",,,,,,,,,,,,,,"2,01 m²","0,643 m²",,,,,,,Correia dentada,,,,,"0,32",,,,,,,,,,,,,,,,,,,,,,,
