marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__rotacao_maxima,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__marchas,geral__regime_potencia_max,geral__regime_torque_max,geral__diametro_de_giro,geral__bitola_dianteira,geral__bitola_traseira,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__tuchos,geral__variacao_do_comando,geral__angulo_de_entrada,geral__angulo_de_saida,geral__reboque_com_freio,geral__reboque_sem_freio,geral__estepe,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coeficiente_de_arrasto_cx,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__altura_minima_do_solo,geral__acionam_do_comando,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__coef_de_arrasto_cx,geral__cilindrada_unitaria,geral__deslocamento,geral__viscosidade_do_oleo,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__angulo_central,geral__capacidade_da_bateria,geral__potencia,geral__torque,geral__autonomia,geral__consumo_eletrico,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__cacamba,geral__potencia_de_recarga
peugeot,106,106,106-xt-1-0-1994,106-xt-1-0-1994,https://www.fichacompleta.com.br/carros/peugeot/106-xt-1-0-1994,2026-06-17T20:59:50.219809,Peugeot 106 XT 1.0 1994,"19,2 s",150 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"16,0 kg/cv","106,7 kg/kgfm","52,4 cv/litro",50 cv a 6000 rpm,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm a 3700 rpm",2,1369 mm,440 kg,3564 mm,2385 mm,1590 mm,800 kg,215 litros,45 litros,102 mm,Disco sólido,Tambor,Não assistida,11 m,"Independente, McPherson",Mola helicoidal,Eixo de torção,752 km,436 km,"16,7 km/l","9,7 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-kid-1-0-1995,106-kid-1-0-1995,https://www.fichacompleta.com.br/carros/peugeot/106-kid-1-0-1995,2026-06-17T20:59:54.474944,Peugeot 106 Kid 1.0 1995,20 s,145 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Carburador,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"15,9 kg/cv","106,0 kg/kgfm","52,4 cv/litro",50 cv,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm",2,1369 mm,440 kg,3564 mm,2385 mm,1590 mm,795 kg,215 litros,45 litros,102 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",675 km,432 km,15 km/l,"9,6 km/l",5,6000 rpm,3700 rpm,11 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-xn-1-0-1995,106-xn-1-0-1995,https://www.fichacompleta.com.br/carros/peugeot/106-xn-1-0-1995,2026-06-17T20:59:56.911175,Peugeot 106 XN 1.0 1995,"19,2 s",150 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"16,0 kg/cv","106,7 kg/kgfm","52,4 cv/litro",50 cv a 6000 rpm,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm a 3700 rpm",2,1369 mm,440 kg,3564 mm,2385 mm,1590 mm,800 kg,215 litros,45 litros,102 mm,Disco sólido,Tambor,Não assistida,11 m,"Independente, McPherson",Mola helicoidal,Eixo de torção,752 km,436 km,"16,7 km/l","9,7 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-xn-1-0-1995-gasolina,106-xn-1-0-1995-gasolina,https://www.fichacompleta.com.br/carros/peugeot/106-xn-1-0-1995-gasolina,2026-06-17T21:00:01.634532,Peugeot 106 XN 1.0 1995,"19,2 s",150 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"16,3 kg/cv","108,7 kg/kgfm","52,4 cv/litro",50 cv a 6000 rpm,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm a 3700 rpm",2,1369 mm,440 kg,3564 mm,2385 mm,1590 mm,815 kg,215 litros,45 litros,102 mm,Disco sólido,Tambor,Não assistida,11 m,"Independente, McPherson",Mola helicoidal,Eixo de torção,752 km,436 km,"16,7 km/l","9,7 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-passion-1-0-1998,106-passion-1-0-1998,https://www.fichacompleta.com.br/carros/peugeot/106-passion-1-0-1998,2026-06-17T21:00:05.300055,Peugeot 106 Passion 1.0 1998,"17,5 s",145 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"16,6 kg/cv","110,7 kg/kgfm","52,4 cv/litro",50 cv a 6000 rpm,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm a 3700 rpm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,830 kg,215 litros,45 litros,102 mm,Disco sólido,Tambor,Não assistida,11 m,"Independente, McPherson",Mola helicoidal,Eixo de torção,752 km,436 km,"16,7 km/l","9,7 km/l",,,,,1380 mm,1300 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-soleil-1-0-1998,106-soleil-1-0-1998,https://www.fichacompleta.com.br/carros/peugeot/106-soleil-1-0-1998,2026-06-17T21:00:08.427082,Peugeot 106 Soleil 1.0 1998,"19,4 s",150 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"15,9 kg/cv","106,0 kg/kgfm","52,4 cv/litro",50 cv,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,795 kg,215 litros,45 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",752 km,436 km,"16,7 km/l","9,7 km/l",5,6000 rpm,3700 rpm,11 m,1380 mm,1300 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-soleil-1-0-1998-gasolina,106-soleil-1-0-1998-gasolina,https://www.fichacompleta.com.br/carros/peugeot/106-soleil-1-0-1998-gasolina,2026-06-17T21:00:12.742856,Peugeot 106 Soleil 1.0 1998,"19,4 s",150 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"16,3 kg/cv","108,7 kg/kgfm","52,4 cv/litro",50 cv,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,815 kg,215 litros,45 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",752 km,436 km,"16,7 km/l","9,7 km/l",5,6000 rpm,3700 rpm,11 m,1380 mm,1300 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-passion-1-0-1999,106-passion-1-0-1999,https://www.fichacompleta.com.br/carros/peugeot/106-passion-1-0-1999,2026-06-17T21:00:16.494476,Peugeot 106 Passion 1.0 1999,"19,4 s",150 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"16,3 kg/cv","108,7 kg/kgfm","52,4 cv/litro",50 cv,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,815 kg,215 litros,45 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",752 km,436 km,"16,7 km/l","9,7 km/l",5,6000 rpm,3700 rpm,11 m,1380 mm,1300 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-selection-1-0-1999,106-selection-1-0-1999,https://www.fichacompleta.com.br/carros/peugeot/106-selection-1-0-1999,2026-06-17T21:00:20.891952,Peugeot 106 Selection 1.0 1999,"17,5 s",145 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,,,Transversal,Dianteiro,"16,6 kg/cv","110,7 kg/kgfm","52,4 cv/litro",50 cv a 6000 rpm,"9,4:1",,"7,9 kgfm/litro","7,5 kgfm a 3700 rpm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,830 kg,215 litros,45 litros,102 mm,145/70 R13,Tambor,Não assistida,11 m,"Independente, McPherson",Mola helicoidal,Eixo de torção,752 km,436 km,"16,7 km/l","9,7 km/l",,,,,1380 mm,1300 mm,62 mm,70 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-soleil-1-0-1999-gasolina,106-soleil-1-0-1999-gasolina,https://www.fichacompleta.com.br/carros/peugeot/106-soleil-1-0-1999-gasolina,2026-06-17T21:00:24.835900,Peugeot 106 Soleil 1.0 1999,"17,5 s",145 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,,,Transversal,Dianteiro,"16,6 kg/cv","110,7 kg/kgfm","52,4 cv/litro",50 cv a 6000 rpm,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm a 3700 rpm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,830 kg,215 litros,45 litros,102 mm,145/70 R13,Tambor,Não assistida,11 m,"Independente, McPherson",Mola helicoidal,Eixo de torção,752 km,436 km,"16,7 km/l","9,7 km/l",,,,,1380 mm,1300 mm,62 mm,70 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-soleil-1-0-1999,106-soleil-1-0-1999,https://www.fichacompleta.com.br/carros/peugeot/106-soleil-1-0-1999,2026-06-17T21:00:28.090653,Peugeot 106 Soleil 1.0 1999,"19,4 s",150 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"15,9 kg/cv","106,0 kg/kgfm","52,4 cv/litro",50 cv,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,795 kg,215 litros,45 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",752 km,436 km,"16,7 km/l","9,7 km/l",5,6000 rpm,3700 rpm,11 m,1380 mm,1300 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-passion-1-0-2000,106-passion-1-0-2000,https://www.fichacompleta.com.br/carros/peugeot/106-passion-1-0-2000,2026-06-17T21:00:32.716550,Peugeot 106 Passion 1.0 2000,"19,4 s",150 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"15,9 kg/cv","106,0 kg/kgfm","52,4 cv/litro",50 cv,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,795 kg,215 litros,45 litros,116 mm,Disco sólido,Tambor,Não assistida,11 m,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",752 km,436 km,"16,7 km/l","9,7 km/l",5,,,11 m,1380 mm,1300 mm,,,6000 rpm,3700 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-selection-1-0-2000,106-selection-1-0-2000,https://www.fichacompleta.com.br/carros/peugeot/106-selection-1-0-2000,2026-06-17T21:00:36.889660,Peugeot 106 Selection 1.0 2000,"17,5 s",145 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,,,Transversal,Dianteiro,"16,6 kg/cv","110,7 kg/kgfm","52,4 cv/litro",50 cv a 6000 rpm,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm a 3700 rpm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,830 kg,215 litros,45 litros,102 mm,Disco sólido,Tambor,Não assistida,11 m,"Independente, McPherson",Mola helicoidal,Eixo de torção,752 km,436 km,"16,7 km/l","9,7 km/l",,,,,1380 mm,1300 mm,62 mm,70 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-soleil-1-0-2000,106-soleil-1-0-2000,https://www.fichacompleta.com.br/carros/peugeot/106-soleil-1-0-2000,2026-06-17T21:00:39.841792,Peugeot 106 Soleil 1.0 2000,"19,4 s",150 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"15,9 kg/cv","106,0 kg/kgfm","52,4 cv/litro",50 cv,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,795 kg,215 litros,45 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",752 km,436 km,"16,7 km/l","9,7 km/l",5,6000 rpm,3700 rpm,11 m,1380 mm,1300 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-soleil-1-0-2000-gasolina,106-soleil-1-0-2000-gasolina,https://www.fichacompleta.com.br/carros/peugeot/106-soleil-1-0-2000-gasolina,2026-06-17T21:00:43.138557,Peugeot 106 Soleil 1.0 2000,"19,4 s",150 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"16,3 kg/cv","108,7 kg/kgfm","52,4 cv/litro",50 cv,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,815 kg,215 litros,45 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",752 km,436 km,"16,7 km/l","9,7 km/l",5,6000 rpm,3700 rpm,11 m,1380 mm,1300 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-quiksilver-1-0-2001,106-quiksilver-1-0-2001,https://www.fichacompleta.com.br/carros/peugeot/106-quiksilver-1-0-2001,2026-06-17T21:00:47.673928,Peugeot 106 Quiksilver 1.0 2001,"19,4 s",150 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"15,9 kg/cv","106,0 kg/kgfm","52,4 cv/litro",50 cv,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,795 kg,215 litros,45 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",752 km,436 km,"16,7 km/l","9,7 km/l",5,6000 rpm,3700 rpm,11 m,1380 mm,1300 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-selection-1-0-2001-gasolina,106-selection-1-0-2001-gasolina,https://www.fichacompleta.com.br/carros/peugeot/106-selection-1-0-2001-gasolina,2026-06-17T21:00:52.043695,Peugeot 106 Selection 1.0 2001,"19,4 s",150 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"16,3 kg/cv","108,7 kg/kgfm","52,4 cv/litro",50 cv,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,815 kg,215 litros,45 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",752 km,436 km,"16,7 km/l","9,7 km/l",5,6000 rpm,3700 rpm,11 m,1380 mm,1300 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-selection-1-0-2001,106-selection-1-0-2001,https://www.fichacompleta.com.br/carros/peugeot/106-selection-1-0-2001,2026-06-17T21:00:56.647195,Peugeot 106 Selection 1.0 2001,"19,4 s",150 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"15,9 kg/cv","106,0 kg/kgfm","52,4 cv/litro",50 cv,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,795 kg,215 litros,45 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",752 km,436 km,"16,7 km/l","9,7 km/l",5,6000 rpm,3700 rpm,11 m,1380 mm,1300 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-soleil-1-0-2001,106-soleil-1-0-2001,https://www.fichacompleta.com.br/carros/peugeot/106-soleil-1-0-2001,2026-06-17T21:01:01.074120,Peugeot 106 Soleil 1.0 2001,"19,4 s",150 km/h,Embreagem monodisco a seco,Manual,MA/5,,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,62 mm,70 mm,Transversal,Dianteiro,"16,3 kg/cv","108,7 kg/kgfm","52,4 cv/litro",50 cv,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,815 kg,215 litros,45 litros,116 mm,Disco sólido,Tambor,Não assistida,,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",752 km,436 km,"16,7 km/l","9,7 km/l",5,6000 rpm,3700 rpm,11 m,1380 mm,1300 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,106,106,106-soleil-1-0-2001-gasolina,106-soleil-1-0-2001-gasolina,https://www.fichacompleta.com.br/carros/peugeot/106-soleil-1-0-2001-gasolina,2026-06-17T21:01:05.261735,Peugeot 106 Soleil 1.0 2001,"17,5 s",145 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção monoponto,Natural,954 cm³,4 em linha,TU9ML/Z,Único no cabeçote,,,Transversal,Dianteiro,"16,3 kg/cv","108,7 kg/kgfm","52,4 cv/litro",50 cv a 6000 rpm,"9,4:1",6400 rpm,"7,9 kgfm/litro","7,5 kgfm a 3700 rpm",2,1380 mm,480 kg,3678 mm,2385 mm,1590 mm,815 kg,215 litros,45 litros,102 mm,145/70 R13,Tambor,Não assistida,11 m,"Independente, McPherson",Mola helicoidal,Eixo de torção,752 km,436 km,"16,7 km/l","9,7 km/l",,,,,1380 mm,1300 mm,62 mm,70 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,2008,2008,2008-allure-1-6-2015,2008-allure-1-6-2015,https://www.fichacompleta.com.br/carros/peugeot/2008-allure-1-6-2015,2026-06-17T21:01:23.670806,Peugeot 2008 Allure 1.6 2015,"10,2 s",190 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,EC5JP4,"Duplo no cabeçote, correia dentada",82 mm,"78,5 mm",Transversal,Dianteiro,"9,7 kg/cv","72,1 kg/kgfm","76,9 cv/litro",122 cv (A) 115 cv (G) a 5800 rpm,"12,5:1",,"10,3 kgfm/litro","16,4 kgfm (A) 15,5 kgfm (G) a 4000 rpm",4,1583 mm,427 kg,4159 mm,2542 mm,1739 mm,1183 kg,355 litros,55 litros,123 mm,Disco ventilado,Disco sólido,Elétrica,"10,4 m","Independente, McPherson",Mola helicoidal,Eixo de torção,638 km,561 km,"11,6 km/l","10,2 km/l",,,,,1477 mm,1488 mm,,,,,Hidráulicos,Admissão,22 graus,29 graus,400 kg,400 kg,185/60 R15,"2,3 m²","0,805 m²","0,35",451 km,402 km,"8,2 km/l","7,3 km/l",200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,2008,2008,2008-allure-1-6-at-2015,2008-allure-1-6-at-2015,https://www.fichacompleta.com.br/carros/peugeot/2008-allure-1-6-at-2015,2026-06-17T21:01:28.312084,Peugeot 2008 Allure 1.6 AT 2015,"11,9 s",177 km/h,Conversor de torque,Automático,AT8,4,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,EC5JP4,"Duplo no cabeçote, correia dentada",82 mm,"78,5 mm",Transversal,Dianteiro,"10,0 kg/cv","74,1 kg/kgfm","76,9 cv/litro",122 cv (A) 115 cv (G) a 5800 rpm,"12,5:1",,"10,3 kgfm/litro","16,4 kgfm (A) 15,5 kgfm (G) a 4000 rpm",4,1583 mm,436 kg,4159 mm,2542 mm,1739 mm,1215 kg,355 litros,55 litros,123 mm,Disco ventilado,Disco sólido,Elétrica,"10,4 m","Independente, McPherson",Mola helicoidal,Eixo de torção,605 km,517 km,11 km/l,"9,4 km/l",,,,,1477 mm,1488 mm,,,,,Hidráulicos,Admissão,22 graus,29 graus,350 kg,350 kg,185/60 R15,"2,3 m²","0,805 m²","0,35",435 km,374 km,"7,9 km/l","6,8 km/l",200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,2008,2008,2008-griffe-1-6-2015,2008-griffe-1-6-2015,https://www.fichacompleta.com.br/carros/peugeot/2008-griffe-1-6-2015,2026-06-17T21:01:30.821969,Peugeot 2008 Griffe 1.6 2015,"10,2 s",190 km/h,Embreagem monodisco a seco,Manual,MA/5,5,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,EC5JP4,"Duplo no cabeçote, correia dentada",82 mm,"78,5 mm",Transversal,Dianteiro,"9,9 kg/cv","73,5 kg/kgfm","76,9 cv/litro",122 cv (A) 115 cv (G) a 5800 rpm,"12,5:1",,"10,3 kgfm/litro","16,4 kgfm (A) 15,5 kgfm (G) a 4000 rpm",4,1583 mm,427 kg,4159 mm,2542 mm,1739 mm,1205 kg,355 litros,55 litros,123 mm,Disco ventilado,Disco sólido,Elétrica,"10,4 m","Independente, McPherson",Mola helicoidal,Eixo de torção,638 km,561 km,"11,6 km/l","10,2 km/l",,,,,1477 mm,1488 mm,,,,,Hidráulicos,Admissão,22 graus,29 graus,400 kg,400 kg,185/60 R15,"2,3 m²","0,805 m²","0,35",451 km,402 km,"8,2 km/l","7,3 km/l",200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peugeot,2008,2008,2008-griffe-1-6-at-2015,2008-griffe-1-6-at-2015,https://www.fichacompleta.com.br/carros/peugeot/2008-griffe-1-6-at-2015,2026-06-17T21:01:35.635209,Peugeot 2008 Griffe 1.6 AT 2015,"11,9 s",177 km/h,Conversor de torque,Automático,AT8,4,Dianteira,Injeção multiponto,Natural,1587 cm³,4 em linha,EC5JP4,"Duplo no cabeçote, correia dentada",82 mm,"78,5 mm",Transversal,Dianteiro,"10,1 kg/cv","75,4 kg/kgfm","76,9 cv/litro",122 cv (A) 115 cv (G) a 5800 rpm,"12,5:1",,"10,3 kgfm/litro","16,4 kgfm (A) 15,5 kgfm (G) a 4000 rpm",4,1583 mm,436 kg,4159 mm,2542 mm,1739 mm,1236 kg,355 litros,55 litros,123 mm,Disco ventilado,Disco sólido,Elétrica,"10,4 m","Independente, McPherson",Mola helicoidal,Eixo de torção,605 km,517 km,11 km/l,"9,4 km/l",,,,,1477 mm,1488 mm,,,,,Hidráulicos,Admissão,22 graus,29 graus,350 kg,350 kg,185/60 R15,"2,3 m²","0,805 m²","0,35",435 km,374 km,"7,9 km/l","6,8 km/l",200 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
