marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acionam_do_comando,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia,geral__potencia_especifica,geral__razao_de_compressao,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque,geral__torque_especifico,geral__tuchos,geral__valvulas_por_cilindro,geral__acoplamento,geral__cambio,geral__marchas,geral__tracao,geral__altura,geral__bitola_dianteira,geral__bitola_traseira,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__assistencia,geral__diametro_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__potencia_maxima,geral__torque_maximo,geral__quantidade_de_marchas,geral__carga_util,geral__coeficiente_de_arrasto_cx,geral__diametro_minimo_de_giro,geral__regime_potencia_max,geral__regime_torque_max,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__altura_minima_do_solo,geral__cilindrada_unitaria,geral__deslocamento,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__rotacao_maxima,geral__torque_maximo_a,geral__torque_maximo_g,geral__variacao_do_comando,geral__viscosidade_do_oleo,geral__angulo_de_entrada,geral__angulo_de_saida,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__codigo_do_cambio,geral__angulo_central,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__estepe,geral__reboque_com_freio,geral__reboque_sem_freio,geral__autonomia,geral__capacidade_da_bateria,geral__potencia_de_recarga,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__consumo_eletrico,geral__cacamba
renault,Duster,duster,duster-iconic-1-6-at-2024,duster-iconic-1-6-at-2024,https://www.fichacompleta.com.br/carros/renault/duster-iconic-1-6-at-2024,2026-06-15T20:14:07.620559,Renault Duster Iconic 1.6 AT 2024,"12,4 s",173 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,H4M,Duplo no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"10,66 kg/cv","79,0 kg/kgfm",,"75,1 cv/litro","10,7:1",,,,"10,1 kgfm/litro",Mecânicos,4,Conversor de torque,CVT,6,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1279 kg,475 litros,46 litros,129 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,529 km,483 km,"11,5 km/l","10,5 km/l",,,,500 kg,,,5500 rpm,4000 rpm,,,,,,,237 mm,399 cm³,1597 cm³,120 cv,118 cv,6300 rpm,"16,2 kgfm","16,2 kgfm",Admissão,,30 graus,"34,5 graus",373 km,331 km,"8,1 km/l","7,2 km/l",Jatco X-Tronic,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-iconic-plus-1-3-2024,duster-iconic-plus-1-3-2024,https://www.fichacompleta.com.br/carros/renault/duster-iconic-plus-1-3-2024,2026-06-15T20:14:11.963895,Renault Duster Iconic Plus 1.3 2024,"9,2 s",190 km/h,Corrente,Injeção direta,Turbocompressor,,4 em linha,H5H,Duplo no cabeçote,"81,4 mm","72,2 mm",Transversal,Dianteiro,"7,96 kg/cv","49,2 kg/kgfm",,"127,6 cv/litro","10,5:1",,,,"20,6 kgfm/litro",Hidráulicos,4,Conversor de torque,CVT,8,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1353 kg,475 litros,46 litros,129 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,529 km,497 km,"11,5 km/l","10,8 km/l",,,,500 kg,,,5500 rpm,1600 rpm,,,,,,,237 mm,333 cm³,1332 cm³,170 cv,162 cv,6000 rpm,"27,5 kgfm","27,5 kgfm",Admissão e escape,5W-40 ³,30 graus,"34,5 graus",386 km,354 km,"8,4 km/l","7,7 km/l",Jatco X-Tronic,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-iconic-plus-1-6-at-2024,duster-iconic-plus-1-6-at-2024,https://www.fichacompleta.com.br/carros/renault/duster-iconic-plus-1-6-at-2024,2026-06-15T20:14:16.048251,Renault Duster Iconic Plus 1.6 AT 2024,"12,4 s",173 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,H4M,Duplo no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"10,66 kg/cv","79,0 kg/kgfm",,"75,1 cv/litro","10,7:1",,,,"10,1 kgfm/litro",Mecânicos,4,Conversor de torque,CVT,7,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1279 kg,475 litros,46 litros,129 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,529 km,483 km,"11,5 km/l","10,5 km/l",,,,500 kg,,,5500 rpm,4000 rpm,,,,,,,237 mm,399 cm³,1597 cm³,120 cv,118 cv,6300 rpm,"16,2 kgfm","16,2 kgfm",Admissão,10W-40 ³,30 graus,"34,5 graus",373 km,331 km,"8,1 km/l","7,2 km/l",Jatco X-Tronic,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-intense-1-6-2024,duster-intense-1-6-2024,https://www.fichacompleta.com.br/carros/renault/duster-intense-1-6-2024,2026-06-15T20:14:20.507970,Renault Duster Intense 1.6 2024,"11,4 s",173 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,H4M,Duplo no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"10,46 kg/cv","77,5 kg/kgfm",,"75,1 cv/litro","10,7:1",,,,"10,1 kgfm/litro",Mecânicos,4,Embreagem monodisco a seco,Manual,5,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1255 kg,475 litros,46 litros,140 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,566 km,534 km,"12,3 km/l","11,6 km/l",,,,500 kg,,,5500 rpm,4000 rpm,,,,,,,237 mm,399 cm³,1597 cm³,120 cv,118 cv,6300 rpm,"16,2 kgfm","16,2 kgfm",Admissão,,30 graus,"34,5 graus",391 km,373 km,"8,5 km/l","8,1 km/l",,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-intense-1-6-at-2024,duster-intense-1-6-at-2024,https://www.fichacompleta.com.br/carros/renault/duster-intense-1-6-at-2024,2026-06-15T20:14:24.445075,Renault Duster Intense 1.6 AT 2024,12 s,173 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,H4M,Duplo no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"10,64 kg/cv","78,8 kg/kgfm",,"75,1 cv/litro","10,7:1",,,,"10,1 kgfm/litro",Mecânicos,4,Conversor de torque,CVT,6,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1277 kg,475 litros,46 litros,140 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,529 km,483 km,"11,5 km/l","10,5 km/l",,,,500 kg,,,5500 rpm,4000 rpm,,,,,,,237 mm,399 cm³,1597 cm³,120 cv,118 cv,6300 rpm,"16,2 kgfm","16,2 kgfm",Admissão,,30 graus,"34,5 graus",373 km,331 km,"8,1 km/l","7,2 km/l",Jatco X-Tronic,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-intense-plus-1-6-2024,duster-intense-plus-1-6-2024,https://www.fichacompleta.com.br/carros/renault/duster-intense-plus-1-6-2024,2026-06-15T20:14:28.111383,Renault Duster Intense Plus 1.6 2024,"11,4 s",173 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,H4M,Duplo no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"10,46 kg/cv","77,5 kg/kgfm",,"75,1 cv/litro","10,7:1",,,,"10,1 kgfm/litro",Mecânicos,4,Embreagem monodisco a seco,Manual,5,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1255 kg,475 litros,46 litros,140 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,566 km,534 km,"12,3 km/l","11,6 km/l",,,,500 kg,,,5500 rpm,4000 rpm,,,,,,,237 mm,399 cm³,1597 cm³,120 cv,118 cv,6300 rpm,"16,2 kgfm","16,2 kgfm",Admissão,10W-40 ³,30 graus,"34,5 graus",391 km,373 km,"8,5 km/l","8,1 km/l",,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-intense-plus-1-6-at-2024,duster-intense-plus-1-6-at-2024,https://www.fichacompleta.com.br/carros/renault/duster-intense-plus-1-6-at-2024,2026-06-15T20:14:31.956267,Renault Duster Intense Plus 1.6 AT 2024,12 s,173 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,H4M,Duplo no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"10,64 kg/cv","78,8 kg/kgfm",,"75,1 cv/litro","10,7:1",,,,"10,1 kgfm/litro",Mecânicos,4,Conversor de torque,CVT,7,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1277 kg,475 litros,46 litros,140 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,529 km,483 km,"11,5 km/l","10,5 km/l",,,,500 kg,,,5500 rpm,4000 rpm,,,,,,,237 mm,399 cm³,1597 cm³,120 cv,118 cv,6300 rpm,"16,2 kgfm","16,2 kgfm",Admissão,10W-40 ³,30 graus,"34,5 graus",373 km,331 km,"8,1 km/l","7,2 km/l",Jatco X-Tronic,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-zen-1-6-2024,duster-zen-1-6-2024,https://www.fichacompleta.com.br/carros/renault/duster-zen-1-6-2024,2026-06-15T20:14:36.119247,Renault Duster Zen 1.6 2024,"11,4 s",173 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,H4M,Duplo no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"10,46 kg/cv","77,5 kg/kgfm",,"75,1 cv/litro","10,7:1",,,,"10,1 kgfm/litro",Mecânicos,4,Embreagem monodisco a seco,Manual,5,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1255 kg,475 litros,46 litros,140 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,566 km,534 km,"12,3 km/l","11,6 km/l",,,,500 kg,,,5500 rpm,4000 rpm,,,,,,,237 mm,399 cm³,1597 cm³,120 cv,118 cv,6300 rpm,"16,2 kgfm","16,2 kgfm",Admissão,,30 graus,"34,5 graus",391 km,373 km,"8,5 km/l","8,1 km/l",,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-iconic-plus-1-3-2025,duster-iconic-plus-1-3-2025,https://www.fichacompleta.com.br/carros/renault/duster-iconic-plus-1-3-2025,2026-06-15T20:14:40.886901,Renault Duster Iconic Plus 1.3 2025,"9,2 s",190 km/h,Corrente,Injeção direta,Turbocompressor,,4 em linha,H5H,Duplo no cabeçote,"81,4 mm","72,2 mm",Transversal,Dianteiro,"7,96 kg/cv","49,2 kg/kgfm",,"127,6 cv/litro","10,5:1",,,,"20,6 kgfm/litro",Hidráulicos,4,Conversor de torque,CVT,8,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1353 kg,475 litros,46 litros,129 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,529 km,497 km,"11,5 km/l","10,8 km/l",,,,500 kg,,,5500 rpm,1600 rpm,,,,,,,237 mm,333 cm³,1332 cm³,170 cv,162 cv,6000 rpm,"27,5 kgfm","27,5 kgfm",Admissão e escape,5W-40 ³,30 graus,"34,5 graus",386 km,354 km,"8,4 km/l","7,7 km/l",Jatco X-Tronic,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-iconic-plus-1-6-at-2025,duster-iconic-plus-1-6-at-2025,https://www.fichacompleta.com.br/carros/renault/duster-iconic-plus-1-6-at-2025,2026-06-15T20:14:44.518924,Renault Duster Iconic Plus 1.6 AT 2025,"12,4 s",173 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,H4M,Duplo no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"10,66 kg/cv","79,0 kg/kgfm",,"75,1 cv/litro","10,7:1",,,,"10,1 kgfm/litro",Mecânicos,4,Conversor de torque,CVT,7,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1279 kg,475 litros,46 litros,129 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,529 km,483 km,"11,5 km/l","10,5 km/l",,,,500 kg,,,5500 rpm,4000 rpm,,,,,,,237 mm,399 cm³,1597 cm³,120 cv,118 cv,6300 rpm,"16,2 kgfm","16,2 kgfm",Admissão,10W-40 ³,30 graus,"34,5 graus",373 km,331 km,"8,1 km/l","7,2 km/l",Jatco X-Tronic,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-intense-plus-1-6-2025,duster-intense-plus-1-6-2025,https://www.fichacompleta.com.br/carros/renault/duster-intense-plus-1-6-2025,2026-06-15T20:14:47.934380,Renault Duster Intense Plus 1.6 2025,"11,4 s",173 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,H4M,Duplo no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"10,46 kg/cv","77,5 kg/kgfm",,"75,1 cv/litro","10,7:1",,,,"10,1 kgfm/litro",Mecânicos,4,Embreagem monodisco a seco,Manual,5,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1255 kg,475 litros,46 litros,140 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,566 km,534 km,"12,3 km/l","11,6 km/l",,,,500 kg,,,5500 rpm,4000 rpm,,,,,,,237 mm,399 cm³,1597 cm³,120 cv,118 cv,6300 rpm,"16,2 kgfm","16,2 kgfm",Admissão,10W-40 ³,30 graus,"34,5 graus",391 km,373 km,"8,5 km/l","8,1 km/l",,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-intense-plus-1-6-at-2025,duster-intense-plus-1-6-at-2025,https://www.fichacompleta.com.br/carros/renault/duster-intense-plus-1-6-at-2025,2026-06-15T20:14:52.361701,Renault Duster Intense Plus 1.6 AT 2025,12 s,173 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,H4M,Duplo no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"10,64 kg/cv","78,8 kg/kgfm",,"75,1 cv/litro","10,7:1",,,,"10,1 kgfm/litro",Mecânicos,4,Conversor de torque,CVT,7,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1277 kg,475 litros,46 litros,140 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,529 km,483 km,"11,5 km/l","10,5 km/l",,,,500 kg,,,5500 rpm,4000 rpm,,,,,,,237 mm,399 cm³,1597 cm³,120 cv,118 cv,6300 rpm,"16,2 kgfm","16,2 kgfm",Admissão,10W-40 ³,30 graus,"34,5 graus",373 km,331 km,"8,1 km/l","7,2 km/l",Jatco X-Tronic,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-iconic-plus-1-3-2026,duster-iconic-plus-1-3-2026,https://www.fichacompleta.com.br/carros/renault/duster-iconic-plus-1-3-2026,2026-06-15T20:14:55.170533,Renault Duster Iconic Plus 1.3 2026,"9,5 s",180 km/h,Corrente,Injeção direta,Turbocompressor,,4 em linha,HR13,Duplo no cabeçote,"81,4 mm","72,2 mm",Transversal,Dianteiro,"8,30 kg/cv","49,2 kg/kgfm",,"122,4 cv/litro","10,5:1",,,,"20,6 kgfm/litro",Hidráulicos,4,Conversor de torque,CVT,8,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1353 kg,475 litros,46 litros,129 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,566 km,501 km,"12,3 km/l","10,9 km/l",,,,500 kg,,,5500 rpm,3750 rpm,,,,,,,237 mm,333 cm³,1332 cm³,163 cv,156 cv,6000 rpm,"27,5 kgfm","25,5 kgfm",Admissão e escape,5W-40 ³,30 graus,"34,5 graus",396 km,345 km,"8,6 km/l","7,5 km/l",Jatco X-Tronic,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-iconic-plus-1-6-at-2026,duster-iconic-plus-1-6-at-2026,https://www.fichacompleta.com.br/carros/renault/duster-iconic-plus-1-6-at-2026,2026-06-15T20:14:59.446837,Renault Duster Iconic Plus 1.6 AT 2026,"12,9 s",167 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,H4M,Duplo no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"11,42 kg/cv","82,0 kg/kgfm",,"70,1 cv/litro","10,7:1",,,,"9,8 kgfm/litro",Mecânicos,4,Conversor de torque,CVT,7,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1279 kg,475 litros,46 litros,129 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,524 km,497 km,"11,4 km/l","10,8 km/l",,,,500 kg,,,5500 rpm,4000 rpm,,,,,,,237 mm,399 cm³,1597 cm³,112 cv,109 cv,6300 rpm,"15,6 kgfm","15,3 kgfm",Admissão,10W-40 ³,30 graus,"34,5 graus",382 km,345 km,"8,3 km/l","7,5 km/l",Jatco X-Tronic,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-intense-plus-1-6-2026,duster-intense-plus-1-6-2026,https://www.fichacompleta.com.br/carros/renault/duster-intense-plus-1-6-2026,2026-06-15T20:15:02.420836,Renault Duster Intense Plus 1.6 2026,"11,4 s",167 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,H4M,Duplo no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"11,21 kg/cv","80,4 kg/kgfm",,"70,1 cv/litro","10,7:1",,,,"9,8 kgfm/litro",Mecânicos,4,Embreagem monodisco a seco,Manual,5,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1255 kg,475 litros,46 litros,140 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,566 km,515 km,"12,3 km/l","11,2 km/l",,,,500 kg,,,5500 rpm,4000 rpm,,,,,,,237 mm,399 cm³,1597 cm³,112 cv,109 cv,6300 rpm,"15,6 kgfm","15,3 kgfm",Admissão,10W-40 ³,30 graus,"34,5 graus",386 km,350 km,"8,4 km/l","7,6 km/l",,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Duster,duster,duster-intense-plus-1-6-at-2026,duster-intense-plus-1-6-at-2026,https://www.fichacompleta.com.br/carros/renault/duster-intense-plus-1-6-at-2026,2026-06-15T20:15:04.967639,Renault Duster Intense Plus 1.6 AT 2026,"12,9 s",167 km/h,Corrente,Injeção multiponto,Natural,,4 em linha,H4M,Duplo no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"11,40 kg/cv","81,9 kg/kgfm",,"70,1 cv/litro","10,7:1",,,,"9,8 kgfm/litro",Mecânicos,4,Conversor de torque,CVT,7,Dianteira,1693 mm,1557 mm,1560 mm,4376 mm,2673 mm,1832 mm,1277 kg,475 litros,46 litros,140 mm,Disco ventilado,Tambor,"2,64 m²","1,056 m²","0,4",Elétrica,"10,7 m","Indep., McPherson",Mola helicoidal,Eixo de torção,524 km,497 km,"11,4 km/l","10,8 km/l",,,,500 kg,,,5500 rpm,4000 rpm,,,,,,,237 mm,399 cm³,1597 cm³,112 cv,109 cv,6300 rpm,"15,6 kgfm","15,3 kgfm",Admissão,10W-40 ³,30 graus,"34,5 graus",382 km,345 km,"8,3 km/l","7,5 km/l",Jatco X-Tronic,22 graus,,,,,145/90 R16,,,,,,,,,,,
renault,Express,express,express-1-6-1998,express-1-6-1998,https://www.fichacompleta.com.br/carros/renault/express-1-6-1998,2026-06-15T20:15:22.350663,Renault Express 1.6 1998,"14,4 s",147 km/h,Corrente,Injeção monoponto,Natural,1565 cm³,4 em linha,Cleon C3L,Único no bloco,84 mm,77 mm,Transversal,Dianteiro,"11,3 kg/cv","62,2 kg/kgfm",,"47,3 cv/litro",9:1,,,,"8,6 kgfm/litro",Mecânicos,2,Embreagem monodisco a seco,Manual,5,Dianteira,1808 mm,1326 mm,1288 mm,4056 mm,2580 mm,1620 mm,833 kg,2600 litros,43 litros,116 mm,Disco sólido,Tambor,"2,49 m²","0,996 m²","0,4",Não assistida,Não informado,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",516 km,430 km,12 km/l,10 km/l,74 cv,"13,4 kgfm",,650 kg,,,5000 rpm,2750 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renault,Express,express,express-1-6-1999,express-1-6-1999,https://www.fichacompleta.com.br/carros/renault/express-1-6-1999,2026-06-15T20:15:26.220786,Renault Express 1.6 1999,"14,4 s",147 km/h,Corrente,Injeção monoponto,Natural,1565 cm³,4 em linha,Cleon C3L,Único no bloco,84 mm,77 mm,Transversal,Dianteiro,"11,3 kg/cv","62,2 kg/kgfm",,"47,3 cv/litro",9:1,,,,"8,6 kgfm/litro",Mecânicos,2,Embreagem monodisco a seco,Manual,5,Dianteira,1808 mm,1326 mm,1288 mm,4056 mm,2580 mm,1620 mm,833 kg,2600 litros,43 litros,116 mm,Disco sólido,Tambor,"2,49 m²","0,996 m²","0,4",Não assistida,Não informado,"Indep., McPherson",Barra de torção,"Indep., braço arrastado",516 km,430 km,12 km/l,10 km/l,74 cv,"13,4 kgfm",,650 kg,,,5000 rpm,2750 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renault,Express,express,express-1-6-2000,express-1-6-2000,https://www.fichacompleta.com.br/carros/renault/express-1-6-2000,2026-06-15T20:15:28.880367,Renault Express 1.6 2000,"14,4 s",147 km/h,,Injeção monoponto,Natural,1565 cm³,4 em linha,Cleon C3L,"no bloco, corrente",84 mm,77 mm,Transversal,Dianteiro,"13,2 kg/cv","72,6 kg/kgfm",,"47,3 cv/litro",9:1,,,,"8,6 kgfm/litro",Mecânicos,2,Embreagem monodisco a seco,Manual,,Dianteira,1810 mm,1326 mm,1288 mm,4060 mm,2580 mm,1620 mm,980 kg,2600 litros,43 litros,124 mm,Disco sólido,Tambor,,,,Não assistida,,"Independente, McPherson",Mola helicoidal,Eixo rígido,516 km,430 km,12 km/l,10 km/l,74 cv a 5000 rpm,"13,5 kgfm a 2750 rpm",5,540 kg,,Não informado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renault,Fluence,fluence,fluence-dynamique-2-0-2011,fluence-dynamique-2-0-2011,https://www.fichacompleta.com.br/carros/renault/fluence-dynamique-2-0-2011,2026-06-15T20:15:47.344851,Renault Fluence Dynamique 2.0 2011,"9,7 s",200 km/h,Corrente,Injeção multiponto,Natural,1997 cm³,4 em linha,M4R,Duplo no cabeçote,"90,1 mm",84 mm,Transversal,Dianteiro,"9,6 kg/cv","67,4 kg/kgfm",,"71,6 cv/litro","10,2:1",6000 rpm,3750 rpm,,"10,2 kgfm/litro",Hidráulicos,4,Embreagem monodisco a seco,Manual,6,Dianteira,1480 mm,1541 mm,1563 mm,4620 mm,2700 mm,1810 mm,1369 kg,530 litros,60 litros,123 mm,Disco ventilado,Disco sólido,"2,28 m²","0,762 m²","0,334",Elétrica,"11,1 m","Indep., McPherson",Mola helicoidal,Eixo de torção,846 km,612 km,"14,1 km/l","10,2 km/l",143 cv (A) 140 cv (G) a 6000 rpm,"20,3 kgfm (A) 19,9 kgfm (G) a 3750 rpm",6,415 kg,"0,334","11,1 m",,,,,,,,,,,,143 cv,140 cv,,"20,3 kgfm","19,9 kgfm",Admissão,,,,552 km,408 km,"9,2 km/l","6,8 km/l",,,,,,,,,,,,,,,,,,
renault,Fluence,fluence,fluence-dynamique-2-0-at-2011,fluence-dynamique-2-0-at-2011,https://www.fichacompleta.com.br/carros/renault/fluence-dynamique-2-0-at-2011,2026-06-15T20:15:50.756151,Renault Fluence Dynamique 2.0 AT 2011,"9,9 s",195 km/h,,Injeção multiponto,Natural,1997 cm³,4 em linha,M4R,"Duplo no cabeçote, corrente","90,1 mm",84 mm,Transversal,Dianteiro,"9,6 kg/cv","67,6 kg/kgfm",,"71,6 cv/litro","10,2:1",,,,"10,2 kgfm/litro",Hidráulicos,4,Conversor de torque,CVT,,Dianteira,1480 mm,1541 mm,1563 mm,4620 mm,2700 mm,1810 mm,1372 kg,530 litros,60 litros,113 mm,Disco ventilado,Disco sólido,"2,28 m²","0,762 m²",,Elétrica,,"Independente, McPherson",Mola helicoidal,Eixo de torção,720 km,546 km,12 km/l,"9,1 km/l",143 cv (A) 140 cv (G) a 6000 rpm,"20,3 kgfm (A) 19,9 kgfm (G) a 3750 rpm",6,413 kg,"0,334","11,1 m",,,,,,,,,,,,,,,,,Admissão,,,,486 km,360 km,"8,1 km/l",6 km/l,JF011-E,,,,,,,,,,,,,,,,,
