marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__altura_minima_do_solo,geral__bitola_dianteira,geral__bitola_traseira,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__quantidade_de_marchas,geral__diametro_minimo_de_giro,geral__potencia,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__reboque_com_freio,geral__cilindrada_unitaria,geral__deslocamento,geral__reboque_sem_freio,geral__acionam_do_comando,geral__viscosidade_do_oleo,geral__variacao_do_comando,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__codigo_do_cambio,geral__estepe,geral__tuchos,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__portamalas_8_lugares,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__rotacao_maxima,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__autonomia,geral__capacidade_da_bateria,geral__potencia_combinada,geral__potencia_de_recarga,geral__torque_combinado,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__angulo_central,geral__angulo_de_entrada,geral__angulo_de_saida,geral__veloc_max_modo_elet,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano
kia,Rio,rio,rio-ex-1-6-at-2020,rio-ex-1-6-at-2020,https://www.fichacompleta.com.br/carros/kia/rio-ex-1-6-at-2020,2026-06-18T12:21:09.960938,Kia Rio EX 1.6 AT 2020,"10,5 s",191 km/h,Conversor de torque,Automático,6,Dianteira,Injeção multiponto,Natural,1591 cm³,4 em linha,Gamma,Duplo no cabeçote,"85,4 mm",77 mm,Transversal,Dianteiro,"8,8 kg/cv","69,2 kg/kgfm","81,7 cv/litro",,11:1,6000 rpm,4500 rpm,"10,4 kgfm/litro",,4,1450 mm,140 mm,1518 mm,1524 mm,469 kg,4065 mm,2580 mm,1725 mm,1141 kg,325 litros,45 litros,120 mm,Disco ventilado,Tambor,Elétrica,"10,2 m","Indep., McPherson",Mola helicoidal,Eixo de torção,,,,,,,,,,,,,,,,,Corrente,,Admissão e escape,"2,13 m²","0,660 m²","0,31",,603 km,473 km,"13,4 km/l","10,5 km/l",A6GF1,,Mecânicos,,,,,,130 cv,123 cv,"16,5 kgfm",16 kgfm,419 km,324 km,"9,3 km/l","7,2 km/l",,,,,,,,,,,,,,,,,,,,
kia,Rio,rio,rio-lx-1-6-at-2020,rio-lx-1-6-at-2020,https://www.fichacompleta.com.br/carros/kia/rio-lx-1-6-at-2020,2026-06-18T12:21:17.804564,Kia Rio LX 1.6 AT 2020,"10,5 s",191 km/h,Conversor de torque,Automático,6,Dianteira,Injeção multiponto,Natural,1591 cm³,4 em linha,Gamma,Duplo no cabeçote,"85,4 mm",77 mm,Transversal,Dianteiro,"8,8 kg/cv","69,2 kg/kgfm","81,7 cv/litro",,11:1,6000 rpm,4500 rpm,"10,4 kgfm/litro",,4,1450 mm,140 mm,1518 mm,1524 mm,469 kg,4065 mm,2580 mm,1725 mm,1141 kg,325 litros,45 litros,120 mm,Disco ventilado,Tambor,Elétrica,"10,2 m","Indep., McPherson",Mola helicoidal,Eixo de torção,,,,,,,,,,,,,,,,,Corrente,,Admissão e escape,"2,13 m²","0,660 m²","0,31",,603 km,473 km,"13,4 km/l","10,5 km/l",A6GF1,,Mecânicos,,,,,,130 cv,123 cv,"16,5 kgfm",16 kgfm,419 km,324 km,"9,3 km/l","7,2 km/l",,,,,,,,,,,,,,,,,,,,
kia,Rio,rio,rio-ex-1-6-at-2021,rio-ex-1-6-at-2021,https://www.fichacompleta.com.br/carros/kia/rio-ex-1-6-at-2021,2026-06-18T12:21:24.381989,Kia Rio EX 1.6 AT 2021,"10,5 s",191 km/h,Conversor de torque,Automático,6,Dianteira,Injeção multiponto,Natural,1591 cm³,4 em linha,Gamma,Duplo no cabeçote,"85,4 mm",77 mm,Transversal,Dianteiro,"8,8 kg/cv","69,2 kg/kgfm","81,7 cv/litro",,11:1,6000 rpm,4500 rpm,"10,4 kgfm/litro",,4,1450 mm,140 mm,1518 mm,1524 mm,469 kg,4065 mm,2580 mm,1725 mm,1141 kg,325 litros,45 litros,135 mm,Disco ventilado,Disco ventilado,Elétrica,"10,2 m","Indep., McPherson",Mola helicoidal,Eixo de torção,,,,,,,,,,,,,,,,,Corrente,,Admissão e escape,"2,13 m²","0,660 m²","0,31",,603 km,473 km,"13,4 km/l","10,5 km/l",A6GF1,,Mecânicos,,,,,,130 cv,123 cv,"16,5 kgfm",16 kgfm,419 km,324 km,"9,3 km/l","7,2 km/l",,,,,,,,,,,,,,,,,,,,
kia,Sephia,sephia,sephia-gtx-1-5-1994,sephia-gtx-1-5-1994,https://www.fichacompleta.com.br/carros/kia/sephia-gtx-1-5-1994,2026-06-18T12:22:02.334985,Kia Sephia GTX 1.5 1994,"11,9 s",173 km/h,Embreagem monodisco a seco,Manual,5,Dianteira,Injeção multiponto,Natural,1498 cm³,4 em linha,B5-ME,Duplo no cabeçote,"78,4 mm",78 mm,Transversal,Dianteiro,"12,3 kg/cv","82,7 kg/kgfm","58,7 cv/litro",88 cv,"9,4:1",5500 rpm,4000 rpm,"8,7 kgfm/litro","13,1 kgfm",4,1390 mm,,1440 mm,1435 mm,,4280 mm,2500 mm,1692 mm,1084 kg,370 litros,50 litros,123 mm,Disco ventilado,Tambor,Hidráulica,"10,6 m","Indep., McPherson",Mola helicoidal,"Indep., McPherson",,,,,,,,,,,,,,,,,,,,2 m²,"0,660 m²","0,33",,700 km,500 km,14 km/l,10 km/l,G5M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Sephia,sephia,sephia-gtx-1-5-1995,sephia-gtx-1-5-1995,https://www.fichacompleta.com.br/carros/kia/sephia-gtx-1-5-1995,2026-06-18T12:22:05.664082,Kia Sephia GTX 1.5 1995,"11,9 s",173 km/h,Embreagem monodisco a seco,Manual,5,Dianteira,Injeção multiponto,Natural,1498 cm³,4 em linha,B5-ME,Duplo no cabeçote,"78,4 mm",78 mm,Transversal,Dianteiro,"12,3 kg/cv","82,7 kg/kgfm","58,7 cv/litro",88 cv,"9,4:1",,,"8,7 kgfm/litro","13,1 kgfm",4,1390 mm,,1440 mm,1435 mm,,4280 mm,2500 mm,1692 mm,1084 kg,370 litros,50 litros,123 mm,Disco ventilado,Tambor,Hidráulica,"10,6 m","Indep., McPherson",Mola helicoidal,"Indep., McPherson",,,,,5,"10,6 m",,5500 rpm,4000 rpm,,,,,,,,,,,2 m²,"0,660 m²","0,33","0,33",700 km,500 km,14 km/l,10 km/l,G5M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Sephia,sephia,sephia-gtx-1-6-1995,sephia-gtx-1-6-1995,https://www.fichacompleta.com.br/carros/kia/sephia-gtx-1-6-1995,2026-06-18T12:22:09.791278,Kia Sephia GTX 1.6 1995,"11,2 s",172 km/h,Embreagem monodisco a seco,Manual,5,Dianteira,Injeção multiponto,Natural,1598 cm³,4 em linha,B6,Único no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"13,4 kg/cv","85,4 kg/kgfm","50,7 cv/litro",81 cv,"9,3:1",5000 rpm,3500 rpm,"7,9 kgfm/litro","12,7 kgfm",2,1390 mm,,1440 mm,1435 mm,,4280 mm,2500 mm,1692 mm,1084 kg,370 litros,50 litros,123 mm,Disco ventilado,Tambor,Hidráulica,"10,6 m","Indep., McPherson",Mola helicoidal,"Indep., McPherson",,,,,,,,,,,,,,,,,Correia dentada,,,2 m²,"0,660 m²","0,33",,600 km,475 km,12 km/l,"9,5 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Sephia,sephia,sephia-gtx-1-6-at-1995,sephia-gtx-1-6-at-1995,https://www.fichacompleta.com.br/carros/kia/sephia-gtx-1-6-at-1995,2026-06-18T12:22:12.740468,Kia Sephia GTX 1.6 AT 1995,13 s,165 km/h,Conversor de torque,Automático,4,Dianteira,Injeção multiponto,Natural,1598 cm³,4 em linha,B6,Único no cabeçote,"83,6 mm",78 mm,Transversal,Dianteiro,"13,6 kg/cv","86,6 kg/kgfm","50,7 cv/litro",,"9,3:1",,,"7,9 kgfm/litro",,2,1390 mm,,1440 mm,1435 mm,,4280 mm,2500 mm,1692 mm,1100 kg,370 litros,50 litros,123 mm,Disco ventilado,Tambor,Hidráulica,"10,6 m","Indep., McPherson",Mola helicoidal,"Indep., McPherson",,,,,,,81 cv,5000 rpm,3500 rpm,"12,7 kgfm",,,,,,,Correia dentada,,,2 m²,"0,660 m²","0,33",,550 km,450 km,11 km/l,9 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Sephia,sephia,sephia-gtx-1-5-1996,sephia-gtx-1-5-1996,https://www.fichacompleta.com.br/carros/kia/sephia-gtx-1-5-1996,2026-06-18T12:22:17.626072,Kia Sephia GTX 1.5 1996,"11,9 s",173 km/h,Embreagem monodisco a seco,Manual,5,Dianteira,Injeção multiponto,Natural,1498 cm³,4 em linha,B5-ME,Duplo no cabeçote,"78,4 mm",78 mm,Transversal,Dianteiro,"12,0 kg/cv","81,7 kg/kgfm","59,4 cv/litro",89 cv,"9,4:1",5500 rpm,4000 rpm,"8,7 kgfm/litro","13,1 kgfm",4,1390 mm,,1440 mm,1435 mm,520 kg,4360 mm,2500 mm,1692 mm,1070 kg,370 litros,50 litros,123 mm,Disco ventilado,Tambor,Hidráulica,"10,2 m","Indep., McPherson",Mola helicoidal,"Indep., McPherson",,,,,,,,,,,,,,,,,,,,2 m²,"0,660 m²","0,33",,700 km,500 km,14 km/l,10 km/l,G5M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Sephia,sephia,sephia-gtx-1-5-at-1996,sephia-gtx-1-5-at-1996,https://www.fichacompleta.com.br/carros/kia/sephia-gtx-1-5-at-1996,2026-06-18T12:22:22.211118,Kia Sephia GTX 1.5 AT 1996,13 s,165 km/h,Conversor de torque,Automático,4,Dianteira,Injeção multiponto,Natural,1498 cm³,4 em linha,B5-ME,Duplo no cabeçote,"78,4 mm",78 mm,Transversal,Dianteiro,"12,4 kg/cv","84,0 kg/kgfm","59,4 cv/litro",,"9,4:1",,,"8,7 kgfm/litro",,4,1390 mm,,1440 mm,1435 mm,520 kg,4360 mm,2500 mm,1692 mm,1100 kg,370 litros,50 litros,123 mm,Disco ventilado,Tambor,Hidráulica,"10,2 m","Indep., McPherson",Mola helicoidal,"Indep., McPherson",,,,,,,89 cv,5500 rpm,4000 rpm,"13,1 kgfm",,,,,,,,,,2 m²,"0,660 m²","0,33",,650 km,475 km,13 km/l,"9,5 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kia,Sephia,sephia,sephia-ls-1-5-1999,sephia-ls-1-5-1999,https://www.fichacompleta.com.br/carros/kia/sephia-ls-1-5-1999,2026-06-18T12:22:26.575515,Kia Sephia LS 1.5 1999,"13,8 s",180 km/h,Embreagem monodisco a seco,Manual,5,Dianteira,Injeção multiponto,Natural,1498 cm³,4 em linha,B5-DE,Duplo no cabeçote,"78,4 mm",78 mm,Transversal,Dianteiro,"10,8 kg/cv","75,9 kg/kgfm","70,1 cv/litro",105 cv,"9,3:1",,,"10,0 kgfm/litro",15 kgfm,4,1413 mm,,1465 mm,1455 mm,452 kg,4427 mm,2560 mm,1711 mm,1138 kg,349 litros,50 litros,120 mm,Disco ventilado,Tambor,Hidráulica,"10,6 m","Indep., McPherson",Mola helicoidal,Eixo de torção,,,,,5,"10,6 m",,5500 rpm,4000 rpm,,,,,,,,,,,"2,05 m²","0,636 m²","0,31","0,31",625 km,510 km,"12,5 km/l","10,2 km/l",G5M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
