marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__altura,geral__altura_minima_do_solo,geral__angulo_de_entrada,geral__angulo_de_saida,geral__bitola_dianteira,geral__bitola_traseira,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__rampa_maxima,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__autonomia,geral__capacidade_da_bateria,geral__pesopotencia,geral__pesotorque,geral__potencia,geral__torque,geral__cambio,geral__codigo_do_cambio,geral__marchas,geral__tracao,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__potencia_de_recarga,geral__carga_util,geral__estepe,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__consumo_eletrico,geral__frenagem_1000_kmh,geral__potencia_combinada,geral__torque_combinado,geral__acionam_do_comando,geral__alimentacao,geral__aspiracao,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__deslocamento,geral__disposicao,geral__instalacao,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__variacao_do_comando,geral__viscosidade_do_oleo,geral__acoplamento,geral__tanque_de_combustivel,geral__autonomia_eletrica,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__tuchos,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__veloc_max_modo_elet,geral__cacamba,geral__reboque_com_freio,geral__reboque_sem_freio,geral__portamalas_5_lugares,geral__portamalas_7_lugares
byd,Song Plus,song-plus,song-plus-dm-i-1-5-2025,song-plus-dm-i-1-5-2025,https://www.fichacompleta.com.br/carros/byd/song-plus-dm-i-1-5-2025,2026-06-14T14:05:27.721833,Byd Song Plus DM-i 1.5 2025,"8,5 s",170 km/h,1680 mm,180 mm,19 graus,21 graus,1630 mm,1630 mm,4705 mm,2765 mm,1890 mm,1790 kg,574 litros,,118 mm,Disco ventilado,Disco sólido,Elétrica,11 m,,"18,3 kWh","17,05 kg/cv","129,7 kg/kgfm",194 cv (dianteiro),"33,1 kgfm (dianteiro)",Automático,,1,Dianteira,"Indep., McPherson",Mola helicoidal,"Indep., multibraço","6,6 kW (AC)",410 kg,Kit de reparo,,,,,,235 cv,"40,8 kgfm",Corrente,Injeção multiponto,Natural,4 em linha,BYD472QA,Duplo no cabeçote,1498 cm³,Transversal,Dianteiro,"70,1 cv/litro",105 cv,"15,5:1",6000 rpm,4500 rpm,"9,2 kgfm/litro","13,8 kgfm",4,Admissão,0W-20 ³,Engrenagem epicicloidal,57 litros,68 km,690 km,849 km,"12,1 km/l","14,9 km/l",,,,,,,,,
byd,Song Plus,song-plus,song-plus-premium-1-5-awd-2025,song-plus-premium-1-5-awd-2025,https://www.fichacompleta.com.br/carros/byd/song-plus-premium-1-5-awd-2025,2026-06-14T14:05:30.303252,Byd Song Plus Premium 1.5 AWD 2025,"5,2 s",180 km/h,1670 mm,180 mm,,,1630 mm,1630 mm,4775 mm,2765 mm,1890 mm,2020 kg,574 litros,,118 mm,Disco ventilado,Disco sólido,Elétrica,11 m,,"18,3 kWh","15,66 kg/cv","90,2 kg/kgfm",161 cv (traseiro),"30,6 kgfm (traseiro)",Automático,,1,Integral sob demanda,"Indep., McPherson",Mola helicoidal,"Indep., multibraço","6,6 kW (AC)",,Kit de reparo,,,,,,308 cv,"56,1 kgfm",Corrente,Injeção multiponto,Turbocompressor,4 em linha,,Duplo no cabeçote,1498 cm³,Transversal,Dianteiro,"86,1 cv/litro",129 cv,,6000 rpm,4500 rpm,"15,0 kgfm/litro","22,4 kgfm",4,Admissão,0W-20 ³,Engrenagem epicicloidal,57 litros,52 km,633 km,747 km,"11,1 km/l","13,1 km/l",,,,,,,,,
byd,Song Plus,song-plus,song-plus-premium-1-5-awd-2025-eletricidade-gasolina,song-plus-premium-1-5-awd-2025-eletricidade-gasolina,https://www.fichacompleta.com.br/carros/byd/song-plus-premium-1-5-awd-2025-eletricidade-gasolina,2026-06-14T14:05:32.712664,Byd Song Plus Premium 1.5 AWD 2025,"5,2 s",180 km/h,1670 mm,180 mm,,,1630 mm,1630 mm,4775 mm,2765 mm,1890 mm,2020 kg,574 litros,,118 mm,Disco ventilado,Disco sólido,Elétrica,11 m,,"18,3 kWh","15,66 kg/cv","90,2 kg/kgfm",161 cv (traseiro),"30,6 kgfm (traseiro)",Automático,,1,Integral sob demanda,"Indep., McPherson",Mola helicoidal,"Indep., multibraço","6,6 kW (AC)",,Kit de reparo,,,,,,308 cv,"56,1 kgfm",Corrente,Injeção multiponto,Turbocompressor,4 em linha,,Duplo no cabeçote,1498 cm³,Transversal,Dianteiro,"86,1 cv/litro",129 cv,,6000 rpm,4500 rpm,"15,0 kgfm/litro","22,4 kgfm",4,Admissão,0W-20 ³,Engrenagem epicicloidal,57 litros,52 km,633 km,747 km,"11,1 km/l","13,1 km/l",,,,,,,,,
byd,Song Plus,song-plus,song-plus-gs-1-5-2026,song-plus-gs-1-5-2026,https://www.fichacompleta.com.br/carros/byd/song-plus-gs-1-5-2026,2026-06-14T14:05:35.275092,Byd Song Plus GS 1.5 2026,"7,9 s",170 km/h,1670 mm,180 mm,19 graus,21 graus,1630 mm,1630 mm,4775 mm,2765 mm,1890 mm,1790 kg,552 litros,,118 mm,Disco ventilado,Disco sólido,Elétrica,11 m,,"18,3 kWh","18,27 kg/cv","144,4 kg/kgfm",197 cv (dianteiro),"30,6 kgfm (dianteiro)",Automático,,1,Dianteira,"Indep., McPherson",Mola helicoidal,"Indep., multibraço","6,6 kW (AC)",410 kg,Kit de reparo,,,,,,235 cv,"40,8 kgfm",Corrente,Injeção multiponto,Natural,4 em linha,,Duplo no cabeçote,1498 cm³,Transversal,Dianteiro,"65,4 cv/litro",98 cv,"15,5:1",6000 rpm,4500 rpm,"8,3 kgfm/litro","12,4 kgfm",4,Admissão,0W-20 ³,Embreagem multidisco,57 litros,63 km,690 km,849 km,"12,1 km/l","14,9 km/l",,"7,62 kg/cv","43,87 kg/kgfm",,,,,,
byd,Song Plus,song-plus,song-plus-premium-1-5-awd-2026,song-plus-premium-1-5-awd-2026,https://www.fichacompleta.com.br/carros/byd/song-plus-premium-1-5-awd-2026,2026-06-14T14:05:38.942684,Byd Song Plus Premium 1.5 AWD 2026,"5,2 s",180 km/h,1670 mm,180 mm,,,1630 mm,1630 mm,4775 mm,2765 mm,1890 mm,2020 kg,552 litros,,118 mm,Disco ventilado,Disco sólido,Elétrica,11 m,,"26,6 kWh","15,54 kg/cv","90,2 kg/kgfm",163 cv (traseiro),"25,5 kgfm (traseiro)",Automático,,1,Integral sob demanda,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",18 kW (DC),,Kit de reparo,,,,,,324 cv,"56,1 kgfm",Corrente,Injeção multiponto,Turbocompressor,4 em linha,,Duplo no cabeçote,1498 cm³,Transversal,Dianteiro,"86,8 cv/litro",130 cv,,6000 rpm,4500 rpm,"15,0 kgfm/litro","22,4 kgfm",4,Admissão,0W-20 ³,Embreagem multidisco,57 litros,87 km,576 km,695 km,"10,1 km/l","12,2 km/l",,"6,23 kg/cv","36,01 kg/kgfm",,,,,,
byd,Song Pro,song-pro,song-pro-dm-i-1-5-2025,song-pro-dm-i-1-5-2025,https://www.fichacompleta.com.br/carros/byd/song-pro-dm-i-1-5-2025,2026-06-14T14:05:45.383275,Byd Song Pro DM-i 1.5 2025,"8,5 s",170 km/h,1710 mm,,,,1565 mm,1565 mm,4738 mm,2712 mm,1860 mm,1700 kg,574 litros,,135 mm,Disco ventilado,Disco sólido,Elétrica,"11,6 m",,"8,3 kWh","15,45 kg/cv","123,2 kg/kgfm",179 cv (dianteiro),"32,2 kgfm (dianteiro)",Automático,,1,Dianteira,"Indep., McPherson",Mola helicoidal,"Indep., multibraço","3,3 kW (AC)",410 kg,Kit de reparo,,,,,,235 cv,"40,8 kgfm",Corrente,Injeção multiponto,Natural,4 em linha,BYD472QA,Duplo no cabeçote,1498 cm³,Transversal,Dianteiro,"73,4 cv/litro",110 cv,"15,5:1",6000 rpm,4500 rpm,"9,2 kgfm/litro","13,8 kgfm",4,Admissão,0W-20 ³,Engrenagem epicicloidal,52 litros,28 km,686 km,785 km,"13,2 km/l","15,1 km/l",,,,,,,,,
byd,Song Pro,song-pro,song-pro-gs-1-5-2025,song-pro-gs-1-5-2025,https://www.fichacompleta.com.br/carros/byd/song-pro-gs-1-5-2025,2026-06-14T14:05:48.350264,Byd Song Pro GS 1.5 2025,"7,9 s",185 km/h,1710 mm,156 mm,,,1565 mm,1565 mm,4738 mm,2712 mm,1860 mm,1700 kg,520 litros,,135 mm,Disco ventilado,Disco sólido,Elétrica,"11,6 m",,"18,3 kWh","17,35 kg/cv","137,1 kg/kgfm",197 cv (dianteiro),"30,6 kgfm (dianteiro)",Automático,,1,Dianteira,"Indep., McPherson",Mola helicoidal,"Indep., multibraço","6,6 kW (AC)",410 kg,Kit de reparo,,,,,,235 cv,43 kgfm,Corrente,Injeção multiponto,Natural,4 em linha,BYD472QA,Duplo no cabeçote,1498 cm³,Transversal,Dianteiro,"65,4 cv/litro",98 cv,"15,5:1",6000 rpm,4500 rpm,"8,3 kgfm/litro","12,4 kgfm",4,Admissão,0W-20 ³,Engrenagem epicicloidal,52 litros,68 km,634 km,790 km,"12,2 km/l","15,2 km/l",Hidráulicos,,,,,,,,
byd,Song Pro,song-pro,song-pro-gl-1-5-2026,song-pro-gl-1-5-2026,https://www.fichacompleta.com.br/carros/byd/song-pro-gl-1-5-2026,2026-06-14T14:05:50.811686,Byd Song Pro GL 1.5 2026,"8,3 s",185 km/h,1710 mm,156 mm,,,1565 mm,1565 mm,4738 mm,2712 mm,1860 mm,1700 kg,520 litros,,135 mm,Disco ventilado,Disco sólido,Elétrica,"11,6 m",,"12,9 kWh","17,35 kg/cv","137,1 kg/kgfm",197 cv (dianteiro),"30,6 kgfm (dianteiro)",Automático,,1,Dianteira,"Indep., McPherson",Mola helicoidal,"Indep., multibraço","6,6 kW (AC)",410 kg,Kit de reparo,,,,,,223 cv,"40,8 kgfm",Corrente,Injeção multiponto,Natural,4 em linha,BYD472QA,Duplo no cabeçote,1498 cm³,Transversal,Dianteiro,"65,4 cv/litro",98 cv,"15,5:1",6000 rpm,4500 rpm,"8,3 kgfm/litro","12,4 kgfm",4,Admissão,0W-20 ³,Embreagem multidisco,52 litros,39 km,655 km,770 km,"12,6 km/l","14,8 km/l",Hidráulicos,"7,62 kg/cv","41,67 kg/kgfm",,,,,,
byd,Song Pro,song-pro,song-pro-gs-1-5-2026,song-pro-gs-1-5-2026,https://www.fichacompleta.com.br/carros/byd/song-pro-gs-1-5-2026,2026-06-14T14:05:54.504160,Byd Song Pro GS 1.5 2026,"7,9 s",185 km/h,1710 mm,156 mm,,,1565 mm,1565 mm,4738 mm,2712 mm,1860 mm,1700 kg,520 litros,,135 mm,Disco ventilado,Disco sólido,Elétrica,"11,6 m",,"18,3 kWh","17,35 kg/cv","137,1 kg/kgfm",197 cv (dianteiro),"30,6 kgfm (dianteiro)",Automático,,1,Dianteira,"Indep., McPherson",Mola helicoidal,"Indep., multibraço","6,6 kW (AC)",410 kg,Kit de reparo,,,,,,235 cv,43 kgfm,Corrente,Injeção multiponto,Natural,4 em linha,BYD472QA,Duplo no cabeçote,1498 cm³,Transversal,Dianteiro,"65,4 cv/litro",98 cv,"15,5:1",6000 rpm,4500 rpm,"8,3 kgfm/litro","12,4 kgfm",4,Admissão,0W-20 ³,Embreagem multidisco,52 litros,62 km,624 km,770 km,12 km/l,"14,8 km/l",Hidráulicos,"7,23 kg/cv","39,53 kg/kgfm",,,,,,
byd,Tan,tan,tan-ev-2022,tan-ev-2022,https://www.fichacompleta.com.br/carros/byd/tan-ev-2022,2026-06-14T14:06:07.546397,Byd Tan EV 2022,"4,6 s",186 km/h,1725 mm,150 mm,22 graus,20 graus,,,4870 mm,2820 mm,1950 mm,2479 kg,,,106 mm,Disco ventilado,Disco ventilado,Elétrica,Não informado,437 km,"86,4 kWh","4,79 kg/cv","35,77 kg/kgfm",272 cv (traseiro),"35,7 kgfm (traseiro)",Automático,,1,Integral sob demanda,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",,,Kit de reparo e enchimento,,,,,36 m,517 cv,"69,3 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235 litros,600 litros
