marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__marchas,geral__quantidade_de_marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__rotacao_maxima,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__bitola_dianteira,geral__bitola_traseira,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__potencia,geral__torque,geral__regime_potencia_max,geral__regime_torque_max,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coeficiente_de_arrasto_cx,geral__carga_util,geral__acionam_do_comando,geral__variacao_do_comando,geral__altura_minima_do_solo,geral__coef_de_arrasto_cx,geral__estepe,geral__tuchos,geral__angulo_de_entrada,geral__angulo_de_saida,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__cilindrada_unitaria,geral__deslocamento,geral__viscosidade_do_oleo,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__reboque_com_freio,geral__reboque_sem_freio,geral__angulo_central,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__inclinacao_lateral_maxima,geral__rampa_maxima,geral__travessia_de_agua,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__capacidade_da_bateria,geral__potencia_combinada,geral__torque_combinado,geral__inclinacao_lateral_max,geral__veloc_max_modo_elet,geral__autonomia,geral__consumo_eletrico,geral__portamalas_8_lugares
hyundai,Accent Hatch,accent-hatch,accent-hatch-gs-1-5-1995,accent-hatch-gs-1-5-1995,https://www.fichacompleta.com.br/carros/hyundai/accent-hatch-gs-1-5-1995,2026-06-15T14:41:34.492975,Hyundai Accent Hatch GS 1.5 1995,"11,7 s",176 km/h,Embreagem monodisco a seco,Manual,M5AF3,5,,Dianteira,Injeção multiponto,Natural,1495 cm³,4 em linha,G4EK,Único no cabeçote,"83,5 mm","75,5 mm",Transversal,Dianteiro,"11,0 kg/cv","72,9 kg/kgfm","58,9 cv/litro",88 cv,10:1,6500 rpm,,,"8,9 kgfm/litro","13,3 kgfm",3,1394 mm,1420 mm,1410 mm,4103 mm,2400 mm,1620 mm,970 kg,342 litros,45 litros,123 mm,Disco ventilado,Tambor,Hidráulica,"9,7 m",,"Indep., McPherson",Mola helicoidal,"Indep., braço arrastado",707 km,536 km,"15,7 km/l","11,9 km/l",,,5600 rpm,3050 rpm,,,,,,470 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Accent Hatch,accent-hatch,accent-hatch-lr-1-5-1995,accent-hatch-lr-1-5-1995,https://www.fichacompleta.com.br/carros/hyundai/accent-hatch-lr-1-5-1995,2026-06-15T14:41:39.231756,Hyundai Accent Hatch LR 1.5 1995,"11,7 s",176 km/h,Embreagem monodisco a seco,Manual,M5AF3,,5,Dianteira,Injeção multiponto,Natural,1495 cm³,4 em linha,G4EK,Único no cabeçote,,,Transversal,Dianteiro,"11,0 kg/cv","72,9 kg/kgfm","58,9 cv/litro",88 cv a 5600 rpm,10:1,,,,"8,9 kgfm/litro","13,3 kgfm a 3050 rpm",3,1394 mm,1420 mm,1410 mm,4103 mm,2400 mm,1620 mm,970 kg,342 litros,45 litros,123 mm,175/70 R13,Tambor,Hidráulica,,"9,7 m","Independente, McPherson",Mola helicoidal,"Independente, braço arrastado",707 km,536 km,"15,7 km/l","11,9 km/l",,,,,"83,5 mm","75,5 mm",,,,470 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Accent Hatch,accent-hatch,accent-hatch-lr-1-5-1995-gasolina,accent-hatch-lr-1-5-1995-gasolina,https://www.fichacompleta.com.br/carros/hyundai/accent-hatch-lr-1-5-1995-gasolina,2026-06-15T14:41:43.058713,Hyundai Accent Hatch LR 1.5 1995,"11,7 s",176 km/h,Embreagem monodisco a seco,Manual,M5AF3,5,,Dianteira,Injeção multiponto,Natural,1495 cm³,4 em linha,G4EK,Único no cabeçote,"83,5 mm","75,5 mm",Transversal,Dianteiro,"11,1 kg/cv","73,7 kg/kgfm","58,9 cv/litro",88 cv,10:1,6500 rpm,,,"8,9 kgfm/litro","13,3 kgfm",3,1394 mm,1420 mm,1410 mm,4103 mm,2400 mm,1620 mm,980 kg,342 litros,45 litros,123 mm,Disco ventilado,Tambor,Hidráulica,"9,7 m",,"Indep., McPherson",Mola helicoidal,"Indep., braço arrastado",707 km,536 km,"15,7 km/l","11,9 km/l",,,5600 rpm,3050 rpm,,,,,,470 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Accent Hatch,accent-hatch,accent-hatch-gs-1-5-1997,accent-hatch-gs-1-5-1997,https://www.fichacompleta.com.br/carros/hyundai/accent-hatch-gs-1-5-1997,2026-06-15T14:41:46.376191,Hyundai Accent Hatch GS 1.5 1997,"11,7 s",180 km/h,Embreagem monodisco a seco,Manual,M5AF3,5,,Dianteira,Injeção multiponto,Natural,1495 cm³,4 em linha,G4EK,Único no cabeçote,"83,5 mm","75,5 mm",Transversal,Dianteiro,"10,7 kg/cv","72,9 kg/kgfm","60,9 cv/litro",91 cv,10:1,6500 rpm,,,"8,9 kgfm/litro","13,3 kgfm",3,1394 mm,1420 mm,1410 mm,4117 mm,2400 mm,1620 mm,970 kg,342 litros,45 litros,123 mm,Disco ventilado,Tambor,Hidráulica,"9,7 m",,"Indep., McPherson",Mola helicoidal,"Indep., braço arrastado",720 km,540 km,16 km/l,12 km/l,,,5600 rpm,3050 rpm,,,,,,510 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Accent Hatch,accent-hatch,accent-hatch-gsr-1-5-1997,accent-hatch-gsr-1-5-1997,https://www.fichacompleta.com.br/carros/hyundai/accent-hatch-gsr-1-5-1997,2026-06-15T14:41:51.321067,Hyundai Accent Hatch GSR 1.5 1997,"11,7 s",180 km/h,Embreagem monodisco a seco,Manual,M5AF3,5,,Dianteira,Injeção multiponto,Natural,1495 cm³,4 em linha,G4EK,Único no cabeçote,"83,5 mm","75,5 mm",Transversal,Dianteiro,"10,7 kg/cv","72,9 kg/kgfm","60,9 cv/litro",91 cv,10:1,6500 rpm,,,"8,9 kgfm/litro","13,3 kgfm",3,1394 mm,1420 mm,1410 mm,4117 mm,2400 mm,1620 mm,970 kg,342 litros,45 litros,123 mm,Disco ventilado,Tambor,Hidráulica,"9,7 m",,"Indep., McPherson",Mola helicoidal,"Indep., braço arrastado",720 km,540 km,16 km/l,12 km/l,,,5600 rpm,3050 rpm,,,,,,510 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Atos Prime,atos-prime,atos-prime-gls-1-0-2000,atos-prime-gls-1-0-2000,https://www.fichacompleta.com.br/carros/hyundai/atos-prime-gls-1-0-2000,2026-06-15T14:42:28.976851,Hyundai Atos Prime GLS 1.0 2000,"15,1 s",142 km/h,Embreagem monodisco a seco,Manual,,5,5,Dianteira,Injeção multiponto,Natural,999 cm³,4 em linha,Epsilon,Único no cabeçote,73 mm,66 mm,Transversal,Dianteiro,"14,2 kg/cv","95,3 kg/kgfm","57,1 cv/litro",57 cv,"9,5:1",,5500 rpm,3100 rpm,"8,5 kgfm/litro","8,5 kgfm",3,1615 mm,1315 mm,1315 mm,3495 mm,2380 mm,1495 mm,810 kg,263 litros,35 litros,109 mm,Disco sólido,Tambor,Não assistida,Não informado,Não informado,"Indep., McPherson",Mola helicoidal,Eixo de torção,522 km,329 km,"14,9 km/l","9,4 km/l",,,,,,,,,,,Correia dentada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Atos Prime,atos-prime,atos-prime-gls-1-0-at-2000,atos-prime-gls-1-0-at-2000,https://www.fichacompleta.com.br/carros/hyundai/atos-prime-gls-1-0-at-2000,2026-06-15T14:42:32.088501,Hyundai Atos Prime GLS 1.0 AT 2000,"15,8 s",140 km/h,Conversor de torque,Automático,,,3,Dianteira,Injeção multiponto,Natural,999 cm³,4 em linha,Epsilon,"Único no cabeçote, correia dentada",73 mm,66 mm,Transversal,Dianteiro,"18,5 kg/cv","124,2 kg/kgfm","57,1 cv/litro",57 cv a 5500 rpm,"9,5:1",,,,"8,5 kgfm/litro","8,5 kgfm a 3100 rpm",3,1615 mm,1315 mm,1315 mm,3495 mm,2380 mm,1495 mm,1056 kg,263 litros,35 litros,109 mm,Disco sólido,Tambor,Não assistida,,Não informado,"Independente, McPherson",Mola helicoidal,Eixo de torção,508 km,322 km,"14,5 km/l","9,2 km/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Atos Prime,atos-prime,atos-prime-gls-1-0-semiaut-2000,atos-prime-gls-1-0-semiaut-2000,https://www.fichacompleta.com.br/carros/hyundai/atos-prime-gls-1-0-semiaut-2000,2026-06-15T14:42:36.952672,Hyundai Atos Prime GLS 1.0 Semiaut. 2000,"15,1 s",142 km/h,Embreagem automática,Manual,,5,,Dianteira,Injeção multiponto,Natural,999 cm³,4 em linha,Epsilon,Único no cabeçote,73 mm,66 mm,Transversal,Dianteiro,"14,4 kg/cv","96,5 kg/kgfm","57,1 cv/litro",57 cv,"9,5:1",,,,"8,5 kgfm/litro","8,5 kgfm",3,1615 mm,1315 mm,1315 mm,3495 mm,2380 mm,1495 mm,820 kg,263 litros,35 litros,109 mm,Disco sólido,Tambor,Não assistida,Não informado,,"Indep., McPherson",Mola helicoidal,Eixo de torção,522 km,329 km,"14,9 km/l","9,4 km/l",,,5500 rpm,3100 rpm,,,,,,,Correia dentada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Atos Prime,atos-prime,atos-prime-gl-1-0-2001,atos-prime-gl-1-0-2001,https://www.fichacompleta.com.br/carros/hyundai/atos-prime-gl-1-0-2001,2026-06-15T14:42:41.325187,Hyundai Atos Prime GL 1.0 2001,"15,1 s",142 km/h,Embreagem monodisco a seco,Manual,,,5,Dianteira,Injeção multiponto,Natural,999 cm³,4 em linha,Epsilon,"Único no cabeçote, correia dentada",,,Transversal,Dianteiro,"14,2 kg/cv","95,3 kg/kgfm","57,1 cv/litro",57 cv a 5500 rpm,"9,5:1",,,,"8,5 kgfm/litro","8,5 kgfm a 3100 rpm",3,1615 mm,1315 mm,1315 mm,3495 mm,2380 mm,1495 mm,810 kg,263 litros,35 litros,109 mm,Disco sólido,Tambor,Não assistida,,Não informado,"Independente, McPherson",Mola helicoidal,Eixo de torção,522 km,329 km,"14,9 km/l","9,4 km/l",,,,,73 mm,66 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyundai,Atos Prime,atos-prime,atos-prime-gls-1-0-2001,atos-prime-gls-1-0-2001,https://www.fichacompleta.com.br/carros/hyundai/atos-prime-gls-1-0-2001,2026-06-15T14:42:43.874837,Hyundai Atos Prime GLS 1.0 2001,"15,1 s",142 km/h,Embreagem monodisco a seco,Manual,,5,,Dianteira,Injeção multiponto,Natural,999 cm³,4 em linha,Epsilon,Único no cabeçote,73 mm,66 mm,Transversal,Dianteiro,"14,2 kg/cv","95,3 kg/kgfm","57,1 cv/litro",57 cv,"9,5:1",,,,"8,5 kgfm/litro","8,5 kgfm",3,1615 mm,1315 mm,1315 mm,3495 mm,2380 mm,1495 mm,810 kg,263 litros,35 litros,109 mm,Disco sólido,Tambor,Não assistida,Não informado,,"Indep., McPherson",Mola helicoidal,Eixo de torção,522 km,329 km,"14,9 km/l","9,4 km/l",,,5500 rpm,3100 rpm,,,,,,,Correia dentada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
