marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acionam_do_comando,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__torque_especifico,geral__torque_maximo,geral__tuchos,geral__valvulas_por_cilindro,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__marchas,geral__tracao,geral__altura,geral__altura_minima_do_solo,geral__bitola_dianteira,geral__bitola_traseira,geral__cacamba,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__tanque_de_combustivel,geral__assistencia,geral__diametro_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__dianteiros,geral__traseiros,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__quantidade_de_marchas,geral__portamalas,geral__diametro_minimo_de_giro,geral__altura_do_flanco,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__rotacao_maxima,geral__torque_maximo_a,geral__torque_maximo_g,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__potencia,geral__torque,geral__reboque_com_freio,geral__reboque_sem_freio,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__angulo_de_entrada,geral__angulo_de_saida,geral__rampa_maxima,geral__travessia_de_agua,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__cilindrada_unitaria,geral__deslocamento,geral__estepe,geral__autonomia,geral__capacidade_da_bateria,geral__variacao_do_comando,geral__viscosidade_do_oleo,geral__frenagem_1000_kmh,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__potencia_combinada,geral__torque_combinado,geral__angulo_central,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__inclinacao_lateral_max,geral__inclinacao_lateral_maxima
chevrolet,Chevette,chevette,chevette-gp-1-4-1975,chevette-gp-1-4-1975,https://www.fichacompleta.com.br/carros/chevrolet/chevette-gp-1-4-1975,2026-06-14T21:20:17.062127,Chevrolet Chevette GP 1.4 1975,"19,5 s",142 km/h,Correia dentada,Carburador,Natural,1398 cm³,4 em linha,,Único no cabeçote,"66,2 mm",82 mm,Longitudinal,Dianteiro,"12,4 kg/cv","82,4 kg/kgfm","51,5 cv/litro",72 cv,"8,5:1",,,"7,7 kgfm/litro","10,8 kgfm",,2,Embreagem monodisco a seco,Manual,,4,Traseira,1320 mm,,,,,,4120 mm,2390 mm,1570 mm,890 kg,45 litros,Não assistida,Não informado,"Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,,,,,5800 rpm,3800 rpm,4,323 litros,Não informado,,,,,,,,,,,,,585 km,405 km,13 km/l,9 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet,Chevette,chevette,chevette-pais-tropical-1-4-1976,chevette-pais-tropical-1-4-1976,https://www.fichacompleta.com.br/carros/chevrolet/chevette-pais-tropical-1-4-1976,2026-06-14T21:20:20.593301,Chevrolet Chevette Pais Tropical 1.4 1976,"19,1 s",140 km/h,Correia dentada,Carburador,Natural,1398 cm³,4 em linha,,Único no cabeçote,"66,2 mm",82 mm,Longitudinal,Dianteiro,"12,8 kg/cv","88,8 kg/kgfm","48,6 cv/litro",68 cv,"7,8:1",5800 rpm,3200 rpm,"7,0 kgfm/litro","9,8 kgfm",,2,Embreagem monodisco a seco,Manual,,4,Traseira,1320 mm,140 mm,,,,,4120 mm,2390 mm,1570 mm,870 kg,45 litros,Não assistida,"10,5 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,,,,,,,,323 litros,,,,,,,,,,,,,,630 km,495 km,14 km/l,11 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet,Chevette,chevette,chevette-sl-1-4-1976,chevette-sl-1-4-1976,https://www.fichacompleta.com.br/carros/chevrolet/chevette-sl-1-4-1976,2026-06-14T21:20:23.720920,Chevrolet Chevette SL 1.4 1976,"19,1 s",140 km/h,Correia dentada,Carburador,Natural,1398 cm³,4 em linha,,Único no cabeçote,"66,2 mm",82 mm,Longitudinal,Dianteiro,"12,8 kg/cv","88,8 kg/kgfm","48,6 cv/litro",68 cv,"7,8:1",,,"7,0 kgfm/litro","9,8 kgfm",,2,Embreagem monodisco a seco,Manual,,4,Traseira,1320 mm,140 mm,,,,,4120 mm,2390 mm,1570 mm,870 kg,45 litros,Não assistida,"10,5 m","Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,,,,,5800 rpm,3200 rpm,4,323 litros,"10,5 m",,,,,,,,,,,,,630 km,495 km,14 km/l,11 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet,Chevette,chevette,chevette-gp-ii-1-4-1977,chevette-gp-ii-1-4-1977,https://www.fichacompleta.com.br/carros/chevrolet/chevette-gp-ii-1-4-1977,2026-06-14T21:20:28.127270,Chevrolet Chevette GP II 1.4 1977,"19,5 s",142 km/h,,Carburador,Natural,1398 cm³,4 em linha,,"Único no cabeçote, correia dentada","66,2 mm",82 mm,Longitudinal,Dianteiro,"12,4 kg/cv","82,4 kg/kgfm","51,5 cv/litro",72 cv a 5800 rpm,"8,5:1",,,"7,7 kgfm/litro","10,8 kgfm a 3800 rpm",,2,Embreagem monodisco a seco,Manual,,,Traseira,1320 mm,,,,,,4120 mm,2390 mm,1570 mm,890 kg,45 litros,Não assistida,,"Independente, braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,,,,,,,4,323 litros,Não informado,,,,,,,,,,,,,585 km,405 km,13 km/l,9 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet,Chevette,chevette,chevette-gp-1-4-1978,chevette-gp-1-4-1978,https://www.fichacompleta.com.br/carros/chevrolet/chevette-gp-1-4-1978,2026-06-14T21:20:32.101672,Chevrolet Chevette GP 1.4 1978,"19,5 s",142 km/h,Correia dentada,Carburador,Natural,1398 cm³,4 em linha,,Único no cabeçote,"66,2 mm",82 mm,Longitudinal,Dianteiro,"12,4 kg/cv","82,4 kg/kgfm","51,5 cv/litro",72 cv,"8,5:1",5800 rpm,3800 rpm,"7,7 kgfm/litro","10,8 kgfm",,2,Embreagem monodisco a seco,Manual,,4,Traseira,1320 mm,,,,,,4120 mm,2390 mm,1570 mm,890 kg,45 litros,Não assistida,Não informado,"Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,,,,,,,,323 litros,,,,,,,,,,,,,,585 km,405 km,13 km/l,9 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevrolet,Chevette,chevette,chevette-sl-1-4-1978-gasolina,chevette-sl-1-4-1978-gasolina,https://www.fichacompleta.com.br/carros/chevrolet/chevette-sl-1-4-1978-gasolina,2026-06-14T21:20:36.879082,Chevrolet Chevette SL 1.4 1978,"17,4 s",150 km/h,Correia dentada,Carburador,Natural,1398 cm³,4 em linha,,Único no cabeçote,"66,2 mm",82 mm,Longitudinal,Dianteiro,"13,3 kg/cv","89,5 kg/kgfm","48,6 cv/litro",68 cv,"7,8:1",5800 rpm,3600 rpm,"7,2 kgfm/litro","10,1 kgfm",,2,Embreagem monodisco a seco,Manual,,4,Traseira,1324 mm,140 mm,1300 mm,1300 mm,,,4193 mm,2395 mm,1570 mm,904 kg,45 litros,Não assistida,Não informado,"Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,,,,,,,,323 litros,,123 mm,,,,,,,,,,,,657 km,419 km,"14,6 km/l","9,3 km/l",,,,,,,,,,,,,,,,,,,175/70 R13,,,,,,,,,,,,,,,,
chevrolet,Chevette,chevette,chevette-sl-1-4-1978,chevette-sl-1-4-1978,https://www.fichacompleta.com.br/carros/chevrolet/chevette-sl-1-4-1978,2026-06-14T21:20:41.553711,Chevrolet Chevette SL 1.4 1978,"17,4 s",150 km/h,Correia dentada,Carburador,Natural,1398 cm³,4 em linha,,Único no cabeçote,"66,2 mm",82 mm,Longitudinal,Dianteiro,"13,3 kg/cv","89,5 kg/kgfm","48,6 cv/litro",68 cv,"7,8:1",5800 rpm,3600 rpm,"7,2 kgfm/litro","10,1 kgfm",,2,Embreagem monodisco a seco,Manual,,4,Traseira,1324 mm,140 mm,1300 mm,1300 mm,,,4193 mm,2395 mm,1570 mm,904 kg,45 litros,Não assistida,Não informado,"Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,,,,,,,,323 litros,,123 mm,,,,,,,,,,,,657 km,419 km,"14,6 km/l","9,3 km/l",,,,,,,,,,,,,,,,,,,175/70 R13,,,,,,,,,,,,,,,,
chevrolet,Chevette,chevette,chevette-jeans-1-4-1979,chevette-jeans-1-4-1979,https://www.fichacompleta.com.br/carros/chevrolet/chevette-jeans-1-4-1979,2026-06-14T21:20:45.129048,Chevrolet Chevette Jeans 1.4 1979,"17,4 s",150 km/h,Correia dentada,Carburador,Natural,1398 cm³,4 em linha,,Único no cabeçote,"66,2 mm",82 mm,Longitudinal,Dianteiro,"13,3 kg/cv","89,5 kg/kgfm","48,6 cv/litro",68 cv,"7,8:1",5800 rpm,3600 rpm,"7,2 kgfm/litro","10,1 kgfm",,2,Embreagem monodisco a seco,Manual,,4,Traseira,1324 mm,140 mm,1300 mm,1300 mm,,,4193 mm,2395 mm,1570 mm,904 kg,45 litros,Não assistida,Não informado,"Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,,,,,,,,323 litros,,123 mm,,,,,,,,,,,,657 km,419 km,"14,6 km/l","9,3 km/l",,,,,,,,,,,,,,,,,,,175/70 R13,,,,,,,,,,,,,,,,
chevrolet,Chevette,chevette,chevette-l-1-4-1979,chevette-l-1-4-1979,https://www.fichacompleta.com.br/carros/chevrolet/chevette-l-1-4-1979,2026-06-14T21:20:48.831484,Chevrolet Chevette L 1.4 1979,"17,4 s",150 km/h,Correia dentada,Carburador,Natural,1398 cm³,4 em linha,,Único no cabeçote,"66,2 mm",82 mm,Longitudinal,Dianteiro,"13,3 kg/cv","89,5 kg/kgfm","48,6 cv/litro",68 cv,"7,8:1",5800 rpm,3600 rpm,"7,2 kgfm/litro","10,1 kgfm",,2,Embreagem monodisco a seco,Manual,,4,Traseira,1324 mm,140 mm,1300 mm,1300 mm,,,4193 mm,2395 mm,1570 mm,904 kg,45 litros,Não assistida,Não informado,"Indep., braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,,,,,,,,323 litros,,123 mm,,,,,,,,,,,,657 km,419 km,"14,6 km/l","9,3 km/l",,,,,,,,,,,,,,,,,,,175/70 R13,,,,,,,,,,,,,,,,
chevrolet,Chevette,chevette,chevette-sl-1-4-1979-gasolina,chevette-sl-1-4-1979-gasolina,https://www.fichacompleta.com.br/carros/chevrolet/chevette-sl-1-4-1979-gasolina,2026-06-14T21:20:51.457912,Chevrolet Chevette SL 1.4 1979,"17,4 s",150 km/h,,Carburador,Natural,1398 cm³,4 em linha,,"Único no cabeçote, correia dentada","66,2 mm",82 mm,Longitudinal,Dianteiro,"13,3 kg/cv","89,5 kg/kgfm","48,6 cv/litro",68 cv a 5800 rpm,"7,8:1",,,"7,2 kgfm/litro","10,1 kgfm a 3600 rpm",,2,Embreagem monodisco a seco,Manual,,,Traseira,1324 mm,140 mm,1300 mm,1300 mm,,,4193 mm,2395 mm,1570 mm,904 kg,45 litros,Não assistida,,"Independente, braços sobrepostos",Mola helicoidal,Eixo rígido,Disco sólido,Tambor,,,,,,,4,321 litros,Não informado,123 mm,,,,,,,,,,,,657 km,419 km,"14,6 km/l","9,3 km/l",,,,,,,,,,,,,,,,,,,175/70 R13,,,,,,,,,,,,,,,,
