marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acionam_do_comando,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__acoplamento,geral__cambio,geral__marchas,geral__quantidade_de_marchas,geral__tracao,geral__altura,geral__bitola_dianteira,geral__bitola_traseira,geral__carga_util,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__assistencia,geral__diametro_de_giro,geral__diametro_minimo_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__altura_minima_do_solo,geral__regime_potencia_max,geral__regime_torque_max,geral__potencia,geral__torque,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__variacao_do_comando,geral__reboque_com_freio,geral__reboque_sem_freio,geral__coeficiente_de_arrasto_cx,geral__cilindrada_unitaria,geral__deslocamento,geral__estepe,geral__rotacao_maxima,geral__capacidade_da_bateria,geral__potencia_combinada,geral__torque_combinado,geral__rodoviaria,geral__urbana,geral__rodoviario,geral__urbano,geral__angulo_de_entrada,geral__angulo_de_saida,geral__pesopotencia_sistema,geral__tuchos,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__viscosidade_do_oleo,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__frenagem_1000_kmh,geral__portamalas_5_lugares,geral__portamalas_6_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_6_lugares,geral__codigo_do_cambio,geral__angulo_central
honda,Civic,civic,civic-ex-1-6-at-2000,civic-ex-1-6-at-2000,https://www.fichacompleta.com.br/carros/honda/civic-ex-1-6-at-2000,2026-06-14T17:34:24.585236,Honda Civic EX 1.6 AT 2000,"13,7 s",171 km/h,,Injeção multiponto,Natural,1590 cm³,4 em linha,D16Y8,"Único no cabeçote, correia dentada",90 mm,75 mm,Transversal,Dianteiro,"9,0 kg/cv","77,4 kg/kgfm","79,9 cv/litro",127 cv a 6600 rpm,"9,2:1",,,"9,3 kgfm/litro","14,8 kgfm a 5500 rpm",4,Conversor de torque,Automático,,4,Dianteira,1410 mm,,,,4450 mm,2620 mm,1705 mm,1145 kg,337 litros,45 litros,120 mm,Disco ventilado,Tambor,,,,Hidráulica,,"11,7 m","Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",630 km,495 km,14 km/l,11 km/l,,,,,,,,Admissão,,,,,,,,,,,,,,,,,,Mecânicos,,,,,,,,,,,,,,,,,,,,
honda,Civic,civic,civic-lx-1-6-2000,civic-lx-1-6-2000,https://www.fichacompleta.com.br/carros/honda/civic-lx-1-6-2000,2026-06-14T17:34:28.996460,Honda Civic LX 1.6 2000,"13,9 s",165 km/h,,Injeção multiponto,Natural,1590 cm³,4 em linha,D16Y7,"Único no cabeçote, correia dentada",90 mm,75 mm,Transversal,Dianteiro,"10,3 kg/cv","76,9 kg/kgfm","66,7 cv/litro",106 cv a 6200 rpm,"9,4:1",,,"8,9 kgfm/litro","14,2 kgfm a 4600 rpm",4,Embreagem monodisco a seco,Manual,,5,Dianteira,1410 mm,,,,4450 mm,2620 mm,1705 mm,1092 kg,337 litros,45 litros,120 mm,Disco ventilado,Tambor,,,,Hidráulica,,"11,7 m","Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",653 km,450 km,"14,5 km/l",10 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,Mecânicos,,,,,,,,,,,,,,,,,,,,
honda,Civic,civic,civic-lx-1-6-at-2000,civic-lx-1-6-at-2000,https://www.fichacompleta.com.br/carros/honda/civic-lx-1-6-at-2000,2026-06-14T17:34:32.171953,Honda Civic LX 1.6 AT 2000,14 s,165 km/h,Correia dentada,Injeção multiponto,Natural,1590 cm³,4 em linha,D16Y7,Único no cabeçote,90 mm,75 mm,Transversal,Dianteiro,"10,8 kg/cv","80,6 kg/kgfm","66,7 cv/litro",106 cv,"9,4:1",,,"8,9 kgfm/litro","14,2 kgfm",4,Conversor de torque,Automático,4,,Dianteira,1410 mm,,,,4450 mm,2620 mm,1705 mm,1145 kg,337 litros,45 litros,120 mm,Disco ventilado,Tambor,,,,Hidráulica,"11,7 m",,"Indep., braços sobrepostos",Mola helicoidal,"Indep., braços sobrepostos",630 km,495 km,14 km/l,11 km/l,,6200 rpm,4600 rpm,,,,,,,,,,,,,,,,,,,,,,,Mecânicos,,,,,,,,,,,,,,,,,,,,
honda,Civic,civic,civic-ex-1-7-2001,civic-ex-1-7-2001,https://www.fichacompleta.com.br/carros/honda/civic-ex-1-7-2001,2026-06-14T17:34:35.327914,Honda Civic EX 1.7 2001,"12,8 s",182 km/h,Correia dentada,Injeção multiponto,Natural,1668 cm³,4 em linha,D17Z3,Único no cabeçote,"94,4 mm",75 mm,Transversal,Dianteiro,"8,9 kg/cv","73,1 kg/kgfm","77,9 cv/litro",130 cv,"9,5:1",,,"9,5 kgfm/litro","15,8 kgfm",4,Embreagem monodisco a seco,Manual,5,,Dianteira,1455 mm,,,,4435 mm,2620 mm,1715 mm,1155 kg,402 litros,50 litros,120 mm,Disco ventilado,Tambor,,,,Hidráulica,"11,7 m",,"Indep., McPherson",Mola helicoidal,"Indep., braços sobrepostos",685 km,400 km,"13,7 km/l",8 km/l,,6300 rpm,4800 rpm,,,,,Admissão,,,,,,,,,,,,,,,,,,Mecânicos,,,,,,,,,,,,,,,,,,,,
honda,Civic,civic,civic-ex-1-7-at-2001,civic-ex-1-7-at-2001,https://www.fichacompleta.com.br/carros/honda/civic-ex-1-7-at-2001,2026-06-14T17:34:39.882455,Honda Civic EX 1.7 AT 2001,"13,4 s",177 km/h,Correia dentada,Injeção multiponto,Natural,1668 cm³,4 em linha,D17Z3,Único no cabeçote,"94,4 mm",75 mm,Transversal,Dianteiro,"9,0 kg/cv","74,4 kg/kgfm","77,9 cv/litro",130 cv,"9,5:1",,,"9,5 kgfm/litro","15,8 kgfm",4,Conversor de torque,Automático,4,,Dianteira,1455 mm,,,,4435 mm,2620 mm,1715 mm,1175 kg,402 litros,50 litros,120 mm,Disco ventilado,Tambor,,,,Hidráulica,"11,7 m",,"Indep., McPherson",Mola helicoidal,"Indep., braços sobrepostos",670 km,395 km,"13,4 km/l","7,9 km/l",,6300 rpm,4800 rpm,,,,,Admissão,,,,,,,,,,,,,,,,,,Mecânicos,,,,,,,,,,,,,,,,,,,,
honda,Civic,civic,civic-lx-1-7-2001,civic-lx-1-7-2001,https://www.fichacompleta.com.br/carros/honda/civic-lx-1-7-2001,2026-06-14T17:34:43.641486,Honda Civic LX 1.7 2001,"12,6 s",181 km/h,Correia dentada,Injeção multiponto,Natural,1668 cm³,4 em linha,D17Z2,Único no cabeçote,"94,4 mm",75 mm,Transversal,Dianteiro,"10,0 kg/cv","76,0 kg/kgfm","68,9 cv/litro",115 cv,"9,5:1",,,"9,1 kgfm/litro","15,2 kgfm",4,Embreagem monodisco a seco,Manual,5,,Dianteira,1455 mm,,,,4435 mm,2620 mm,1715 mm,1155 kg,402 litros,50 litros,120 mm,Disco ventilado,Tambor,,,,Hidráulica,"11,7 m",,"Indep., McPherson",Mola helicoidal,"Indep., braços sobrepostos",695 km,400 km,"13,9 km/l",8 km/l,,6100 rpm,4500 rpm,,,,,,,,,,,,,,,,,,,,,,,Mecânicos,,,,,,,,,,,,,,,,,,,,
honda,Civic,civic,civic-lx-1-7-at-2001,civic-lx-1-7-at-2001,https://www.fichacompleta.com.br/carros/honda/civic-lx-1-7-at-2001,2026-06-14T17:34:47.328133,Honda Civic LX 1.7 AT 2001,13 s,178 km/h,Correia dentada,Injeção multiponto,Natural,1668 cm³,4 em linha,D17Z2,Único no cabeçote,"94,4 mm",75 mm,Transversal,Dianteiro,"10,2 kg/cv","77,3 kg/kgfm","68,9 cv/litro",115 cv,"9,5:1",,,"9,1 kgfm/litro","15,2 kgfm",4,Conversor de torque,Automático,4,,Dianteira,1455 mm,,,,4435 mm,2620 mm,1715 mm,1175 kg,402 litros,50 litros,120 mm,Disco ventilado,Tambor,,,,Hidráulica,"11,7 m",,"Indep., McPherson",Mola helicoidal,"Indep., braços sobrepostos",675 km,390 km,"13,5 km/l","7,8 km/l",,6100 rpm,4500 rpm,,,,,,,,,,,,,,,,,,,,,,,Mecânicos,,,,,,,,,,,,,,,,,,,,
honda,Civic,civic,civic-lxb-1-7-2001,civic-lxb-1-7-2001,https://www.fichacompleta.com.br/carros/honda/civic-lxb-1-7-2001,2026-06-14T17:34:50.847018,Honda Civic LXB 1.7 2001,"12,6 s",181 km/h,Correia dentada,Injeção multiponto,Natural,,4 em linha,D17Z2,Único no cabeçote,"94,4 mm",75 mm,Transversal,Dianteiro,"10,04 kg/cv","76,0 kg/kgfm","68,9 cv/litro",115 cv,"9,5:1",,,"9,1 kgfm/litro","15,2 kgfm",4,Embreagem monodisco a seco,Manual,5,,Dianteira,1455 mm,,,,4435 mm,2620 mm,1715 mm,1155 kg,402 litros,50 litros,120 mm,Disco ventilado,Tambor,,,,Hidráulica,"11,7 m",,"Indep., McPherson",Mola helicoidal,"Indep., braços sobrepostos",695 km,400 km,"13,9 km/l",8 km/l,,6100 rpm,4500 rpm,,,,,,,,,417 cm³,1668 cm³,,,,,,,,,,,,,Mecânicos,,,,,,,,,,,,,,,,,,,,
honda,Civic,civic,civic-ex-1-7-2002,civic-ex-1-7-2002,https://www.fichacompleta.com.br/carros/honda/civic-ex-1-7-2002,2026-06-14T17:34:55.260830,Honda Civic EX 1.7 2002,"12,8 s",182 km/h,,Injeção multiponto,Natural,1668 cm³,4 em linha,D17Z3,"Único no cabeçote, correia dentada","94,4 mm",75 mm,Transversal,Dianteiro,"8,9 kg/cv","73,1 kg/kgfm","77,9 cv/litro",130 cv a 6300 rpm,"9,5:1",,,"9,5 kgfm/litro","15,8 kgfm a 4800 rpm",4,Embreagem monodisco a seco,Manual,,5,Dianteira,1455 mm,,,,4435 mm,2620 mm,1715 mm,1155 kg,402 litros,50 litros,120 mm,Disco ventilado,Tambor,,,,Hidráulica,,"11,7 m","Independente, McPherson",Mola helicoidal,"Independente, braços sobrepostos",685 km,400 km,"13,7 km/l",8 km/l,,,,,,,,Admissão,,,,,,,,,,,,,,,,,,Mecânicos,,,,,,,,,,,,,,,,,,,,
honda,Civic,civic,civic-ex-1-7-at-2002,civic-ex-1-7-at-2002,https://www.fichacompleta.com.br/carros/honda/civic-ex-1-7-at-2002,2026-06-14T17:34:58.717759,Honda Civic EX 1.7 AT 2002,"13,4 s",177 km/h,Correia dentada,Injeção multiponto,Natural,1668 cm³,4 em linha,D17Z3,Único no cabeçote,"94,4 mm",75 mm,Transversal,Dianteiro,"9,0 kg/cv","74,4 kg/kgfm","77,9 cv/litro",130 cv,"9,5:1",6300 rpm,4800 rpm,"9,5 kgfm/litro","15,8 kgfm",4,Conversor de torque,Automático,4,4,Dianteira,1455 mm,,,,4435 mm,2620 mm,1715 mm,1175 kg,402 litros,50 litros,120 mm,Disco ventilado,Tambor,,,,Hidráulica,"11,7 m","11,7 m","Indep., McPherson",Mola helicoidal,"Indep., braços sobrepostos",670 km,395 km,"13,4 km/l","7,9 km/l",,,,,,,,Admissão,,,,,,,,,,,,,,,,,,Mecânicos,,,,,,,,,,,,,,,,,,,,
