marca,modelo,modelo_slug,versao,versao_slug,url,coletado_em,titulo_pagina,geral__aceleracao_0100_kmh,geral__velocidade_maxima,geral__acoplamento,geral__cambio,geral__codigo_do_cambio,geral__marchas,geral__tracao,geral__alimentacao,geral__aspiracao,geral__cilindrada,geral__cilindros,geral__codigo_do_motor,geral__comando_de_valvulas,geral__curso_do_pistao,geral__diametro_do_cilindro,geral__disposicao,geral__instalacao,geral__pesopotencia,geral__pesotorque,geral__potencia_especifica,geral__potencia_maxima,geral__razao_de_compressao,geral__regime_potencia_max,geral__regime_torque_max,geral__torque_especifico,geral__torque_maximo,geral__valvulas_por_cilindro,geral__altura,geral__bitola_dianteira,geral__bitola_traseira,geral__comprimento,geral__distancia_entreeixos,geral__largura,geral__peso,geral__portamalas,geral__tanque_de_combustivel,geral__altura_do_flanco,geral__dianteiros,geral__traseiros,geral__assistencia,geral__diametro_de_giro,geral__dianteira,geral__elemento_elastico,geral__traseira,geral__rodoviaria_g,geral__urbana_g,geral__rodoviario_g,geral__urbano_g,geral__quantidade_de_marchas,geral__rotacao_potencia_max,geral__rotacao_torque_max,geral__diametro_minimo_de_giro,geral__curso_dos_pistoes,geral__diametro_dos_cilindros,geral__acionam_do_comando,geral__variacao_do_comando,geral__estepe,geral__area_frontal_a,geral__area_frontal_corrigida,geral__coef_de_arrasto_cx,geral__coeficiente_de_arrasto_cx,geral__carga_util,geral__rotacao_maxima,geral__angulo_de_entrada,geral__angulo_de_saida,geral__altura_minima_do_solo,geral__autonomia,geral__capacidade_da_bateria,geral__potencia,geral__potencia_de_recarga,geral__torque,geral__pesopotencia_sistema,geral__pesotorque_sistema,geral__potencia_combinada,geral__torque_combinado,geral__cilindrada_unitaria,geral__deslocamento,geral__cacamba,geral__rodoviaria_d,geral__urbana_d,geral__rodoviario_d,geral__urbano_d,geral__inclinacao_lateral_max,geral__inclinacao_lateral_maxima,geral__rampa_maxima,geral__reboque_sem_freio,geral__angulo_central,geral__reboque_com_freio,geral__viscosidade_do_oleo,geral__tuchos,geral__potencia_maxima_a,geral__potencia_maxima_g,geral__torque_maximo_a,geral__torque_maximo_g,geral__rodoviaria_a,geral__urbana_a,geral__rodoviario_a,geral__urbano_a,geral__travessia_de_agua,geral__potencia_a,geral__potencia_g,geral__torque_a,geral__torque_g,geral__consumo_eletrico,geral__portamalas_5_lugares,geral__portamalas_7_lugares,geral__portamalas_com_5_lugares,geral__portamalas_com_7_lugares
nissan,370z,370z,370z-3-7-v6-2014,370z-3-7-v6-2014,https://www.fichacompleta.com.br/carros/nissan/370z-3-7-v6-2014,2026-06-15T15:34:22.403926,Nissan 370z 3.7 V6 2014,"5,3 s",250 km/h,Embreagem monodisco a seco,Manual,FS6R31A,,Traseira,Injeção multiponto,Natural,3696 cm³,6 em V,VQ37VHR,Duplo no cabeçote,86 mm,"95,5 mm",Longitudinal,Dianteiro,"4,6 kg/cv","40,4 kg/kgfm","88,7 cv/litro",328 cv a 7000 rpm,11:1,,,"10,0 kgfm/litro",37 kgfm a 5200 rpm,4,1315 mm,1550 mm,1595 mm,4250 mm,2550 mm,1845 mm,1496 kg,235 litros,72 litros,110 mm,Disco ventilado,Disco ventilado,Hidráulica,,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",569 km,396 km,"7,9 km/l","5,5 km/l",6,,,10 m,,,,Admissão,,"2,06 m²","0,618 m²",,"0,3",304 kg,7500 rpm,"14,1 graus",19 graus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,Ariya,ariya,ariya-engage-2025,ariya-engage-2025,https://www.fichacompleta.com.br/carros/nissan/ariya-engage-2025,2026-06-15T15:35:11.310875,Nissan Ariya Engage 2025,"8,2 s",160 km/h,,Automático,,1,Dianteira,,,,,,,,,,,"8,81 kg/cv","62,75 kg/kgfm",,,,,,,,,1665 mm,1585 mm,1590 mm,4595 mm,2775 mm,1850 mm,1920 kg,460 litros,,115 mm,Disco ventilado,Disco ventilado,Elétrica,"10,8 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",,,,,,,,,,,,,Kit de reparo,"2,62 m²","0,778 m²","0,297",,,,,,180 mm,348 km,66 kWh,218 cv (dianteiro),130 kW (DC),"30,6 kgfm (dianteiro)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,Ariya,ariya,ariya-engage-e-4orce-2025,ariya-engage-e-4orce-2025,https://www.fichacompleta.com.br/carros/nissan/ariya-engage-e-4orce-2025,2026-06-15T15:35:14.962369,Nissan Ariya Engage e-4orce 2025,"5,1 s",180 km/h,,Automático,,1,Integral sob demanda,,,,,,,,,,,,,,,,,,,,,1665 mm,1585 mm,1590 mm,4595 mm,2775 mm,1850 mm,2180 kg,415 litros,,115 mm,Disco ventilado,Disco ventilado,Elétrica,"10,8 m","Indep., McPherson",Mola helicoidal,"Indep., multibraço",,,,,,,,,,,,,Kit de reparo,"2,62 m²","0,778 m²","0,297",,,,,,180 mm,415 km,91 kWh,218 cv (traseiro),130 kW (DC),"30,6 kgfm (traseiro)","5,53 kg/cv","35,62 kg/kgfm",394 cv,"61,2 kgfm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,D21,d21,d21-2-7-4x2-cd-1993,d21-2-7-4x2-cd-1993,https://www.fichacompleta.com.br/carros/nissan/d21-2-7-4x2-cd-1993,2026-06-15T15:35:32.452389,Nissan D21 2.7 4x2 CD 1993,23 s,135 km/h,Embreagem monodisco a seco,Manual,,5,Traseira,Injeção indireta,Natural,,4 em linha,TD27,Único no bloco,92 mm,96 mm,Longitudinal,Dianteiro,"18,16 kg/cv","81,1 kg/kgfm","29,7 cv/litro",79 cv,"21,8:1",4300 rpm,2200 rpm,"6,6 kgfm/litro","17,7 kgfm",2,1615 mm,1395 mm,1385 mm,4735 mm,2950 mm,1650 mm,1435 kg,,60 litros,148 mm,Disco ventilado,Tambor,Hidráulica,"11,2 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,,,,,,,,,,,Engrenagens,,,,,,,1115 kg,,,,200 mm,,,,,,,,,,666 cm³,2663 cm³,878 litros,600 km,420 km,10 km/l,7 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,D21,d21,d21-king-cab-2-7-4x2-1993,d21-king-cab-2-7-4x2-1993,https://www.fichacompleta.com.br/carros/nissan/d21-king-cab-2-7-4x2-1993,2026-06-15T15:35:36.159773,Nissan D21 King Cab 2.7 4x2 1993,23 s,135 km/h,Embreagem monodisco a seco,Manual,,5,Traseira,Injeção indireta,Natural,,4 em linha,TD27,Único no bloco,92 mm,96 mm,Longitudinal,Dianteiro,"17,53 kg/cv","78,2 kg/kgfm","29,7 cv/litro",79 cv,"21,8:1",4300 rpm,2200 rpm,"6,6 kgfm/litro","17,7 kgfm",2,1605 mm,1395 mm,1385 mm,4825 mm,2950 mm,1650 mm,1385 kg,,60 litros,148 mm,Disco ventilado,Tambor,Hidráulica,"11,2 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,,,,,,,,,,,Engrenagens,,,,,,,1165 kg,,,,200 mm,,,,,,,,,,666 cm³,2663 cm³,1127 litros,600 km,420 km,10 km/l,7 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,D21,d21,d21-2-7-4x2-cd-1994,d21-2-7-4x2-cd-1994,https://www.fichacompleta.com.br/carros/nissan/d21-2-7-4x2-cd-1994,2026-06-15T15:35:38.956224,Nissan D21 2.7 4x2 CD 1994,23 s,135 km/h,Embreagem monodisco a seco,Manual,,5,Traseira,Injeção indireta,Natural,,4 em linha,TD27,Único no bloco,92 mm,96 mm,Longitudinal,Dianteiro,"18,16 kg/cv","81,1 kg/kgfm","29,7 cv/litro",79 cv,"21,8:1",4300 rpm,2200 rpm,"6,6 kgfm/litro","17,7 kgfm",2,1615 mm,1395 mm,1385 mm,4735 mm,2950 mm,1650 mm,1435 kg,,60 litros,148 mm,Disco ventilado,Tambor,Hidráulica,"11,2 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,,,,,,,,,,,Engrenagens,,,,,,,1115 kg,,,,200 mm,,,,,,,,,,666 cm³,2663 cm³,878 litros,600 km,420 km,10 km/l,7 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,D21,d21,d21-2-7-4x2-cs-1994,d21-2-7-4x2-cs-1994,https://www.fichacompleta.com.br/carros/nissan/d21-2-7-4x2-cs-1994,2026-06-15T15:35:42.476709,Nissan D21 2.7 4x2 CS 1994,23 s,135 km/h,Embreagem monodisco a seco,Manual,,5,Traseira,Injeção indireta,Natural,,4 em linha,TD27,Único no bloco,92 mm,96 mm,Longitudinal,Dianteiro,"17,53 kg/cv","78,2 kg/kgfm","29,7 cv/litro",79 cv,"21,8:1",4300 rpm,2200 rpm,"6,6 kgfm/litro","17,7 kgfm",2,1605 mm,1395 mm,1385 mm,4825 mm,2950 mm,1650 mm,1385 kg,,60 litros,148 mm,Disco ventilado,Tambor,Hidráulica,"11,2 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,,,,,,,,,,,Engrenagens,,,,,,,1165 kg,,,,200 mm,,,,,,,,,,666 cm³,2663 cm³,1407 litros,600 km,420 km,10 km/l,7 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,D21,d21,d21-2-7-4x4-cd-1994,d21-2-7-4x4-cd-1994,https://www.fichacompleta.com.br/carros/nissan/d21-2-7-4x4-cd-1994,2026-06-15T15:35:46.472257,Nissan D21 2.7 4x4 CD 1994,23 s,135 km/h,Embreagem monodisco a seco,Manual,,5,Integral temporária,Injeção indireta,Natural,2663 cm³,4 em linha,TD27,Único no bloco,92 mm,96 mm,Longitudinal,Dianteiro,"20,7 kg/cv","92,3 kg/kgfm","29,7 cv/litro",79 cv,"21,9:1",4300 rpm,2200 rpm,"6,6 kgfm/litro","17,7 kgfm",2,1725 mm,1425 mm,1385 mm,4966 mm,2950 mm,1690 mm,1634 kg,,60 litros,176 mm,Disco ventilado,Tambor,Hidráulica,Não informado,"Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,,,,,,,,,,,,,,,,,,1050 kg,,,,,,,,,,,,,,,,850 litros,600 km,420 km,10 km/l,7 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,D21,d21,d21-2-7-4x4-cs-1994,d21-2-7-4x4-cs-1994,https://www.fichacompleta.com.br/carros/nissan/d21-2-7-4x4-cs-1994,2026-06-15T15:35:49.213684,Nissan D21 2.7 4x4 CS 1994,23 s,135 km/h,Embreagem monodisco a seco,Manual,,5,Integral temporária,Injeção indireta,Natural,,4 em linha,TD27,Único no bloco,92 mm,96 mm,Longitudinal,Dianteiro,"20,25 kg/cv","90,4 kg/kgfm","29,7 cv/litro",79 cv,"21,8:1",4300 rpm,2200 rpm,"6,6 kgfm/litro","17,7 kgfm",2,1710 mm,1425 mm,1385 mm,4825 mm,2950 mm,1690 mm,1600 kg,,60 litros,161 mm,Disco ventilado,Tambor,Hidráulica,"11,8 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,,,,,,,,,,,Engrenagens,,,,,,,1100 kg,,,,220 mm,,,,,,,,,,666 cm³,2663 cm³,1407 litros,600 km,420 km,10 km/l,7 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,
nissan,D21,d21,d21-king-cab-2-7-4x2-1994,d21-king-cab-2-7-4x2-1994,https://www.fichacompleta.com.br/carros/nissan/d21-king-cab-2-7-4x2-1994,2026-06-15T15:35:52.738302,Nissan D21 King Cab 2.7 4x2 1994,23 s,135 km/h,Embreagem monodisco a seco,Manual,,5,Traseira,Injeção indireta,Natural,,4 em linha,TD27,Único no bloco,92 mm,96 mm,Longitudinal,Dianteiro,"17,53 kg/cv","78,2 kg/kgfm","29,7 cv/litro",79 cv,"21,8:1",4300 rpm,2200 rpm,"6,6 kgfm/litro","17,7 kgfm",2,1605 mm,1395 mm,1385 mm,4825 mm,2950 mm,1650 mm,1385 kg,,60 litros,148 mm,Disco ventilado,Tambor,Hidráulica,"11,2 m","Indep., braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,,,,,,,,,,,Engrenagens,,,,,,,1165 kg,,,,200 mm,,,,,,,,,,666 cm³,2663 cm³,1127 litros,600 km,420 km,10 km/l,7 km/l,,,,,,,,,,,,,,,,,,,,,,,,,,
